player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs
aaron-boadu,4,Aaron,Boadu,DE,1.95,76.77,125,275.58
aaron-ellis,2,Aaron,Ellis,QB,1.9,74.8,104,229.28
aaron-grosse-kleimann,27,Aaron,Große Kleimann,DE,2.05,80.71,120,264.55
aaron-rosemann,41,Aaron,Rosemann,OLB,1.91,75.2,95,209.44
aaron-sola,,Aarón,Sola,DE,1.85,72.83,105,231.49
abdelghafour-sedik,49,Abdelghafour,Sedik,OL,,,,
abdullah-kilany,93,Abdullah,Kilany,DE,1.87,73.62,105,231.49
achim-bah,19,Achim,Bah,WR,1.91,75.2,90,198.42
adam-lary,25,Adam,Lary,CB,1.84,72.44,84,185.19
adam-skakowski,24,Adam,Skakowski,RB,1.78,70.08,95,209.44
adedayo-odeleye,94,Adedayo,Odeleye,DL,1.97,77.56,120,264.55
adria-botella-moreno,8,Adria,Botella Moreno,TE,1.98,77.95,114,251.33
adrian-brudny,92,Adrian,Brudny,DL,1.85,72.83,132,291.01
adrian-gierczak,66,Adrian,Gierczak,OL,,,,
adrian-grodecki,18,Adrian,Gródecki,WR,1.85,72.83,81,178.57
adrian-jimenez,3,Adrián,Jiménez,RB,1.8,70.87,97,213.85
adrian-kiernan,39,Adrian,Kiernan,S,1.75,68.9,80,176.37
adrian-lenartowicz,13,Adrian,Lenartowicz,CB,1.93,75.98,94,207.23
adrian-novella,55,Adrián,Novella,ILB,1.75,68.9,92,202.83
adrian-platzgummer,6,Adrian,Platzgummer,WR,1.81,71.26,88,194.01
adriel-costa,26,Adriel ,Costa,DB,1.78,70.08,80,176.37
ahmet-cem-inan,14,Ahmet Cem,İnan,QB,1.85,72.83,85,187.39
ahmet-cem-ugur,40,Ahmet Cem,Uğur,ILB,1.83,72.05,100,220.46
ahmet-talha-bercin,21,Ahmet Talha,Berçin,CB,1.87,73.62,95,209.44
aj-wentland,49,AJ,Wentland,ILB,1.92,75.59,104,229.28
al-mustafa-almakki,,Al Mustafa,Almakki,OL,1.87,73.62,135,297.62
alan-mark-sousa-posincovich-,68,Alan Mark,Sousa Posincovich,OL,1.87,73.62,140,308.65
albert-wiesigstrauch,22,Albert,Wiesigstrauch,RB,1.73,68.11,82,180.78
alberto-coq-huelva,49,Alberto,Coq Huelva,LB,1.85,72.83,96,211.64
alberto-del-cerro,93,Alberto,Del Cerro,DE,1.95,76.77,110,242.51
alejandro-fernandez,11,Alejandro,Fernández,DE,1.88,74.02,105,231.49
alejandro-herrero,17,Alejandro,Herrero,RB,1.78,70.08,,
aleksandr-astahin,22,Aleksandr,Astahin,S,1.71,67.32,87,191.8
aleksandr-milanovic,61,Aleksandar,Milanovic,OL,2.01,79.13,129,284.4
alex-ferrari,11,Alex,Ferrari,ILB,1.83,72.05,102,224.87
alex-gonzalez,45,Álex,González Posito,ILB,1.81,71.26,99,218.26
alex-powar,98,Alex,Powar,DE,1.88,74.02,115,253.53
alexander-babic,93,Alexander,Babic,DT,1.95,76.77,135,297.62
alexander-boes,52,Alexander,Boes,DT,1.9,74.8,120,264.55
alexander-eitel,4,Alexander,Eitel,WR,1.7,66.93,72,158.73
alexander-frisch,7,Alexander,Frisch,QB,1.95,76.77,93,205.03
alexander-karim-rushdy-stadahl,12,Alexander Karim,Rushdy Stadahl,CB,1.83,72.05,80,176.37
alexander-reischl,12,Alexander,Reischl,QB,177.0,6968.5,73,160.94
alexander-sobotta,41,Alexander,Sobotta,ILB,1.89,74.41,101,222.67
alexander-watholowitsch,49,Alexander,Watholotwitsch,ILB,1.83,72.05,102,224.87
ali-gundogdu,44,Ali,Gündoğdu,OLB,1.83,72.05,89,196.21
alihan-agackesen,10,Alihan,Ağaçkesen,WR,1.86,73.23,90,198.42
alkaly-cisse,24,Alkaly,Cisse,S,1.82,71.65,86,189.6
alp-burak-camlier,84,Alp Burak,Çamlıer,WR,1.78,70.08,83,182.98
alpay-burak-tatar,43,Alpay Burak,Tatar,DE,1.9,74.8,119,262.35
alper-kurtulus,51,Alper,Kurtuluş,OL,1.88,74.02,125,275.58
alper-pekozer,51,Alper,Peközer,OL,1.88,74.02,130,286.6
alperen-kucuk,25,Alperen,Küçük,CB,1.75,68.9,82,180.78
alperen-unlu,2,Alperen,Ünlü,OLB,1.88,74.02,104,229.28
alpha-jalloh,8,Alpha,Jalloh,WR,1.88,74.02,90,198.42
alvaro-lopez-lopez,75,Álvaro,López López,OL,1.74,68.5,106,233.69
ambroise-mati,52,Ambroise,Mati,OLB,1.83,72.05,97,213.85
amir-kilani,21,Amir,Kilani,S,1.8,70.87,94,207.23
anastassiadis-kiriakos,25,Anastassiadis,Kiriakos,DB,1.8,70.87,87,191.8
andre-dickmeis,17,Andre,Dickmeis,WR,1.86,73.23,80,176.37
andre-frisch,26,Andre,Frisch,RB,1.74,68.5,80,176.37
andre-rieckenberg,90,André,Rieckenberg,DE,1.97,77.56,120,264.55
andre-whyte,34,Andre,Whyte,S,1.85,72.83,97,213.85
andrei-karmakskikh,45,Andrei,Karmakskikh,CB,1.82,71.65,90,198.42
andy-vera,27,Andy,Vera,CB,1.7,66.93,80,176.37
anthony-abandzounou,90,Anthony,Abandzounou,DE,1.95,76.77,106,233.69
anthony-dable-wolf,11,Anthony,Dable-Wolf,WR,1.94,76.38,97,213.85
anthony-keith-williams,58,Anthony Keith,Williams,ILB,1.83,72.05,94,207.23
anthony-mahoungou,11,Anthony,Mahoungou,WR,1.93,75.98,96,211.64
anthony-wesley-baer,42,Anthony Wesley,Baer,LB,1.85,72.83,92,202.83
anton-doroshev,85,Anton,Doroshev,TE,1.88,74.02,108,238.1
anton-glusancov,59,Anton,Glusancov,OL,1.9,74.8,125,275.58
anton-jallai,13,Anton,Jallai,WR,1.91,75.2,98,216.05
anton-wegan,5,Anton,Wegan,WR,1.8,70.87,95,209.44
antoni-idziak,47,Antoni,Idziak,ILB,1.77,69.69,93,205.03
antonio-fischer,81,Antonio,Fischer,WR,1.81,71.26,90,198.42
antonio-monton,21,Antonio,Montón,RB,1.69,66.54,75,165.35
antony-rodrigues,7,Antony,Rodrigues,OLB,1.85,72.83,90,198.42
aril-rwantambara,82,Aril,Rwantambara,WR,1.8,70.87,81,178.57
arkady-naus,90,Arkady,Naus,DE,1.9,74.8,110,242.51
arnau-casamor,85,Arnau,Casamor,WR,1.87,73.62,83,182.98
arne-gehrt,3,Arne,Gehrt,S,1.76,69.29,78,171.96
arno-schwarz,16,Arno,Schwarz,CB,1.79,70.47,83,182.98
arnoud-holierhoek,66,Arnoud,Holierhoek,OL,1.98,77.95,136,299.83
arthur-pinheiro,93,Arthur,Pinheiro,DL,1.9,74.8,128,282.19
ashley-bailey,13,Ashley,Bailey,QB,1.85,72.83,85,187.39
aslan-zetterberg,92,Aslan,Zetterberg,DT,1.83,72.05,130,286.6
ata-han-atilgan,54,Ata Han,Atılgan,DE,1.83,72.05,105,231.49
atilla-isik,3,Atilla,Işık,S,1.83,72.05,89,196.21
axel-irigoite,78,Axel,Irigoite,OL,1.78,70.08,137,302.03
ayberk-kursunlu,67,Ayberk,Kurşunlu,OL,1.83,72.05,131,288.81
aykut-aslan,50,Aykut,Aslan,ILB,1.87,73.62,110,242.51
aytac-mercan,36,Aytaç,Mercan,RB,1.75,68.9,74,163.14
aziz-rebai,85,Aziz,Rebai,WR,1.92,75.59,85,187.39
bahadir-akbas,79,Bahadır,Akbaş,OL,1.92,75.59,146,321.87
bahadir-aslan,65,Bahadır,Aslan,OL,1.99,78.35,124,273.37
bais-kouanda,81,Bais,Kouanda,WR,1.78,70.08,80,176.37
baran-celik,10,Baran,Celik,ILB,1.8,70.87,102,224.87
barry-maruschke,28,Barry,Maruschke,CB,1.84,72.44,89,196.21
bartolome-flaquer,18,Bartolomé,Flaquer,QB,1.85,72.83,83,182.98
bartosz-dziedzic,15,Bartosz,Dziedzic,WR,1.87,73.62,83,182.98
bartosz-wozniak,89,Bartosz,Woźniak,S,1.9,74.8,85,187.39
basil-weber,72,Basil,Weber,OL,1.91,75.2,135,297.62
ben-baierl,90,Ben,Baierl,DT,1.93,75.98,120,264.55
ben-wenzler,33,Ben,Wenzler,CB,1.84,72.44,80,176.37
benedikt-assis,2,Benedikt,Assis,ILB,1.87,73.62,101,222.67
benedikt-lang,86,Benedikt,Lang,WR,1.83,72.05,83,182.98
benhur-ayra,78,Benhur,Ayra,OL,1.95,76.77,160,352.74
benhwoll-tchiyoko,7,Benhwoll,Tchiyoko,DB,1.85,72.83,86,189.6
benjamin-barnes,25,Benjamin,Barnes,WR,1.77,69.69,80,176.37
benjamin-bierbaumer,74,Benjamin,Bierbaumer,OL,1.98,77.95,128,282.19
benjamin-cerimagic,6,Benjamin,Cerimagic,DE,1.92,75.59,108,238.1
benjamin-mau,11,Benjamin,Mau,WR,2.01,79.13,104,229.28
benjamin-plu,12,Benjamin,Plu,WR,1.9,74.8,87,191.8
benjamin-rab,79,Benjamin,Rab,OL,1.9,74.8,135,297.62
benjamin-straight,23,Benjamin,Straight,S,1.83,72.05,88,194.01
berend-grube,94,Berend,Grube,DE,1.97,77.56,110,242.51
berkan-zaimoglu,99,Berkan,Zaimoğlu,DT,1.9,74.8,121,266.76
berker-esme,30,Berker ,Eşme,RB,1.82,71.65,99,218.26
biagio-caprino,27,Biagio,Caprino,DT,,,,
bilyal-ahmed,64,Bilyal,Ahmed,OT,1.88,74.02,155,341.72
blake-nelson,47,Blake,Nelson,DE,1.8,70.87,107,235.89
brandon-brooks,11,Brandon,Brooks,DB,1.88,74.02,83,182.98
brandon-camara,88,Brandon,Camara,TE,1.94,76.38,100,220.46
brian-tom-lohse,58,Brian-Tom,Lohse,OLB,1.88,74.02,105,231.49
brice-ulrich-tchouadje,75,Brice Ulrich,Tchouadje,DT,1.8,70.87,123,271.17
bryan-yankson,41,Bryan,Yankson,RB,1.73,68.11,88,194.01
bryan-zerbe,11,Bryan,Zerbe,WR,1.85,72.83,90,198.42
burak-efendioglu,55,Burak,Efendioglu,ILB,1.83,72.05,100,220.46
burak-karacor,92,Burak,Karaçor,DE,1.87,73.62,108,238.1
burak-tatar,73,Burak,Tatar,DE,1.93,75.98,122,268.96
calvin-schuld,50,Calvin,Schuld,ILB,1.78,70.08,80,176.37
calvin-stitt,6,Calvin,Stitt,QB,1.8,70.87,,
caner-dundar,29,Caner,Dündar,S,1.75,68.9,79,174.17
carlos-guillen,77,Carlos,Guillén,OL,1.88,74.02,116,255.74
cedric-konig,,Cedric,König,DB,1.93,75.98,93,205.03
cedric-ouattara,79,Cedric,Ouattara,OL,1.8,70.87,140,308.65
cedric-udegbe,94,Cedric,Udegbe,DE,1.92,75.59,112,246.92
celestin-ngimbi,60,Celestin,Ngimbi,OL,1.87,73.62,135,297.62
cem-altuntas,54,Cem,Altuntas,OL,1.8,70.87,110,242.51
cesar-sawane,26,César,Sawane Garcia,CB,1.8,70.87,85,187.39
cesare-brugnani,10,Cesare,Brugnani,OLB,1.8,70.87,86,189.6
cevad-kucuksengun,70,Cevad,Küçükşengün,OL,1.9,74.8,141,310.85
chad-walrond,32,Chad,Walrond,S,1.8,70.87,88,194.01
charleus-dieuseul,45,Charleus,Dieuseul,ILB,1.85,72.83,102,224.87
chaska-remy-perron,22,Chaska Remy,Perron,CB,1.82,71.65,84,185.19
cheikhou-sow,84,Cheikhou,Sow,WR,1.76,69.29,80,176.37
chris-manser,18,Chris,Manser,P,1.81,71.26,,
chris-richardson-jr,94,Chris,Richardson Jr.,DT,1.87,73.62,142,313.06
chris-schlack,52,Chris,Schlack,LB,1.78,70.08,90,198.42
chris-voumbo,23,Chris,Voumbo,RB,1.8,70.87,102,224.87
christian-romer,10,Christian,Römer,ILB,1.87,73.62,90,198.42
christian-van-horn,95,Christian,Van Horn,DT,1.83,72.05,120,264.55
christoph-kellner,22,Christoph,Kellner,CB,1.7,66.93,75,165.35
christoph-nitzlnader,8,Christoph,Nitzlnader,CB,1.83,72.05,84,185.19
christoph-schob,78,Christoph,Schob,OL,1.95,76.77,140,308.65
christopher-ezeala,9,Christopher,Ezeala,RB,1.83,72.05,109,240.3
christopher-hans,93,Christopher,Hans,DE,1.87,73.62,120,264.55
clemens-walz,51,Clemens,Walz,OL,1.83,72.05,115,253.53
cody-smith,10,Cody,Smith,S,1.85,72.83,91,200.62
collins-kamara,22,Collins,Kamara,RB,1.77,69.69,88,194.01
connor-bolton,56,Connor,Bolton,OL,1.96,77.17,150,330.69
conor-miller,8,Conor,Miller,QB,1.95,76.77,100,220.46
conrad-schmid,79,Conrad,Schmid,OL,2.0,78.74,125,275.58
constantin-lassing,54,Constantin,Lässing,LB,1.78,70.08,98,216.05
courtney-etienne,81,Courtney,Etienne,S,1.78,70.08,89,196.21
curtis-slater,25,Curtis,Slater,DB,1.75,68.9,83,182.98
dale-warren,20,Dale,Warren,LB,1.84,72.44,104,229.28
damian-krawiec,73,Damian,Krawiec,OL,1.84,72.44,150,330.69
damian-kwiatkowski,13,Damian,Kwiatkowski,RB,1.87,73.62,91,200.62
damian-wesolowski,93,Damian,Wesolowski,DT,1.94,76.38,125,275.58
daniel-bria,,Daniel,Bria,OL,1.91,75.2,130,286.6
daniel-brown,25,Daniel,Brown,CB,1.8,70.87,80,176.37
daniel-claus,77,Daniel,Claus,OL,2.03,79.92,150,330.69
daniel-docal,21,Daniel,Docal,DB,1.75,68.9,84,185.19
daniel-duah,1,Daniel,Duah,CB,1.78,70.08,93,205.03
daniel-fankhauser,78,Daniel,Fankhauser,OL,1.92,75.59,132,291.01
daniel-farley,7,Daniel,Farley,QB,1.88,74.02,91,200.62
daniel-franco,90,Daniel,Franco,DT,1.88,74.02,122,268.96
daniel-josiah,53,Daniel,Josiah,ILB,1.83,72.05,95,209.44
daniel-laporte,57,Daniel,Laporte,ILB,1.85,72.83,97,213.85
daniel-meza,5,David,Meza,TE,1.95,76.77,115,253.53
daniel-monfared,52,Daniel,Monfared,ILB,1.83,72.05,95,209.44
daniel-piatkowski,19,Daniel,Piątkowski,S,1.87,73.62,95,209.44
daniel-pozarek,99,Daniel,Pozarek,DT,1.88,74.02,108,238.1
daniel-rennich,23,Daniel,Rennich,RB,1.83,72.05,92,202.83
daniel-rotermel,46,Daniel,Rotärmel,LB,1.94,76.38,110,242.51
daniel-schonet,42,Daniel,Schönet,ILB,1.84,72.44,100,220.46
daniel-schuhmacher,2,Daniel,Schuhmacher,K,1.89,74.41,89,196.21
daniel-thiele,90,Daniel,Thiele,DT,1.96,77.17,140,308.65
daniel-weiswange,12,Daniel,Weiswange,WR,1.7,66.93,82,180.78
danny-lange,84,Danny,Lange,K,1.89,74.41,78,171.96
danny-washington,2,Danny,Washington ,LB,1.76,69.29,95,209.44
dante-vandeven,9,Dante,Vandeven,QB,1.87,73.62,97,213.85
dany-lamy,31,Dany,Lamy,CB,1.88,74.02,87,191.8
darius-lewis,28,Darius,Lewis,CB,1.78,70.08,86,189.6
darius-robinson,1,Darius,Saint-Robinson,CB,1.83,72.05,82,180.78
darko-pisaric,72,Darko,Pisaric,DT,1.93,75.98,117,257.94
darnell-minton,52,Darnell,Minton,OL,2.01,79.13,125,275.58
