season,game_id,team_id,team_name,loc,opponent_id,opponent_name,player_uni,player_name,player_short_name,player_check_name,player_GP,player_GS,player_pos,player_id,old_player_id
2022,RFBD2204,BD,Barcelona Dragons,A,RF,Rhein Fire,95,A. Sola,A. Sola,"SOLA,A",1,0,,,aaron-sola
2022,CCBD2211,BD,Barcelona Dragons,A,CC,Cologne Centurions,3,A. Jimenez,A. Jimenez,"JIMENEZ,A",1,1,RB,,adrian-jimenez
2022,HDBD2202,BD,Barcelona Dragons,A,HD,Hamburg Sea Devils,3,A. Jimenez,A. Jimenez,"JIMENEZ,A",1,0,,,adrian-jimenez
2022,RFBD2204,BD,Barcelona Dragons,A,RF,Rhein Fire,3,A. Jimenez,A. Jimenez,"JIMENEZ,A",1,0,,,adrian-jimenez
2022,SSBD2201,BD,Barcelona Dragons,A,SS,Stuttgart Surge,3,A. Jimenez,A. Jimenez,"JIMENEZ,A",1,0,,,adrian-jimenez
2022,IRBD2208,BD,Barcelona Dragons,A,IR,Istanbul Rams,3,Adrian Jimenez,A. Jimenez,"JIMENEZ,A",1,1,RB,,adrian-jimenez
2022,HDBD2202,BD,Barcelona Dragons,A,HD,Hamburg Sea Devils,55,A. Novella,A. Novella,"NOVELLA,A",1,0,,,adrian-novella
2022,RFBD2204,BD,Barcelona Dragons,A,RF,Rhein Fire,55,A. Novella,A. Novella,"NOVELLA,A",1,0,,,adrian-novella
2022,SSBD2201,BD,Barcelona Dragons,A,SS,Stuttgart Surge,55,A. Novella,A. Novella,"NOVELLA,A",1,0,,,adrian-novella
2022,VVBD2213,BD,Barcelona Dragons,A,VV,Vienna Vikings,55,A. Novella,A. Novella,"NOVELLA,A",1,0,,,adrian-novella
2022,RFBD2204,BD,Barcelona Dragons,A,RF,Rhein Fire,68,A. Sousa,A. Sousa,"SOUSA,A",1,0,,,alan-mark-sousa-posincovich-
2022,SSBD2201,BD,Barcelona Dragons,A,SS,Stuttgart Surge,68,A. Sousa,A. Sousa,"SOUSA,A",1,0,,,alan-mark-sousa-posincovich-
2022,VVBD2213,BD,Barcelona Dragons,A,VV,Vienna Vikings,68,A. Sousa,A. Sousa,"SOUSA,A",1,0,,,alan-mark-sousa-posincovich-
2022,HDBD2202,BD,Barcelona Dragons,A,HD,Hamburg Sea Devils,93,A. Del Cerro,A. Del Cerro,"CERRO,A DEL",1,0,,,alberto-del-cerro
2022,RFBD2204,BD,Barcelona Dragons,A,RF,Rhein Fire,93,A. Del Cerro,A. Del Cerro,"CERRO,A DEL",1,0,,,alberto-del-cerro
2022,SSBD2201,BD,Barcelona Dragons,A,SS,Stuttgart Surge,93,A. Del Cerro,A. Del Cerro,"CERRO,A DEL",1,0,,,alberto-del-cerro
2022,VVBD2213,BD,Barcelona Dragons,A,VV,Vienna Vikings,93,A. Del Cerro,A. Del Cerro,"CERRO,A DEL",1,0,,,alberto-del-cerro
2022,CCBD2211,BD,Barcelona Dragons,A,CC,Cologne Centurions,11,A. Fernandez,A. Fernandez,"FERNANDEZ,A",1,1,DE,,alejandro-fernandez
2022,HDBD2202,BD,Barcelona Dragons,A,HD,Hamburg Sea Devils,11,A. Fernandez,A. Fernandez,"FERNANDEZ,A",1,1,DE,,alejandro-fernandez
2022,RFBD2204,BD,Barcelona Dragons,A,RF,Rhein Fire,11,A. Fernandez,A. Fernandez,"FERNANDEZ,A",1,1,DL,,alejandro-fernandez
2022,SSBD2201,BD,Barcelona Dragons,A,SS,Stuttgart Surge,11,A. Fernandez,A. Fernandez,"FERNANDEZ,A",1,1,DL,,alejandro-fernandez
2022,VVBD2213,BD,Barcelona Dragons,A,VV,Vienna Vikings,11,A. Fernandez,A. Fernandez,"FERNANDEZ,A",1,1,DE,,alejandro-fernandez
2022,VVBD22PO,BD,Barcelona Dragons,A,VV,Vienna Vikings,11,A. Fernandez,A. Fernandez,"FERNANDEZ,A",1,1,DE,,alejandro-fernandez
2022,IRBD2208,BD,Barcelona Dragons,A,IR,Istanbul Rams,11,Alejandro Fernandez,A. Fernandez,"FERNANDEZ,A",1,1,DE,,alejandro-fernandez
2022,CCBD2211,BD,Barcelona Dragons,A,CC,Cologne Centurions,45,A. Posito,A. Posito,"POSITO,A",1,1,LB,,alex-gonzalez
2022,HDBD2202,BD,Barcelona Dragons,A,HD,Hamburg Sea Devils,45,A. Posito,A. Posito,"POSITO,A",1,1,LB,,alex-gonzalez
2022,RFBD2204,BD,Barcelona Dragons,A,RF,Rhein Fire,45,A. Posito,A. Posito,"POSITO,A",1,1,LB,,alex-gonzalez
2022,SSBD2201,BD,Barcelona Dragons,A,SS,Stuttgart Surge,45,A. Posito,A. Posito,"POSITO,A",1,1,LB,,alex-gonzalez
2022,VVBD2213,BD,Barcelona Dragons,A,VV,Vienna Vikings,45,A. Posito,A. Posito,"POSITO,A",1,1,LB,,alex-gonzalez
2022,VVBD22PO,BD,Barcelona Dragons,A,VV,Vienna Vikings,45,A. Posito,A. Posito,"POSITO,A",1,1,LB,,alex-gonzalez
2022,IRBD2208,BD,Barcelona Dragons,A,IR,Istanbul Rams,45,Alex Gonzalez Posito,A. Posito,"POSITO,A",1,1,LB,,alex-gonzalez
2022,HDBD2202,BD,Barcelona Dragons,A,HD,Hamburg Sea Devils,27,A. Vera,A. Vera,"VERA,A",1,1,CB,,andy-vera
2022,RFBD2204,BD,Barcelona Dragons,A,RF,Rhein Fire,27,A. Vera,A. Vera,"VERA,A",1,1,DB,,andy-vera
2022,SSBD2201,BD,Barcelona Dragons,A,SS,Stuttgart Surge,27,A. Vera,A. Vera,"VERA,A",1,0,,,andy-vera
2022,VVBD2213,BD,Barcelona Dragons,A,VV,Vienna Vikings,27,A. Vera,A. Vera,"VERA,A",1,0,,,andy-vera
2022,VVBD22PO,BD,Barcelona Dragons,A,VV,Vienna Vikings,27,A. Vera,A. Vera,"VERA,A",1,0,,,andy-vera
2022,IRBD2208,BD,Barcelona Dragons,A,IR,Istanbul Rams,27,Andy Vera,A. Vera,"VERA,A",1,0,,,andy-vera
2022,HDBD2202,BD,Barcelona Dragons,A,HD,Hamburg Sea Devils,21,A. Monton,A. Monton,"MONTON,A",1,0,,,antonio-monton
2022,RFBD2204,BD,Barcelona Dragons,A,RF,Rhein Fire,21,A. Monton,A. Monton,"MONTON,A",1,0,,,antonio-monton
2022,SSBD2201,BD,Barcelona Dragons,A,SS,Stuttgart Surge,21,A. Monton,A. Monton,"MONTON,A",1,0,,,antonio-monton
2022,VVBD2213,BD,Barcelona Dragons,A,VV,Vienna Vikings,21,A. Monton,A. Monton,"MONTON,A",1,1,RB,,antonio-monton
2022,VVBD22PO,BD,Barcelona Dragons,A,VV,Vienna Vikings,21,A. Monton,A. Monton,"MONTON,A",1,1,RB,,antonio-monton
2022,IRBD2208,BD,Barcelona Dragons,A,IR,Istanbul Rams,21,Antonio Monton,A. Monton,"MONTON,A",1,0,,,antonio-monton
2022,CCBD2211,BD,Barcelona Dragons,A,CC,Cologne Centurions,7,A. Rodrigues,A. Rodrigues,"RODRIGUES,A",1,1,LB,,antony-rodrigues
2022,HDBD2202,BD,Barcelona Dragons,A,HD,Hamburg Sea Devils,7,A. Rodrigues,A. Rodrigues,"RODRIGUES,A",1,1,LB,,antony-rodrigues
2022,RFBD2204,BD,Barcelona Dragons,A,RF,Rhein Fire,7,A. Rodrigues,A. Rodrigues,"RODRIGUES,A",1,1,LB,,antony-rodrigues
2022,SSBD2201,BD,Barcelona Dragons,A,SS,Stuttgart Surge,7,A. Rodrigues,A. Rodrigues,"RODRIGUES,A",1,1,LB,,antony-rodrigues
2022,VVBD2213,BD,Barcelona Dragons,A,VV,Vienna Vikings,7,A. Rodrigues,A. Rodrigues,"RODRIGUES,A",1,1,LB,,antony-rodrigues
2022,VVBD22PO,BD,Barcelona Dragons,A,VV,Vienna Vikings,7,A. Rodrigues,A. Rodrigues,"RODRIGUES,A",1,1,LB,,antony-rodrigues
2022,IRBD2208,BD,Barcelona Dragons,A,IR,Istanbul Rams,7,Antony Rodrigues,A. Rodrigues,"RODRIGUES,A",1,1,LB,,antony-rodrigues
