season,game_id,team_id,team_name,loc,opponent_id,opponent_name,player_uni,player_name,player_short_name,player_check_name,player_GP,player_GS,player_pos,player_id,old_player_id
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,0,I. Mbungu,I. Mbungu,I. Mbungu,1,0,,9a57ed60-da3c-11ed-a8cf-bf90b728a50c,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,1,C. Aiken Jr.,C. Aiken Jr.,C. Aiken Jr.,1,1,,698ec250-24b8-11ee-bbc7-97274643e27b,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,2,K. Hike Jr.,K. Hike Jr.,K. Hike Jr.,1,1,,,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,4,N. Streater,N. Streater,N. Streater,1,1,,,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,5,A. Buri,A. Buri,A. Buri ,1,1,,e48d1530-d8a8-11ed-b5d9-e59dc85e57e9,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,6,C. van Ommeren,C. van Ommeren,C. van Ommeren,1,0,,,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,7,D. Gfeller,D. Gfeller,D. Gfeller,1,0,,bd827e11-e567-4ff3-adc8-60bc040d3a8e,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,8,M. Kimpiabi,M. Kimpiabi,M. Kimpiabi,1,1,,b788edbb-f228-4c18-b369-5cb2fb2a92c7,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,9,N. Jonkmans,N. Jonkmans,N. Jonkmans,1,0,,f9f9af80-d8af-11ed-b5d9-e59dc85e57e9,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,10,M. Spiller,M. Spiller,M. Spiller,1,1,,f94b90b0-1299-11ef-94d1-d90721543bc4,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,11,A. Brown,A. Brown,A. Brown,1,1,,c7804fe0-0ded-11ef-9a9a-63faaf8e1a5e,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,12,A. Agnimel,A. Agnimel,A. Agnimel,1,1,,,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,14,T. Schuermann,T. Schuermann,T. Schürmann,1,1,,ccfe3d80-d8a9-11ed-b5d9-e59dc85e57e9,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,16,M. Faugere,M. Faugere,M. Faugere,1,0,,96018400-129a-11ef-a21f-dd5d10a85600,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,17,N. Singer,N. Singer,N. Singer,1,1,,1facc4e0-1902-11ef-b269-71721fac89ae,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,21,F. Bruhin,F. Bruhin,F. Bruhin,1,1,,a9cd1370-d8ab-11ed-b5d9-e59dc85e57e9,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,22,K. Gongarad,K. Gongarad,K. Gongarad,1,0,,902314e0-1295-11ef-a6af-29599c10604d,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,24,M. Nkule,M. Nkule,M. Nkule,1,0,,b0c0eb40-0df0-11ef-b1f0-1f2cad9b8b0c,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,25,K. Fortes,K. Fortes,K. Fortes,1,1,,986eb046-df81-40de-ad56-4a93c93a729b,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,26,S. Guarino,S. Guarino,S. Guarino,1,1,,,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,29,R. Zanella,R. Zanella,R. Zanella,1,0,,bf9b1150-27c7-11ee-a324-a7d0a5600b19,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,32,L. Wirz,L. Wirz,L. Wirz,1,0,,c4d37710-27b9-11ee-a7dc-cd34e4c86e00,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,35,F. Ziegler,F. Ziegler,F. Ziegler ,1,1,,57a95390-d8ad-11ed-b5d9-e59dc85e57e9,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,42,D. Lehmann,D. Lehmann,D. Lehmann,1,0,,86cdd0b0-129f-11ef-8a91-17140603ca6e,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,44,F. Strahm,F. Strahm,F. Strahm,1,0,,1178c7e0-e3b4-11ed-b745-21f5d0c6720a,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,46,J. Conus,J. Conus,J. Conus,1,0,,65d27990-e3bd-11ed-a903-0f30b3b8c4d3,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,47,J. Falk,J. Falk,J. Falk,1,1,,f062ab70-da3a-11ed-a8cf-bf90b728a50c,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,55,P. Stylianopoulos,P. Stylianopoulos,P. Stylianopoulos,1,0,,,
2024,bdhg2404,HM,Helvetic Mercenaries,A,BD,Barcelona Dragons,57,J. Stalder,J. Stalder,J. Stalder,1,1,,8b152100-d8a3-11ed-b5d9-e59dc85e57e9,
