season,game_week,game_datetime,away_team,away_team_id,home_team,home_team_id,quarter_num,drive_num,play_type,play_desc,down_and_distance
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,1,Rush,"J. Rodney rush for 2 yards, tackled by R. Simiram-Wilson",1st down and 10 at MR40
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,1,Pass,"C. Jeffries pass complete to M. Stanley for 9 yards, tackled by R. Simiram-Wilson and L. Bach",2nd down and 8 at MR42
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,1,Pass,"C. Jeffries pass incomplete to T. Oyewo, who dropped the pass",1st down and 10 at SS49
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,1,Pass,"C. Jeffries pass complete to M. Rutsch for 1 yard, goes out-of-bounds forced by M. Vidackovic",2nd down and 10 at SS49
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,1,Pass,"C. Jeffries pass complete to L. Regler for no gain, goes out-of-bounds forced by B. Wenzler",3rd down and 9 at SS48
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,1,Punt,"L. Adrom punt for 39 yards, fair catch by M. Fettig at the S9",4th down and 9 at SS48
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Rush,"N. Khandar rush for 6 yards, tackled by M. Schlabitz and T. Vaimaona",1st down and 10 at SS9
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Penalty,"Stuttgart Surge penalty FS  False Start 5 yards to the S10, No-Play",2nd down and 10 at SS15
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Pass,"R. Hennessey pass complete to L. Geyer for 7 yards, tackled by J. Guerntke",2nd down and 11 at SS10
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Rush,"N. Khandar rush for 4 yards, tackled by T. Vaimaona and J. Zirngibl",3rd down and 4 at SS17
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Pass,R. Hennessey pass complete to Y. Mayr for 20 yards,1st down and 10 at SS21
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Rush,"K. Hunter rush for no gain, tackled by W. Nasri",1st down and 10 at SS41
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Penalty,Munich Ravens penalty EN  Encroachment 5 yards to the S46,2nd down and 10 at SS41
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Pass,"R. Hennessey pass complete to L. Geyer for 2 yards, tackled by E. Köhncke",2nd down and 5 at SS46
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Pass,"R. Hennessey pass complete to L. Geyer for 16 yards, tackled by E. Köhncke",3rd down and 3 at SS48
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Rush,"N. Khandar rush for 13 yards, tackled by W. Nasri",1st down and 10 at MR36
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Pass,"R. Hennessey pass complete to D. Hazelton Jr for 19 yards, tackled by J. Flowers and T. Vogl",1st down and 10 at MR23
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Rush,"N. Khandar rush for no gain, tackled by J. Zirngibl and H. Awuah",1st down and 10 at MR4
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Pass,R. Hennessey pass complete to L. Geyer for 4 yards for a TOUCHDOWN,2nd down and 10 at MR4
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Point after try,L. Krieg attempts an extra point and succeeds!,0th down and 0 at MR15
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,2,Kickoff,L. Krieg kickoff for 70 yards for a major touchback,0th down and 0 at SS30
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,3,Rush,"J. Rodney rush for 11 yards, tackled by C. Walrond and C. Mulumba",1st down and 10 at MR30
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,3,Rush,"J. Rodney rush for 2 yards, tackled by C. Mulumba and A. Kress",1st down and 10 at MR41
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,3,Pass,"C. Jeffries pass complete to M. Malki for 7 yards, goes out-of-bounds forced by B. Wenzler",2nd down and 8 at MR43
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,3,Rush,"C. Jeffries rush for 5 yards, tackled by N. Knoblauch",3rd down and 1 at MR50
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,3,Penalty,"Stuttgart Surge penalty NZI Neutral Zone Infraction S. Busch 5 yards to the S40, No-Play",1st down and 10 at SS45
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,3,Pass,"C. Jeffries pass complete to T. Oyewo for 5 yards, goes out-of-bounds forced by R. Simiram-Wilson",1st down and 5 at SS40
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,3,Rush,"J. Rodney rush for 1 yard, tackled by S. Jelvani",1st down and 10 at SS35
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,3,Pass,"C. Jeffries pass intercepted by C. Walrond, goes out-of-bounds forced by M. Werthmann",2nd down and 9 at SS34
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,4,Pass,R. Hennessey pass complete to D. Hazelton Jr for 43 yards for a TOUCHDOWN,1st down and 10 at MR43
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,4,Point after try,L. Krieg attempts an extra point and succeeds!,0th down and 0 at MR15
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,4,Kickoff,"L. Krieg kickoff for 64 yards returned by D. Robinson, tackled by N. Knoblauch",0th down and 0 at SS30
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,5,Rush,"C. Jeffries rush for 6 yards, tackled by L. Bach",1st down and 10 at MR27
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,1,5,Pass,"C. Jeffries pass complete to M. Stanley for 49 yards, goes out of bounds forced by M. Vidackovic and C. Walrond",2nd down and 4 at MR33
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,1,Rush,"J. Rodney rush for 2 yards, tackled by S. Okonta-W. and A. Kress",1st down and 10 at SS18
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,1,Pass,C. Jeffries pass incomplete to M. Stanley,2nd down and 8 at SS16
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,1,Sack,"C. Jeffries gets sacked at S16 by N. Krüger, Quarterback sack by N. Krüger",3rd down and 8 at SS16
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,1,Field goal attempt,R. Werner attempts a 38 yards field goal and the kick is good. ,4th down and 12 at SS20
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,1,Kickoff,"R. Werner kickoff for 62 yards returned by Y. Mayr, tackled by R. Ali-Tagba",0th down and 0 at MR30
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,2,Rush,"N. Khandar rush for no gain, tackled by J. Zirngibl",1st down and 10 at SS22
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,2,Pass,"R. Hennessey pass complete to J. Pietsch for 24 yards, tackled by E. Köhncke",2nd down and 10 at SS22
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,2,Rush,"L. Geyer rush for 17 yards, goes out-of-bounds forced by E. Köhncke",1st down and 10 at SS46
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,2,Rush,"K. Hunter rush for 12 yards, tackled by J. Guerntke",1st down and 10 at MR37
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,2,Pass,"R. Hennessey pass complete to L. Helm for 10 yards, tackled by J. Flowers",1st down and 10 at MR25
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,2,Rush,"K. Hunter rush for 1 yard, tackled by T. Vaimaona",1st down and 10 at MR15
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,2,Rush,"R. Hennessey rush for 5 yards, goes out-of-bounds forced by D. Robinson",2nd down and 9 at MR14
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,2,Pass,R. Hennessey pass incomplete to F. Lengauer,3rd down and 4 at MR9
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,2,Field goal attempt,L. Krieg attempts a 26 yards field goal and the kick is good. ,4th down and 4 at MR9
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,2,Kickoff,L. Krieg kickoff for 70 yards for a major touchback,0th down and 0 at SS30
2024,5,2024-06-22 12:00:00,stuttgart-surge,637d28a05a83d2285e2529d2,munich-ravens,637d28a05a83d2285e2529cc,2,3,Pass,"C. Jeffries pass complete to M. Rutsch for 12 yards, tackled by S. Okonta-W.",1st down and 10 at MR30
