season,game_week,game_datetime,away_team,away_team_id,home_team,home_team_id,quarter_num,drive_num,play_type,play_desc,down_and_distance
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Pass,"Z. Edwards pass complete to J. Alexandre for 5 yards to the PM27, out-of-bounds.",1st down and 10 at PM22
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Rush,"S. Yepmo rush for 10 yards to the PM37, 1ST DOWN PM (L. Weitz;C. Walrond).",2nd down and 5 at PM27
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Pass,Z. Edwards pass complete to K. Sweet for 8 yards to the PM45 (F. Foedinger;L. Weitz).,1st down and 10 at PM37
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Pass,Z. Edwards pass complete to J. Aguemon for 1 yard to the PM46 (L. Weitz).,2nd down and 2 at PM45
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Rush,"Z. Edwards rush for 5 yards to the CC49, 1ST DOWN PM (J. Wenke).",3rd down and 1 at PM46
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Timeout,"Timeout Cologne Centurions, clock 12:58.",1st down and 10 at CC49
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Pass,Z. Edwards pass incomplete to R. Bertellin.,1st down and 10 at CC49
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Pass,"Z. Edwards pass complete to J. Alexandre for 7 yards to the CC42, out-of-bounds.",2nd down and 10 at CC49
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Pass,"Z. Edwards pass incomplete to J. Alexandre, PENALTY CC Defensive Offside 5 yards to the CC37, 1ST DOWN PM.",3rd down and 3 at CC42
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Pass,Z. Edwards pass incomplete to R. Bertellin.,1st down and 10 at CC37
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Pass,Z. Edwards pass incomplete to R. Bertellin.,2nd down and 10 at CC37
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Pass,Z. Edwards pass incomplete to A. Botella M.,3rd down and 10 at CC37
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,1,Punt,"R. Bertellin punt 37 yards to the CC0, touchback.",4th down and 10 at CC37
2023,1,2023-06-03 10:00:00,paris-musketeers,637d28a05a83d2285e2529ce,cologne-centurions,637d28a05a83d2285e2529c4,1,2,Drive start,COLOGNE CENTURIONS drive start at 11:04.,1st down and 10 at CC20
