season,game_week,game_datetime,away_team,away_team_id,home_team,home_team_id,quarter_num,drive_num,play_type,play_desc,down_and_distance
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Rush,"Z. Edwards rushes for no gain, tackled by K. Titz",1st down and 10 at MR41
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Pass,Z. Edwards pass incomplete to H. Tekedam,2nd down and 10 at MR41
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Rush,"Z. Edwards rushes for 7 yards, tackled by C. Nitzlnader",3rd down and 10 at MR41
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Pass,"Z. Edwards pass complete to K. Mwamba for 4 yards, tackled by W. Nasri",4th down and 3 at MR34
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Rush,"C. Voumbo rushes for 5 yards, tackled by M. Time",1st down and 10 at MR30
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Pass,Z. Edwards pass incomplete to R. Bertellin,2nd down and 5 at MR25
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Pass,"Z. Edwards pass complete to F. Larose for 12 yards, tackled by J. Nkembi",3rd down and 5 at MR25
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Pass,Z. Edwards pass incomplete to R. Bertellin,1st down and 10 at MR13
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Pass,"Z. Edwards pass complete to K. Mwamba for 10 yards, tackled by M. Schlabitz and C. Nitzlnader",2nd down and 10 at MR13
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Rush,Z. Edwards rushes for no gain,1st down and 10 at MR3
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Pass,Z. Edwards pass complete to A. Mitchell for 3 yards for a TOUCHDOWN,2nd down and 10 at MR3
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Point after try,M. Dupont attempts an extra point but misses,0th down and 0 at MR15
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,1,Kickoff,"M. Dupont kickoff for 70 yards returned by J. Cole, tackled by D. Dales",0th down and 0 at PM30
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Rush,"C. Jeffries rushes for 5 yards, tackled by S. Zeregbe",1st down and 10 at MR26
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Rush,"J. Rodney rushes for 2 yards, tackled by J. Loew and D. Dales",2nd down and 4 at MR31
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Rush,"M. Stanley rushes for 12 yards, tackled by M. Beard",3rd down and 2 at MR33
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Rush,"C. Jeffries rushes for 9 yards, tackled by D. Gomis",1st down and 10 at MR45
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Rush,"C. Jeffries rushes for 2 yards, tackled by D. Dales",2nd down and 1 at PM46
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Pass,"C. Jeffries pass complete to M. Stanley for 9 yards, tackled by D. Gomis Paris Musketeers penalty: 'FM' 0 yards to the P22",1st down and 10 at PM44
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Pass,"C. Jeffries pass complete to T. Oyewo for 9 yards, goes out-of-bounds forced by M. Beard",1st down and 10 at PM22
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Rush,"M. Stanley rushes for 3 yards, tackled by D. Dales",2nd down and 1 at PM13
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Rush,"C. Jeffries rushes for a loss of 2 yards, tackled by A. Mizius and V. Gnahoua",1st down and 10 at PM10
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Pass,C. Jeffries pass incomplete,2nd down and 12 at PM12
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Pass,C. Jeffries pass complete to S. Dragan for 12 yards for a TOUCHDOWN,3rd down and 12 at PM12
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Point after try,R. Werner attempts an extra point and succeeds!,0th down and 0 at PM15
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,2,Kickoff,"R. Werner kickoff for 63 yards returned by A. Mitchell, tackled by R. Werner",0th down and 0 at MR30
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,3,Rush,"C. Voumbo rushes for 2 yards, tackled by H. Awuah",1st down and 10 at MR46
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,3,Pass,"Z. Edwards pass complete to H. Tekedam for 11 yards, tackled by J. Nkembi and M. Schlabitz",2nd down and 8 at MR44
2024,15,2024-08-31 08:15:00,munich-ravens,637d28a05a83d2285e2529cc,tbd,637d28a05a83d2285e2529ce,1,3,Pass,"Z. Edwards pass complete to C. Voumbo for 7 yards, tackled by W. Nasri",1st down and 10 at MR32
