game_id,game_date,game_location,game_stadium,away_abv,away_name,home_abv,home_name,team_id,team_name,visitor_home,player_id,player_code,player_jersey_num,player_name,player_short_name,player_check_name,player_position,GP,GS,rush_att,rush_yds,rush_yds_gain,rush_yds_loss,rush_td,rush_long,pass_comp,pass_att,pass_yds,pass_td,pass_int,pass_long,pass_sacks,pass_sack_yds,receiving_rec,receiving_yds,receiving_td,receiving_long,defense_tackles_total,defense_tackles_solo,defense_tackles_ast,defense_tfl_solo,defense_tfl_ast,defense_tfl,defense_tfl_YDS,defense_sacks,defense_sack_yds,defense_pbu,kick_return_num,kick_return_yds,kick_return_td,kick_return_long,punt_return_num,punt_return_yds,punt_return_td,punt_return_long,punt_att,punt_gross_yds,punt_long,punt_blk,punt_tb,punt_fc,punt_50+,punt_in_20,punt_gross_avg,kickoff_att,kickoff_yds,kickoff_out_of_bounds,kickoff_tb,kick_fgm,kick_fga,kick_fg%,kick_fg_long,kick_fg_blk,kick_xpm,kick_xpa,2PM_pass_att,2PM_pass_made,kick_xp%,defense_interceptions_num,defense_interceptions_yds,defense_interceptions_td,defense_interceptions_long,season,fumbles_num,fumbles_lost,defense_fr,defense_fr_yds,defense_fr_td,defense_fr_long,field_goal_return_num,field_goal_return_yds,field_goal_return_td
BDCC2203,2022-06-18 18:00:00,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,,1,1,Q. Pounds,Q. Pounds,"POUNDS,Q",WR,1,1,1.0,-4.0,0.0,4.0,0.0,0.0,,,,,,,,,12.0,192.0,4.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,
BDCC2203,2022-06-18 18:00:00,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,,2,2,T. Yagmur,T. Yagmur,"YAGMUR,T",,1,0,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,
BDCC2203,2022-06-18 18:00:00,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,,3,3,J. Voelker,J. Voelker,"VOELKER,J",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,
BDCC2203,2022-06-18 18:00:00,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,,4,4,K. Beverly,K. Beverly,"BEVERLY,K",,1,1,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,
BDCC2203,2022-06-18 18:00:00,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,,5,5,P. Lenhardt,P. Lenhardt,"LENHARDT,P",WR,1,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,9.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,
BDCC2203,2022-06-18 18:00:00,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,,6,6,B. Cerimagic,B. Cerimagic,"CERIMAGIC,B",,1,0,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,
BDCC2203,2022-06-18 18:00:00,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,,7,7,Al. Frisch,Al. Frisch,"FRISCH,AL",,1,0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,
BDCC2203,2022-06-18 18:00:00,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,,8,8,D. Tanwani,D. Tanwani,"TANWANI,D",RB,1,1,17.0,64.0,67.0,3.0,0.0,10.0,,,,,,,,,6.0,79.0,0.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,
BDCC2203,2022-06-18 18:00:00,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,,10,10,J. Schlesinger,J. Schlesinger,"SCHLESINGER,J",,1,0,,,,,,,,,,,,,,,3.0,29.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,
BDCC2203,2022-06-18 18:00:00,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,,12,12,J. Weinreich,J. Weinreich,"WEINREICH,J",QB,1,1,6.0,-6.0,7.0,13.0,1.0,6.0,36.0,53.0,442.0,4.0,1.0,81.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,2022,,,,,,,,,
