game_id,game_date,game_location,game_stadium,away_abv,away_name,home_abv,home_name,team_id,team_name,visitor_home,player_id,player_code,player_jersey_num,player_name,player_short_name,player_check_name,player_position,GP,GS,rush_att,rush_yds,rush_yds_gain,rush_yds_loss,rush_td,rush_long,pass_comp,pass_att,pass_yds,pass_td,pass_int,pass_long,pass_sacks,pass_sack_yds,receiving_rec,receiving_yds,receiving_td,receiving_long,defense_tackles_total,defense_tackles_solo,defense_tackles_ast,defense_tfl_solo,defense_tfl_ast,defense_tfl,defense_tfl_YDS,defense_sacks,defense_sack_yds,defense_pbu,kick_return_num,kick_return_yds,kick_return_td,kick_return_long,punt_return_num,punt_return_yds,punt_return_td,punt_return_long,punt_att,punt_gross_yds,punt_long,punt_blk,punt_tb,punt_fc,punt_50+,punt_in_20,punt_gross_avg,kickoff_att,kickoff_yds,kickoff_out_of_bounds,kickoff_tb,kick_fgm,kick_fga,kick_fg%,kick_fg_long,kick_fg_blk,kick_xpm,kick_xpa,2PM_pass_att,2PM_pass_made,kick_xp%,defense_interceptions_num,defense_interceptions_yds,defense_interceptions_td,defense_interceptions_long,season,fumbles_num,fumbles_lost,defense_fr,defense_fr_yds,defense_fr_td,defense_fr_long,field_goal_return_num,field_goal_return_yds,field_goal_return_td
BDBT2106,2021-07-24 19:00:00,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,,1,1,J. Crawford,J. Crawford,"CRAWFORD,J",RB,1,1,23.0,201.0,203.0,2.0,0.0,55.0,1.0,1.0,12.0,0.0,0.0,12.0,0.0,0.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
BDBT2106,2021-07-24 19:00:00,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,,2,2,J. White,J. White,"WHITE,J",,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
BDBT2106,2021-07-24 19:00:00,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,,3,3,A. Gehrt,A. Gehrt,"GEHRT,A",,1,1,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
BDBT2106,2021-07-24 19:00:00,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,,4,4,A. Boadu,A. Boadu,"BOADU,A",,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
BDBT2106,2021-07-24 19:00:00,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,,5,5,D. Weiswange,D. Weiswange,"WEISWANGE,D",,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
BDBT2106,2021-07-24 19:00:00,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,,6,6,C. Stitt,C. Stitt,"STITT,C",,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
BDBT2106,2021-07-24 19:00:00,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,,7,7,S. Jones,S. Jones,"JONES,S",WR,1,1,2.0,15.0,15.0,0.0,0.0,11.0,,,,,,,,,27.0,27.0,27.0,27.0,,,,,,,,,,,2.0,52.0,0.0,26.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
BDBT2106,2021-07-24 19:00:00,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,,8,8,P. Seifert,P. Seifert,"SEIFERT,P",,1,1,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
BDBT2106,2021-07-24 19:00:00,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,,9,9,P. Schaar,P. Schaar,"SCHAAR,P",,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
BDBT2106,2021-07-24 19:00:00,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,,10,10,S. Mayerhoff,S. Mayerhoff,"MAYERHOFF,S",,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,
