season,game_id,team_id,team_name,loc,opponent_id,opponent_name,player_uni,player_name,player_short_name,player_check_name,player_GP,player_GS,player_pos,pass_comp,pass_att,pass_comp_pct,pass_yds,pass_tds,pass_int,pass_long,pass_ypa,pass_ypc,pass_cfb_qbr,pass_nfl_qbr,pass_sacks,pass_sacked_yds,pass_ny/a,pass_any/a,rush_att,rush_yds,rush_yds_gained,rush_yds_lost,rush_td,rush_long,rush_avg,rec_targets,rec_no,rec_yds,rec_avg,rec_tds,rec_long,rec_catch_pct,fumbles,fumbles_lost,defense_solo_tackles,defense_ast_tackles,defense_total_tackles,defense_solo_tfl,defense_ast_tfl,defense_tfls,defense_tfl_yds,defense_solo_sack,defense_ast_sack,defense_sacks,defense_qb_hits,defense_int,defense_int_yds,defense_int_td,defense_int_long,defense_pbu,defense_ff,defense_fr,defense_fr_yds,defense_fr_tds,defense_fr_long,defense_saf,defense_blkd,punt_no,punt_gross_yds,punt_gross_avg,punt_net_yds,punt_net_avg,punt_tb,punt_blkd,punt_fc,punt_50+,punt_inside_20,punt_long,ko_no,ko_yds,ko_ob,ko_tb,ko_fc_yds,ko_avg,fg_made,fg_att,fg_long,fg_blkd,fg_pct,xp_made,xp_att,xp_blkd,two_pt_pass_made,two_pt_pass_att,two_pt_rush_made,two_pt_rush_att,two_pt_rec_made,two_pt_rec_att,def_two_pt_fum_made,def_two_pt_fum_att,def_two_pt_kick_made,def_two_pt_kick_att,pr_no,pr_yds,pr_td,pr_long,pr_avg,kr_no,kr_yds,kr_td,kr_long,kr_avg,fgr_no,fgr_yds,fgr_td,fgr_long,fgr_avg
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,4,Collin Hill,C. Hill,"HILL,C",1,1,QB,22.0,39.0,0.56,242.0,1.0,2.0,39.0,6.21,11.0,106.74,0.0,3.0,25.0,5.17,3.5,3.0,10.0,10.0,0.0,0.0,5.0,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BDHG2301,HG,Helvetic Guards,H,BD,Barcelona Dragons,18,Conor Miller,C. Miller,"MILLER,C",1,1,QB,23.0,39.0,0.59,361.0,4.0,0.0,36.0,9.26,15.7,170.57,0.0,0.0,0.0,9.26,11.31,3.0,-1.0,0.0,1.0,0.0,0.0,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023,BDMR2304,MR,Munich Ravens,A,BD,Barcelona Dragons,12,C. Jeffries,C. Jeffries,"JEFFRIES,C",1,1,QB,16.0,29.0,0.55,195.0,1.0,0.0,60.0,6.72,12.19,123.03,0.0,2.0,19.0,5.68,6.32,6.0,10.0,13.0,3.0,0.0,6.0,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023,BDMR2304,MR,Munich Ravens,H,BD,Barcelona Dragons,18,C. Miller,C. Miller,"MILLER,C",1,1,QB,24.0,43.0,0.56,331.0,1.0,1.0,63.0,7.7,13.79,123.5,0.0,1.0,8.0,7.34,6.77,2.0,-12.0,0.0,12.0,0.0,0.0,-6.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023,BDMS2311,MS,Milano Seamen,A,BD,Barcelona Dragons,7,Luke Zahradka,L. Zahradka,"ZAHRADKA,L",1,1,QB,22.0,33.0,0.67,355.0,3.0,0.0,87.0,10.76,16.14,187.03,0.0,3.0,10.0,9.58,11.25,5.0,2.0,4.0,2.0,1.0,2.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BDMS2311,MS,Milano Seamen,H,BD,Barcelona Dragons,16,Alex Pacheco,A. Pacheco,"PACHECO,A",1,0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,0.0,0.0,14.0,14.0,0.0,2.0,11.0,5.5,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BDMS2311,MS,Milano Seamen,H,BD,Barcelona Dragons,18,Conor Miller,C. Miller,"MILLER,C",1,1,QB,26.0,50.0,0.52,238.0,2.0,1.0,36.0,4.76,9.15,101.18,0.0,0.0,0.0,4.76,4.66,1.0,9.0,9.0,0.0,0.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BDPM2309,PM,Paris Musketeers,A,BD,Barcelona Dragons,1,Z. Edwards,Z. Edwards,"EDWARDS,Z",1,1,QB,13.0,25.0,0.52,250.0,2.0,0.0,70.0,10.0,19.23,162.4,0.0,1.0,13.0,9.12,10.65,8.0,38.0,45.0,7.0,1.0,27.0,4.75,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023,BDPM2309,PM,Paris Musketeers,A,BD,Barcelona Dragons,12,H. Tekedam,H. Tekedam,"TEKEDAM,H",1,0,,1.0,3.0,0.33,5.0,0.0,0.0,5.0,1.67,5.0,47.33,0.0,0.0,0.0,1.67,1.67,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,38.0,38.0,1.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BDPM2309,PM,Paris Musketeers,H,BD,Barcelona Dragons,4,C. Aiken Jr.,C. Aiken Jr.,",C AIKEN JR",1,1,QB,13.0,33.0,0.39,207.0,1.0,2.0,39.0,6.27,15.92,89.96,0.0,7.0,66.0,3.52,1.78,10.0,61.0,66.0,5.0,0.0,15.0,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023,BDPM2309,PM,Paris Musketeers,H,BD,Barcelona Dragons,16,A. Pacheco,A. Pacheco,"PACHECO,A",1,0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,17.0,1.0,0.0,9.0,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BDRT2307,RT,Raiders Tirol,A,BD,Barcelona Dragons,17,C. Strong,C. Strong,"STRONG,C",1,1,QB,19.0,36.0,0.53,177.0,1.0,2.0,33.0,4.92,9.32,92.13,0.0,0.0,0.0,4.92,2.97,5.0,2.0,9.0,7.0,0.0,6.0,0.4,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BDRT2307,RT,Raiders Tirol,H,BD,Barcelona Dragons,16,A. Pacheco,A. Pacheco,"PACHECO,A",1,0,,3.0,7.0,0.43,24.0,0.0,1.0,11.0,3.43,8.0,43.09,0.0,0.0,0.0,3.43,-3.0,5.0,10.0,12.0,2.0,0.0,5.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BDRT2307,RT,Raiders Tirol,H,BD,Barcelona Dragons,18,C. Miller,C. Miller,"MILLER,C",1,1,QB,10.0,19.0,0.53,38.0,0.0,0.0,12.0,2.0,3.8,69.43,0.0,2.0,20.0,0.86,0.86,1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BTFE2306,FE,Fehervar Enthroners,A,BT,Berlin Thunder,7,K. Doyle Jr,K. Doyle Jr,"JR,K DOYLE",1,1,QB,9.0,28.0,0.32,77.0,0.0,0.0,26.0,2.75,8.56,55.24,0.0,2.0,10.0,2.23,2.23,5.0,-23.0,2.0,25.0,0.0,2.0,-4.6,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023,BTFE2306,FE,Fehervar Enthroners,H,BT,Berlin Thunder,10,P. Stubbe,P. Stubbe,"STUBBE,P",1,0,,3.0,4.0,0.75,40.0,1.0,0.0,18.0,10.0,13.33,241.5,0.0,0.0,0.0,10.0,15.0,1.0,-1.0,0.0,1.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,168.0,3.2,,,1.0,0.0,0.0,1.0,1.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BTFE2306,FE,Fehervar Enthroners,H,BT,Berlin Thunder,16,S. Jarman,S. Jarman,"JARMAN,S",1,1,QB,21.0,31.0,0.68,266.0,6.0,0.0,47.0,8.58,12.67,203.69,0.0,0.0,0.0,8.58,12.45,2.0,10.0,10.0,0.0,0.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023,BTPL2311,PL,Prague Lions,A,BT,Berlin Thunder,1,T. Fields,T. Fields,"FIELDS,T",1,1,QB,5.0,17.0,0.29,18.0,0.0,0.0,9.0,1.06,3.6,38.31,0.0,1.0,1.0,0.94,0.94,10.0,60.0,61.0,1.0,1.0,38.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BTPL2311,PL,Prague Lions,H,BT,Berlin Thunder,10,P. Stubbe,P. Stubbe,"STUBBE,P",1,0,,4.0,9.0,0.44,46.0,0.0,0.0,25.0,5.11,11.5,87.38,0.0,1.0,9.0,3.7,3.7,2.0,-10.0,0.0,10.0,0.0,0.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,BTPL2311,PL,Prague Lions,H,BT,Berlin Thunder,16,S. Jarman,S. Jarman,"JARMAN,S",1,1,QB,20.0,27.0,0.74,319.0,4.0,0.0,71.0,11.81,15.95,222.21,0.0,0.0,0.0,11.81,14.78,1.0,4.0,4.0,0.0,0.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,37.0,1.0,,,0.0,0.0,0.0,0.0,1.0,37.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
