player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
jocques-crawford,1,Jocques,Crawford,RB,1.83,72.05,100,220.46,2022,Berlin Thunder
bryan-zerbe,11,Bryan,Zerbe,WR,1.85,72.83,90,198.42,2022,Berlin Thunder
alexander-karim-rushdy-stadahl,12,Alexander Karim,Rushdy Stadahl,CB,1.83,72.05,80,176.37,2022,Berlin Thunder
yannis-binner,13,Yannis,Binner,TE,1.92,75.59,95,209.44,2022,Berlin Thunder
kevin-hummel,14,Kevin,Hummel,OLB,1.78,70.08,99,218.26,2022,Berlin Thunder
moritz-thiele,15,Moritz,Thiele,CB,1.81,71.26,88,194.01,2022,Berlin Thunder
naji-el-ali,16,Naji,El-Ali,WR,1.86,73.23,84,185.19,2022,Berlin Thunder
emil-drossard,17,Emil,Drossard,WR,1.75,68.9,78,171.96,2022,Berlin Thunder
ian-gehrke,18,Ian,Gehrke,QB,1.87,73.62,90,198.42,2022,Berlin Thunder
phillip-ruffin,19,Phillip,Ruffin,CB,1.87,73.62,86,189.6,2022,Berlin Thunder
stanley-zeregbe,2,Stanley,Zeregbe,DE,1.88,74.02,105,231.49,2022,Berlin Thunder
albert-wiesigstrauch,22,Albert,Wiesigstrauch,RB,1.73,68.11,82,180.78,2022,Berlin Thunder
paul-fischer,23,Paul,Fischer,CB,1.78,70.08,78,171.96,2022,Berlin Thunder
tim-schulz,24,Tim,Schulz,RB,1.81,71.26,93,205.03,2022,Berlin Thunder
jonas-schenderlein,26,Jonas,Schenderlein,K,1.86,73.23,75,165.35,2022,Berlin Thunder
aaron-grosse-kleimann,27,Aaron,Große Kleimann,DE,2.05,80.71,120,264.55,2022,Berlin Thunder
arne-gehrt,3,Arne,Gehrt,S,1.76,69.29,78,171.96,2022,Berlin Thunder
ludvig-myren,30,Ludvig,Myren,OLB,1.88,74.02,97,213.85,2022,Berlin Thunder
simon-leinauer,31,Simon,Leinauer,ILB,1.8,70.87,95,209.44,2022,Berlin Thunder
felix-mohlberg,33,Felix,Mohlberg,S,1.82,71.65,84,185.19,2022,Berlin Thunder
gino-chongo,4,Gino,Chongo,CB,1.84,72.44,85,187.39,2022,Berlin Thunder
rene-schulze,40,Rene,Schulze,ILB,1.84,72.44,103,227.08,2022,Berlin Thunder
aaron-rosemann,41,Aaron,Rosemann,OLB,1.91,75.2,95,209.44,2022,Berlin Thunder
marcel-steffen,44,Marcel,Steffen,DE,1.87,73.62,100,220.46,2022,Berlin Thunder
kyle-kitchens,45,Kyle ,Kitchens,DE,1.88,74.02,118,260.15,2022,Berlin Thunder
dominique-shelton,5,Dominique,Shelton,S,1.75,68.9,88,194.01,2022,Berlin Thunder
giacomo-de-pauli,5,Giacomo,De Pauli,RB,1.88,74.02,102,224.87,2022,Berlin Thunder
hamsa-el-zein,50,Hamsa,El-Zein,DT,1.88,74.02,140,308.65,2022,Berlin Thunder
alper-pekozer,51,Alper,Peközer,OL,1.88,74.02,130,286.6,2022,Berlin Thunder
oleg-gerats,52,Oleg,Gerats,OL,1.85,72.83,170,374.79,2022,Berlin Thunder
david-izinyon,53,David,Izinyon,ILB,1.85,72.83,113,249.12,2022,Berlin Thunder
marius-makert,55,Marius,Makert,ILB,1.8,70.87,98,216.05,2022,Berlin Thunder
connor-bolton,56,Connor,Bolton,OL,1.96,77.17,150,330.69,2022,Berlin Thunder
willi-dill,6,Willi,Dill,WR,1.75,68.9,86,189.6,2022,Berlin Thunder
