old_player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
janis-kaiser,10,Janis,Kaiser,QB,1.83,72.05,87,191.8,2022,Stuttgart Surge
ronley-lakalaka,11,Ronley,Lakalaka,ILB,1.82,71.65,102,224.87,2022,Stuttgart Surge
luca-faschian,12,Luca,Faschian,WR,1.89,74.41,87,191.8,2022,Stuttgart Surge
noah-bomba,13,Noah,Bomba,WR,1.95,76.77,88,194.01,2022,Stuttgart Surge
paul-steigerwald,18,Paul,Steigerwald,WR,1.98,77.95,98,216.05,2022,Stuttgart Surge
junior-nkembi,19,Junior,Nkembi,S,1.86,73.23,,,2022,Stuttgart Surge
malcolm-washington,2,Malcolm,Washington,CB,1.87,73.62,86,189.6,2022,Stuttgart Surge
chaska-remy-perron,22,Chaska Remy,Perron,CB,1.82,71.65,84,185.19,2022,Stuttgart Surge
luca-weis,24,Luca,Weis,RB,1.84,72.44,88,194.01,2022,Stuttgart Surge
til-becker,30,Til,Becker,OLB,1.9,74.8,100,220.46,2022,Stuttgart Surge
nick-wenzelburger,31,Nick,Wenzelburger,S,1.84,72.44,89,196.21,2022,Stuttgart Surge
julian-ludwig-mayorga,32,Julian,Ludwig-Mayorga,S,1.82,71.65,80,176.37,2022,Stuttgart Surge
ben-wenzler,33,Ben,Wenzler,CB,1.84,72.44,80,176.37,2022,Stuttgart Surge
jalen-conwell,4,Jalen,Conwell,RB,1.77,69.69,80,176.37,2022,Stuttgart Surge
bryan-yankson,41,Bryan,Yankson,RB,1.73,68.11,88,194.01,2022,Stuttgart Surge
precious-ogbevoen,43,Precious (Osaruonamen) ,Ogbevoen,ILB,1.8,70.87,112,246.92,2022,Stuttgart Surge
japhet-maleka-mbala,44,Japhet Maleka,Mbala,ILB,1.75,68.9,89,196.21,2022,Stuttgart Surge
nijaz-hamulic,45,Nijaz,Hamulic,ILB,1.87,73.62,105,231.49,2022,Stuttgart Surge
