old_player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
daniel-duah,1,Daniel,Duah,CB,1.78,70.08,93,205.03,2022,Rhein Fire
harlan-kwofie,10,Harlan,Kwofie,WR,1.89,74.41,99,218.26,2022,Rhein Fire
matt-adam,11,Matt,Adam,QB,1.86,73.23,102,224.87,2022,Rhein Fire
rohat-dagdelen,12,Rohat,Dagdelen,QB,1.87,73.62,99,218.26,2022,Rhein Fire
lesar-duran,13,Lesar,Duran,WR,1.93,75.98,97,213.85,2022,Rhein Fire
maximilian-eisenhut,14,Maximilian,Eisenhut,P,1.87,73.62,95,209.44,2022,Rhein Fire
david-schuler,16,David,Schüler,WR,1.91,75.2,97,213.85,2022,Rhein Fire
jonas-schmelzer,17,Jonas,Schmelzer,QB,1.9,74.8,88,194.01,2022,Rhein Fire
jadrian-clark,18,Jadrian,Clark,QB,1.9,74.8,95,209.44,2022,Rhein Fire
achim-bah,19,Achim,Bah,WR,1.91,75.2,90,198.42,2022,Rhein Fire
leander-carstensen,20,Leander,Carstensen,RB,1.75,68.9,91,200.62,2022,Rhein Fire
kaan-ozcan,21,Kaan,Özcan,RB,1.74,68.5,84,185.19,2022,Rhein Fire
omari-williams,22,Omari,Williams,S,1.86,73.23,82,180.78,2022,Rhein Fire
daniel-rennich,23,Daniel,Rennich,RB,1.83,72.05,92,202.83,2022,Rhein Fire
lasse-meyer,25,Lasse,Meyer,CB,1.81,71.26,85,187.39,2022,Rhein Fire
noah-kolling,27,Noah,Kölling,RB,1.8,70.87,85,187.39,2022,Rhein Fire
tyrone-jordan-alexander,28,Tyrone Jordan,Alexander,RB,1.76,69.29,80,176.37,2022,Rhein Fire
rene-hanssen,29,René,Hanßen,CB,1.8,70.87,84,185.19,2022,Rhein Fire
lukas-ruoss,3,Lukas,Ruoss,ILB,1.92,75.59,104,229.28,2022,Rhein Fire
niklas-siegert,32,Niklas,Siegert,ILB,1.92,75.59,112,246.92,2022,Rhein Fire
fabrizio-umetelli,34,Fabrizio,Umetelli,CB,1.83,72.05,83,182.98,2022,Rhein Fire
adrian-kiernan,39,Adrian,Kiernan,S,1.75,68.9,80,176.37,2022,Rhein Fire
jannik-seibel,4,Jannik,Seibel,CB,1.9,74.8,95,209.44,2022,Rhein Fire
alexander-sobotta,41,Alexander,Sobotta,ILB,1.89,74.41,101,222.67,2022,Rhein Fire
anthony-wesley-baer,42,Anthony Wesley,Baer,LB,1.85,72.83,92,202.83,2022,Rhein Fire
