old_player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
quinten-pounds,1,Quinten,Pounds,WR,1.82,71.65,82,180.78,2022,Cologne Centurions
justin-schlesinger,10,Justin,Schlesinger,WR,1.8,70.87,75,165.35,2022,Cologne Centurions
noah-aarass,11,Noah,Aarass,WR,1.9,74.8,97,213.85,2022,Cologne Centurions
jan-weinreich,12,Jan,Weinreich,QB,1.93,75.98,93,205.03,2022,Cologne Centurions
jannik-loercks,13,Jannik,Lorcks,WR,1.83,72.05,83,182.98,2022,Cologne Centurions
ramin-akhlaghi,14,Ramin,Akhlaghi,WR,1.8,70.87,80,176.37,2022,Cologne Centurions
jens-appelt,15,Jens,Appelt,K,1.85,72.83,90,198.42,2022,Cologne Centurions
tobias-jarmuzek,16,Tobias,Jarmuzek,QB,1.95,76.77,109,240.3,2022,Cologne Centurions
andre-dickmeis,17,Andre,Dickmeis,WR,1.86,73.23,80,176.37,2022,Cologne Centurions
louis-geyer,18,Louis,Geyer,WR,1.88,74.02,90,198.42,2022,Cologne Centurions
waheed-bhikh,19,Waheed,Bhikh,CB,1.83,72.05,83,182.98,2022,Cologne Centurions
tufan-yagmur,2,Tufan,Yagmur,ILB,1.8,70.87,98,216.05,2022,Cologne Centurions
jan-mika-hesseln,20,Jan Mika,Hesseln,CB,1.81,71.26,83,182.98,2022,Cologne Centurions
marvin-djomou-djoupa,21,Marvin,Djomou Djopa,S,1.79,70.47,94,207.23,2022,Cologne Centurions
paul-steffen,22,Paul,Steffen,S,1.79,70.47,88,194.01,2022,Cologne Centurions
ibrahim-eldewieh,23,Ibrahim ,Eldewieh,S,1.78,70.08,86,189.6,2022,Cologne Centurions
justin-wiedelbach,24,Justin,Wiedelbach,K,1.83,72.05,93,205.03,2022,Cologne Centurions
lucas-richter,27,Lucas,Richter,S,1.85,72.83,90,198.42,2022,Cologne Centurions
joshua-mack,28,Joshua,Mack,RB,1.84,72.44,94,207.23,2022,Cologne Centurions
efekan-akgun,29,Efekan,Akgün,CB,1.73,68.11,78,171.96,2022,Cologne Centurions
julian-volker,3,Julian,Volker,DE,1.99,78.35,115,253.53,2022,Cologne Centurions
matthias-banjaqui,30,Matthias,Banjaqui,OLB,1.88,74.02,98,216.05,2022,Cologne Centurions
dany-lamy,31,Dany,Lamy,CB,1.88,74.02,87,191.8,2022,Cologne Centurions
chad-walrond,32,Chad,Walrond,S,1.8,70.87,88,194.01,2022,Cologne Centurions
tobias-nick,33,Tobias,Nick,RB,1.8,70.87,97,213.85,2022,Cologne Centurions
kalon-beverly,4,Kalon,Beverly,CB,1.87,73.62,83,182.98,2022,Cologne Centurions
denis-dauben,41,Denis,Dauben,FB,1.83,72.05,106,233.69,2022,Cologne Centurions
sango-erume-vogel,43,Sango-Erume,Vogel,CB,1.8,70.87,84,185.19,2022,Cologne Centurions
marius-kensy,44,Marius,Kensy,ILB,1.85,72.83,112,246.92,2022,Cologne Centurions
mark-scherenberg,46,Mark,Scherenberg,S,1.83,72.05,93,205.03,2022,Cologne Centurions
niklas-liesen,47,Niklas,Liesen,ILB,1.84,72.44,106,233.69,2022,Cologne Centurions
paul-kavadia-lenhardt,5,Paul,Kavadia-Lenhardt,WR,1.76,69.29,70,154.32,2022,Cologne Centurions
alexander-boes,52,Alexander,Boes,DT,1.9,74.8,120,264.55,2022,Cologne Centurions
jonell-patrice-pelie,53,Jonell Patrice,Pelie,LB,1.72,67.72,92,202.83,2022,Cologne Centurions
maximilian-oebels,54,Maximilian,Oebels,ILB,1.8,70.87,98,216.05,2022,Cologne Centurions
nikodem-hernik,55,Nikodem,Hernik,ILB,1.82,71.65,95,209.44,2022,Cologne Centurions
