old_player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
jacob-templar,1,Jacob,Templar,P/WR,1.93,75.98,99,218.26,2021,Leipzig Kings
anthony-dable-wolf,11,Anthony,Dable-Wolf,WR,1.94,76.38,97,213.85,2021,Leipzig Kings
jaleel-awini,12,Jaleel,Awini,WR/QB,1.92,75.59,95,209.44,2021,Leipzig Kings
erich-kilger,14,Erich,Kilger,WR,1.8,70.87,94,207.23,2021,Leipzig Kings
tom-van-duijn,15,Tom,Van Duijn,QB/K,1.93,75.98,105,231.49,2021,Leipzig Kings
simon-braun,17,Simon,Braun,WR,1.81,71.26,84,185.19,2021,Leipzig Kings
marcel-ulbrich,18,Marcel,Ulbrich,K,1.85,72.83,89,196.21,2021,Leipzig Kings
daniel-docal,21,Daniel,Docal,DB,1.75,68.9,84,185.19,2021,Leipzig Kings
jason-aguemon,21,Jason,Aguemon,RB,1.79,70.47,93,205.03,2021,Leipzig Kings
raymond-sobowale,22,Raymond,Sobowale,RB,1.85,72.83,106,233.69,2021,Leipzig Kings
moritz-herzel,23,Moritz,Herzel,RB,1.68,66.14,83,182.98,2021,Leipzig Kings
luc-schneider,24,Luc,Schneider,RB,1.71,67.32,85,187.39,2021,Leipzig Kings
anastassiadis-kiriakos,25,Anastassiadis,Kiriakos,DB,1.8,70.87,87,191.8,2021,Leipzig Kings
florian-borger,26,Florian,Borger,S,1.78,70.08,105,231.49,2021,Leipzig Kings
tony-kulok,27,Tony,Kulok,RB,1.81,71.26,84,185.19,2021,Leipzig Kings
jonathan-dietze,28,Jonathan,Dietze,S,1.74,68.5,80,176.37,2021,Leipzig Kings
michael-birdsong,3,Michael,Birdsong,QB,1.95,76.77,105,231.49,2021,Leipzig Kings
tristan-csiza,30,Tristan,Csiza,DB,1.8,70.87,85,187.39,2021,Leipzig Kings
lion-deckwarth,32,Lion,Deckwarth,ILB,1.87,73.62,100,220.46,2021,Leipzig Kings
paul-meissner,33,Paul,Meißner,S,1.85,72.83,100,220.46,2021,Leipzig Kings
dominik-wunsche,34,Dominik,Wünsche,CB,1.92,75.59,89,196.21,2021,Leipzig Kings
lukas-rebensdorf,35,Lukas,Rebensdorf,DB,1.88,74.02,87,191.8,2021,Leipzig Kings
olav-rohnebaek,40,Olav,Røhnebæk,ILB,1.92,75.59,90,198.42,2021,Leipzig Kings
philipp-mingerzahn,42,Philipp,Mingerzahn,DL/LB,1.85,72.83,97,213.85,2021,Leipzig Kings
kyle-kitchens,45,Kyle ,Kitchens,DE,1.88,74.02,118,260.15,2021,Leipzig Kings
maximilian-fitz,47,Maximilian,Fitz,ILB,1.93,75.98,100,220.46,2021,Leipzig Kings
moritz-graul,47,Moritz,Graul,CB,1.87,73.62,90,198.42,2021,Leipzig Kings
luca-lampe,48,Luca,Lampe,LB,1.93,75.98,95,209.44,2021,Leipzig Kings
jonas-schultes,50,Jonas ,Schultes,ILB,1.9,74.8,110,242.51,2021,Leipzig Kings
max-bruder,51,Max,Bruder,OL,2.13,83.86,148,326.28,2021,Leipzig Kings
mirko-parnow,51,Mirko,Parnow,LB,1.77,69.69,93,205.03,2021,Leipzig Kings
chris-schlack,52,Chris,Schlack,LB,1.78,70.08,90,198.42,2021,Leipzig Kings
pascal-topolewski,53,Pascal,Topolewski,ILB,1.79,70.47,92,202.83,2021,Leipzig Kings
martin-strauss,54,Martin,Strauß,ILB,1.85,72.83,104,229.28,2021,Leipzig Kings
lance-leota,56,Lance,Leota,DT,1.85,72.83,140,308.65,2021,Leipzig Kings
roedion-henrique,6,Roedion,Henrique,CB,1.89,74.41,89,196.21,2021,Leipzig Kings
timothy-knuettel,6,Timothy,Knüttel,WR,1.88,74.02,90,198.42,2021,Leipzig Kings
benhwoll-tchiyoko,7,Benhwoll,Tchiyoko,DB,1.85,72.83,86,189.6,2021,Leipzig Kings
jonas-hagerup,70,Jonas,Hagerup,OL,200.0,7874.02,137,302.03,2021,Leipzig Kings
shalom-baafi,70,Shalom,Baafi,OL,1.94,76.38,140,308.65,2021,Leipzig Kings
florian-barthel,71,Florian,Barthel,OL,1.92,75.59,150,330.69,2021,Leipzig Kings
tilman-brutsch,74,Tilman,Brütsch,OL,1.89,74.41,140,308.65,2021,Leipzig Kings
sven-hinrichs,75,Sven,Hinrichs,OL,1.95,76.77,155,341.72,2021,Leipzig Kings
per-kristian-molberg,76,Per Kristian,Molberg,OL,1.98,77.95,135,297.62,2021,Leipzig Kings
