player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
salieu-ceesay,1,Salieu,Ceesay,QB,1.94,76.38,92,202.83,2022,Hamburg Sea Devils
jean-claude-madin-cerezo,10,Jean-Claude,Madin Cerezo,WR,1.86,73.23,95,209.44,2022,Hamburg Sea Devils
benjamin-mau,11,Benjamin,Mau,WR,2.01,79.13,104,229.28,2022,Hamburg Sea Devils
johann-heuck,12,Johann,Heuck,QB,1.96,77.17,88,194.01,2022,Hamburg Sea Devils
tim-albrecht,13,Tim,Albrecht,WR,1.87,73.62,93,205.03,2022,Hamburg Sea Devils
maximilian-wessel,14,Maximilian,Wessel,S,1.81,71.26,92,202.83,2022,Hamburg Sea Devils
kevin-fortes,15,Kevin,Fortes,S,1.9,74.8,93,205.03,2022,Hamburg Sea Devils
lamar-jordan,16,Lamar,Jordan II,WR,1.8,70.87,83,182.98,2022,Hamburg Sea Devils
nassim-amroun,19,Nassim,Amroun,WR,1.86,73.23,81,178.57,2022,Hamburg Sea Devils
tobias-nill,2,Tobias,Nill,WR,1.78,70.08,92,202.83,2022,Hamburg Sea Devils
gerald-ameln,20,Gerald,Ameln,RB,1.8,70.87,88,194.01,2022,Hamburg Sea Devils
vincent-wilson-oberko,21,Vincent,Wilson-Oberko,S,1.8,70.87,82,180.78,2022,Hamburg Sea Devils
aleksandr-astahin,22,Aleksandr,Astahin,S,1.71,67.32,87,191.8,2022,Hamburg Sea Devils
justin-rogers,23,Justin,Rogers,CB,1.8,70.87,85,187.39,2022,Hamburg Sea Devils
daniel-brown,25,Daniel,Brown,CB,1.8,70.87,80,176.37,2022,Hamburg Sea Devils
simon-homadi,26,Simon,Homadi,RB,1.84,72.44,90,198.42,2022,Hamburg Sea Devils
louis-muller,27,Louis,Müller,CB,1.77,69.69,88,194.01,2022,Hamburg Sea Devils
barry-maruschke,28,Barry,Maruschke,CB,1.84,72.44,89,196.21,2022,Hamburg Sea Devils
pascal-brinkers,29,Pascal,Brinkers,OLB,1.84,72.44,101,222.67,2022,Hamburg Sea Devils
miguel-alessandro-boock,3,Miguel Alessandro,Boock,ILB,1.81,71.26,88,194.01,2022,Hamburg Sea Devils
jamen-werneke,32,Jamen,Werneke,RB,1.75,68.9,77,169.76,2022,Hamburg Sea Devils
eldert-terekuu,33,Eldert,Terekuu,CB,1.8,70.87,92,202.83,2022,Hamburg Sea Devils
moritz-maack,4,Moritz,Maack,QB,1.87,73.62,86,189.6,2022,Hamburg Sea Devils
matthias-spiegel,40,Matthias,Spiegel,ILB,1.8,70.87,95,209.44,2022,Hamburg Sea Devils
john-levi-kruse,44,John Levi,Kruse,TE,1.94,76.38,110,242.51,2022,Hamburg Sea Devils
jeremy-sarfo,45,Jeremy,Sarfo,FB,1.8,70.87,107,235.89,2022,Hamburg Sea Devils
lars-lennard-bardenhagen,49,Lars Lennard,Bardenhagen,ILB,1.86,73.23,100,220.46,2022,Hamburg Sea Devils
jean-constant,5,Jean,Constant,WR,1.75,68.9,84,185.19,2022,Hamburg Sea Devils
gian-de-guzman,51,Gian,De Guzman,OL,1.81,71.26,130,286.6,2022,Hamburg Sea Devils
ambroise-mati,52,Ambroise,Mati,OLB,1.83,72.05,97,213.85,2022,Hamburg Sea Devils
thiago-lessow,54,Thiago,Lessow,OLB,1.87,73.62,95,209.44,2022,Hamburg Sea Devils
giovanni-nanguy,56,Giovanni,Nanguy,OLB,1.92,75.59,105,231.49,2022,Hamburg Sea Devils
daniel-laporte,57,Daniel,Laporte,ILB,1.85,72.83,97,213.85,2022,Hamburg Sea Devils
brian-tom-lohse,58,Brian-Tom,Lohse,OLB,1.88,74.02,105,231.49,2022,Hamburg Sea Devils
lorenzo-deiana,59,Lorenzo,Deiana,OLB,1.9,74.8,118,260.15,2022,Hamburg Sea Devils
jamal-okeke,6,Jamal,Okeke,CB,1.77,69.69,68,149.91,2022,Hamburg Sea Devils
florian-rosenberger,61,Florian ,Rosenberger,OL,1.9,74.8,155,341.72,2022,Hamburg Sea Devils
eric-de-souza,62,Eric,De Souza,DT,1.97,77.56,140,308.65,2022,Hamburg Sea Devils
lewis-thomas,63,Lewis,Thomas,OL,1.88,74.02,130,286.6,2022,Hamburg Sea Devils
ron-mac-spiegel,65,Ron Mac,Spiegel,OL,2.0,78.74,155,341.72,2022,Hamburg Sea Devils
dominik-behrens,68,Dominik,Behrens,OL,1.95,76.77,128,282.19,2022,Hamburg Sea Devils
david-weinstock,69,David,Weinstock,OL,1.86,73.23,127,279.99,2022,Hamburg Sea Devils
glen-toonga,7,Glen,Toonga,RB,1.77,69.69,97,213.85,2022,Hamburg Sea Devils
shalom-baafi,70,Shalom,Baafi,OL,1.94,76.38,140,308.65,2022,Hamburg Sea Devils
francis-bongwalanga,71,Francis,Bongwalanga,OL,1.94,76.38,136,299.83,2022,Hamburg Sea Devils
niklas-wiem,72,Niklas,Wiem,OL,1.9,74.8,130,286.6,2022,Hamburg Sea Devils
dennis-kenzler,74,Dennis,Kenzler,OL,1.99,78.35,130,286.6,2022,Hamburg Sea Devils
robin-fensch,77,Robin,Fensch,OL,1.94,76.38,130,286.6,2022,Hamburg Sea Devils
eric-schlomm,8,Eric,Schlomm,K/P,1.77,69.69,82,180.78,2022,Hamburg Sea Devils
diego-antonio-arboleda-sanchez,80,Diego Antonio,Arboleda Sanchez,WR,2.0,78.74,104,229.28,2022,Hamburg Sea Devils
bais-kouanda,81,Bais,Kouanda,WR,1.78,70.08,80,176.37,2022,Hamburg Sea Devils
