player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
gabriel-cunningham,1,Gabriel,Cunningham,QB,1.9,74.8,95,209.44,2022,Leipzig Kings
christian-romer,10,Christian,Römer,ILB,1.87,73.62,90,198.42,2022,Leipzig Kings
anthony-dable-wolf,11,Anthony,Dable-Wolf,WR,1.94,76.38,97,213.85,2022,Leipzig Kings
anton-jallai,13,Anton,Jallai,WR,1.91,75.2,98,216.05,2022,Leipzig Kings
dominik-banse,15,Dominik,Banse,CB,1.79,70.47,84,185.19,2022,Leipzig Kings
leon-kusterer,16,Leon,Kusterer,WR,1.8,70.87,80,176.37,2022,Leipzig Kings
simon-braun,17,Simon,Braun,WR,1.81,71.26,84,185.19,2022,Leipzig Kings
marcel-ulbrich,18,Marcel,Ulbrich,K,1.85,72.83,89,196.21,2022,Leipzig Kings
paolo-sargeni,21,Paolo,Sargeni,CB,1.78,70.08,85,187.39,2022,Leipzig Kings
oliver-bahr,22,Oliver,Bahr,RB,1.73,68.11,90,198.42,2022,Leipzig Kings
jonathan-sieveke,23,Jonathan,Sieveke,CB,1.88,74.02,75,165.35,2022,Leipzig Kings
william-james,24,William ,James,S,1.8,70.87,88,194.01,2022,Leipzig Kings
florian-borger,26,Florian,Borger,S,1.78,70.08,105,231.49,2022,Leipzig Kings
joshua-nikolai-jacob,26,Joshua Nikolai,Jacob,RB,1.75,68.9,90,198.42,2022,Leipzig Kings
tony-kulok,27,Tony,Kulok,RB,1.81,71.26,84,185.19,2022,Leipzig Kings
jonathan-dietze,28,Jonathan,Dietze,S,1.74,68.5,80,176.37,2022,Leipzig Kings
ferras-el-hendi,3,Ferras,El-Hendi,QB,1.93,75.98,95,209.44,2022,Leipzig Kings
gabriel-kalus,30,Gabriel,Kalus,CB,1.77,69.69,80,176.37,2022,Leipzig Kings
lion-deckwarth,32,Lion,Deckwarth,ILB,1.87,73.62,100,220.46,2022,Leipzig Kings
paul-meissner,33,Paul,Meißner,S,1.85,72.83,100,220.46,2022,Leipzig Kings
dominik-wunsche,34,Dominik,Wünsche,CB,1.92,75.59,89,196.21,2022,Leipzig Kings
myke-tavarres,4,Myke,Tavarres ,ILB,1.87,73.62,104,229.28,2022,Leipzig Kings
moritz-graul,47,Moritz,Graul,CB,1.87,73.62,90,198.42,2022,Leipzig Kings
aj-wentland,49,AJ,Wentland,ILB,1.92,75.59,104,229.28,2022,Leipzig Kings
jan-phillip-bombek,5,Jan-Phillip,Bombek,OLB,1.93,75.98,110,242.51,2022,Leipzig Kings
jonas-schultes,50,Jonas ,Schultes,ILB,1.9,74.8,110,242.51,2022,Leipzig Kings
pascal-topolewski,53,Pascal,Topolewski,ILB,1.79,70.47,92,202.83,2022,Leipzig Kings
cem-altuntas,54,Cem,Altuntas,OL,1.8,70.87,110,242.51,2022,Leipzig Kings
burak-efendioglu,55,Burak,Efendioglu,ILB,1.83,72.05,100,220.46,2022,Leipzig Kings
lance-leota,56,Lance,Leota,DT,1.85,72.83,140,308.65,2022,Leipzig Kings
roedion-henrique,6,Roedion,Henrique,CB,1.89,74.41,89,196.21,2022,Leipzig Kings
pollys-junio-sacramento,68,Pollys Junio,Sacramento,OL,1.93,75.98,135,297.62,2022,Leipzig Kings
seantarius-jones,7,Seantavius,Jones,WR,1.93,75.98,95,209.44,2022,Leipzig Kings
nafli-rodriguez,71,Nafli,Rodriguez,OL,1.93,75.98,125,275.58,2022,Leipzig Kings
nikita-schonborn,72,Nikita,Schönborn,OL,1.93,75.98,125,275.58,2022,Leipzig Kings
tilman-brutsch,74,Tilman,Brütsch,OL,1.89,74.41,140,308.65,2022,Leipzig Kings
felix-lepper,75,Felix,Lepper,OL,2.05,80.71,125,275.58,2022,Leipzig Kings
henri-perl,77,Henri,Perl,OL,1.98,77.95,150,330.69,2022,Leipzig Kings
conor-miller,8,Conor,Miller,QB,1.95,76.77,100,220.46,2022,Leipzig Kings
phillip-eichhorn,80,Phillip,Eichhorn,TE,1.91,75.2,108,238.1,2022,Leipzig Kings
jonas-breme,83,Jonas,Breme,WR,1.76,69.29,86,189.6,2022,Leipzig Kings
anton-doroshev,85,Anton,Doroshev,TE,1.88,74.02,108,238.1,2022,Leipzig Kings
timon-stuwe,89,Timon,Stüwe,WR,1.88,74.02,108,238.1,2022,Leipzig Kings
florian-finke,9,Florian,Finke,P,1.87,73.62,105,231.49,2022,Leipzig Kings
daniel-thiele,90,Daniel,Thiele,DT,1.96,77.17,140,308.65,2022,Leipzig Kings
aslan-zetterberg,92,Aslan,Zetterberg,DT,1.83,72.05,130,286.6,2022,Leipzig Kings
christopher-hans,93,Christopher,Hans,DE,1.87,73.62,120,264.55,2022,Leipzig Kings
jorge-aparicio,97,Jorge,Aparicio,DE,1.91,75.2,115,253.53,2022,Leipzig Kings
