old_player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
michal-zieta,,Michał ,Zięta,WR,1.81,71.26,82,180.78,2021,Panthers Wroclaw
piotr-golacki,,Piotr,Golacki,K,,,,,2021,Panthers Wroclaw
darius-robinson,1,Darius,Saint-Robinson,CB,1.83,72.05,82,180.78,2021,Panthers Wroclaw
milosz-mackow,10,Miłosz,Maćków,TE,1.76,69.29,103,227.08,2021,Panthers Wroclaw
dawid-panczyszyn,12,Dawid,Pańczyszyn,K,1.73,68.11,85,187.39,2021,Panthers Wroclaw
kavontae-turpin,12,KaVontae,Turpin,WR,1.75,68.9,72,158.73,2021,Panthers Wroclaw
damian-kwiatkowski,13,Damian,Kwiatkowski,RB,1.87,73.62,91,200.62,2021,Panthers Wroclaw
kacper-fiedziuk,14,Kacper,Fiedziuk,WR,1.96,77.17,98,216.05,2021,Panthers Wroclaw
bartosz-dziedzic,15,Bartosz,Dziedzic,WR,1.87,73.62,83,182.98,2021,Panthers Wroclaw
wiktor-zieba,16,Wiktor,Zięba,WR,1.87,73.62,94,207.23,2021,Panthers Wroclaw
adrian-grodecki,18,Adrian,Gródecki,WR,1.85,72.83,81,178.57,2021,Panthers Wroclaw
daniel-piatkowski,19,Daniel,Piątkowski,S,1.87,73.62,95,209.44,2021,Panthers Wroclaw
lukas-oconnor,2,Lukas,O'Connor,QB,1.93,75.98,98,216.05,2021,Panthers Wroclaw
kacper-rokicinski,20,Kacper,Rokiciński,CB,1.8,70.87,83,182.98,2021,Panthers Wroclaw
przemyslaw-lewszyk,21,Przemysław,Lewszyk,LB,1.84,72.44,103,227.08,2021,Panthers Wroclaw
jaroslaw-lewszyk,22,Jarosław,Lewszyk,LB,1.81,71.26,91,200.62,2021,Panthers Wroclaw
jakub-mazan,23,Jakub,Mazan,WR,1.89,74.41,91,200.62,2021,Panthers Wroclaw
mark-herndon,24,Mark,Herndon,RB,1.75,68.9,95,209.44,2021,Panthers Wroclaw
william-james,24,William ,James,S,1.8,70.87,88,194.01,2021,Panthers Wroclaw
marcin-osumek,26,Marcin,Osumek,DB,1.86,73.23,86,189.6,2021,Panthers Wroclaw
grzegorz-piotrowski,28,Grzegorz,Piotrowski,DB,1.82,71.65,90,198.42,2021,Panthers Wroclaw
kamil-kotlarz,28,Kamil,Kotlarz,RB,1.75,68.9,85,187.39,2021,Panthers Wroclaw
