old_player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
anthony-mahoungou,11,Anthony,Mahoungou,WR,1.93,75.98,96,211.64,2021,Frankfurt Galaxy
marvin-rutsch,13,Marvin,Rutsch,WR,1.8,70.87,82,180.78,2021,Frankfurt Galaxy
noah-bomba,13,Noah,Bomba,WR,1.95,76.77,88,194.01,2021,Frankfurt Galaxy
joshua-poznanski,14,Joshua,Poznanski,S,1.9,74.8,98,216.05,2021,Frankfurt Galaxy
max-siemssen,15,Max,Siemssen,WR,1.9,74.8,90,198.42,2021,Frankfurt Galaxy
nico-schon,17,Nico,Schon,WR,1.93,75.98,100,220.46,2021,Frankfurt Galaxy
fernando-lowery,18,Fernando,Lowery,CB,1.8,70.87,89,196.21,2021,Frankfurt Galaxy
nico-strahmann,19,Nico,Strahmann,WR,1.8,70.87,83,182.98,2021,Frankfurt Galaxy
gerald-ameln,20,Gerald,Ameln,RB,1.8,70.87,88,194.01,2021,Frankfurt Galaxy
steffen-olschok,20,Steffen,Olschok,DB,1.77,69.69,79,174.17,2021,Frankfurt Galaxy
gennadiy-adams,21,Gennadiy,Adams,RB,1.73,68.11,86,189.6,2021,Frankfurt Galaxy
omari-williams,22,Omari,Williams,S,1.86,73.23,82,180.78,2021,Frankfurt Galaxy
desmond-cooper,23,Desmond,Cooper,DB,1.92,75.59,100,220.46,2021,Frankfurt Galaxy
robin-maier,24,Robin,Maier,DB,1.8,70.87,83,182.98,2021,Frankfurt Galaxy
benjamin-barnes,25,Benjamin,Barnes,WR,1.77,69.69,80,176.37,2021,Frankfurt Galaxy
marius-riepe,26,Marius,Riepe,CB,1.82,71.65,91,200.62,2021,Frankfurt Galaxy
peter-devoe,26,Peter,Devoe,DB,1.84,72.44,94,207.23,2021,Frankfurt Galaxy
florian-schneikert,27,Florian,Schneikert,RB,1.93,75.98,100,220.46,2021,Frankfurt Galaxy
simon-otto,28,Simon,Otto,CB,1.85,72.83,80,176.37,2021,Frankfurt Galaxy
falk-reuter,30,Falk,Reuter,S,1.83,72.05,89,196.21,2021,Frankfurt Galaxy
justin-rodney,33,Justin,Rodney,RB,1.74,68.5,85,187.39,2021,Frankfurt Galaxy
myron-de-vane,36,Myron,De Vane,DB,1.9,74.8,95,209.44,2021,Frankfurt Galaxy
hamudi-chehab,38,Hamudi,Chehab,DB,1.8,70.87,73,160.94,2021,Frankfurt Galaxy
lukas-von-stumpfeldt,4,Lukas,von Stumpfeldt,QB,1.88,74.02,89,196.21,2021,Frankfurt Galaxy
kadel-king,40,Kadel,King,LB,1.91,75.2,106,233.69,2021,Frankfurt Galaxy
sebastian-gauthier,41,Sebastian,Gauthier,OLB,1.83,72.05,95,209.44,2021,Frankfurt Galaxy
max-ebsen,42,Max,Ebsen,WR/K,1.8,70.87,95,209.44,2021,Frankfurt Galaxy
jhonattan-silva-gomez,43,Jhonattan,Silva Gomez,LB,1.88,74.02,105,231.49,2021,Frankfurt Galaxy
precious-ogbevoen,43,Precious (Osaruonamen) ,Ogbevoen,ILB,1.8,70.87,112,246.92,2021,Frankfurt Galaxy
mark-gorelik,44,Mark,Gorelik,LB,1.82,71.65,90,198.42,2021,Frankfurt Galaxy
max-schmidt,45,Max,Schmidt,FB,1.83,72.05,100,220.46,2021,Frankfurt Galaxy
joshua-sauren,47,Joshua,Sauren,LB,1.88,74.02,100,220.46,2021,Frankfurt Galaxy
long-hoang,49,Long,Hoang,LB,1.74,68.5,85,187.39,2021,Frankfurt Galaxy
moritz-johannknecht,5,Moritz,Johannknecht,QB,1.88,74.02,91,200.62,2021,Frankfurt Galaxy
darnell-minton,52,Darnell,Minton,OL,2.01,79.13,125,275.58,2021,Frankfurt Galaxy
daniel-josiah,53,Daniel,Josiah,ILB,1.83,72.05,95,209.44,2021,Frankfurt Galaxy
mamadou-sy,55,Mamadou,Sy,DT,1.96,77.17,130,286.6,2021,Frankfurt Galaxy
ville-valasti,55,Ville,Valasti,DL,1.95,76.77,115,253.53,2021,Frankfurt Galaxy
sebastian-silva-gomez,56,Sebastian,Silva Gomez,OLB,1.9,74.8,98,216.05,2021,Frankfurt Galaxy
maximillian-krauss,57,Maximilian,Krauss,ILB,1.86,73.23,105,231.49,2021,Frankfurt Galaxy
pascal-abt,58,Pascal,Abt,OL,1.84,72.44,140,308.65,2021,Frankfurt Galaxy
rudolf-warkentin,59,Rudolf,Warkentin,LB,1.8,70.87,100,220.46,2021,Frankfurt Galaxy
lars-hampel,61,Lars,Hampel,OL,1.84,72.44,145,319.67,2021,Frankfurt Galaxy
lucas-hebel,62,Luca,Hebel,OL,1.93,75.98,145,319.67,2021,Frankfurt Galaxy
nicolas-werle,63,Nicolas,Werle,DL,1.97,77.56,135,297.62,2021,Frankfurt Galaxy
joachim-bachmann,69,Joachim,Bachmann,DL,1.98,77.95,157,346.13,2021,Frankfurt Galaxy
jakeb-sullivan,7,Jakeb,Sullivan,QB,1.85,72.83,88,194.01,2021,Frankfurt Galaxy
moritz-schmidt,70,Moritz,Schmidt,OL,1.85,72.83,116,255.74,2021,Frankfurt Galaxy
frank-atunlese,71,Frank,Atunlese,OL,1.92,75.59,142,313.06,2021,Frankfurt Galaxy
jan-hendrik-hoffmeyer,73,Jan-Hendrik,Hoffmeyer,OL,2.08,81.89,142,313.06,2021,Frankfurt Galaxy
marko-vidovic,73,Marko,Vidovic,OL,2.02,79.53,130,286.6,2021,Frankfurt Galaxy
sven-fischer,74,Sven,Fischer,OL,1.91,75.2,140,308.65,2021,Frankfurt Galaxy
joachim-christensen,75,Joachim,Christensen,OL,1.95,76.77,140,308.65,2021,Frankfurt Galaxy
nils-hampel,76,Nils,Hampel,OL,1.91,75.2,130,286.6,2021,Frankfurt Galaxy
yannic-kiehl,77,Yannic,Kiehl,OL,2.02,79.53,130,286.6,2021,Frankfurt Galaxy
hendrik-schwarz,82,Hendrik,Schwarz,WR,1.9,74.8,90,198.42,2021,Frankfurt Galaxy
luca-sack,83,Luca,Sack,WR,1.8,70.87,82,180.78,2021,Frankfurt Galaxy
cheikhou-sow,84,Cheikhou,Sow,WR,1.76,69.29,80,176.37,2021,Frankfurt Galaxy
markus-hachenberg,85,Markus,Hachenberg,WR,1.91,75.2,101,222.67,2021,Frankfurt Galaxy
lorenz-regler,86,Lorenz,Regler,WR,1.95,76.77,85,187.39,2021,Frankfurt Galaxy
kevin-mwamba,87,Kevin,Mwamba,TE,1.87,73.62,118,260.15,2021,Frankfurt Galaxy
marc-anthony-hor,90,Marc Anthony,Hor,DT,1.87,73.62,130,286.6,2021,Frankfurt Galaxy
milan-misic,92,Milan,Mišic,DL,1.88,74.02,117,257.94,2021,Frankfurt Galaxy
cedric-udegbe,94,Cedric,Udegbe,DE,1.92,75.59,112,246.92,2021,Frankfurt Galaxy
mete-konya,95,Mete,Konya,DT,1.83,72.05,117,257.94,2021,Frankfurt Galaxy
wayne-drew,97,Wayne,Drew,DL,1.88,74.02,110,242.51,2021,Frankfurt Galaxy
maximilian-loetz,98,Maximilian,Loetz,DL,1.93,75.98,135,297.62,2021,Frankfurt Galaxy
kevin-maier,99,Kevin,Maier,DE,1.93,75.98,108,238.1,2021,Frankfurt Galaxy
