player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
darius-robinson,1,Darius,Saint-Robinson,CB,1.83,72.05,82,180.78,2022,Panthers Wroclaw
milosz-mackow,10,Miłosz,Maćków,TE,1.76,69.29,103,227.08,2022,Panthers Wroclaw
filip-twardowski,11,Filip,Twardowski,K,1.84,72.44,95,209.44,2022,Panthers Wroclaw
dawid-panczyszyn,12,Dawid,Pańczyszyn,K,1.73,68.11,85,187.39,2022,Panthers Wroclaw
slade-jarman,12,Slade,Jarman,QB,1.95,76.77,100,220.46,2022,Panthers Wroclaw
adrian-lenartowicz,13,Adrian,Lenartowicz,CB,1.93,75.98,94,207.23,2022,Panthers Wroclaw
john-uribe,13,John,Uribe,QB,182.0,7165.35,92,202.83,2022,Panthers Wroclaw
kacper-fiedziuk,14,Kacper,Fiedziuk,WR,1.96,77.17,98,216.05,2022,Panthers Wroclaw
bartosz-dziedzic,15,Bartosz,Dziedzic,WR,1.87,73.62,83,182.98,2022,Panthers Wroclaw
wiktor-zieba,16,Wiktor,Zięba,WR,1.87,73.62,94,207.23,2022,Panthers Wroclaw
adrian-grodecki,18,Adrian,Gródecki,WR,1.85,72.83,81,178.57,2022,Panthers Wroclaw
daniel-piatkowski,19,Daniel,Piątkowski,S,1.87,73.62,95,209.44,2022,Panthers Wroclaw
malik-stanley,2,Malik,Stanley,WR,1.9,74.8,102,224.87,2022,Panthers Wroclaw
kacper-rokicinski,20,Kacper,Rokiciński,CB,1.8,70.87,83,182.98,2022,Panthers Wroclaw
dawid-brzozowski,22,Dawid,Brzozowski,RB,1.79,70.47,85,187.39,2022,Panthers Wroclaw
jakub-mazan,23,Jakub,Mazan,WR,1.89,74.41,91,200.62,2022,Panthers Wroclaw
jan-szwej,24,Jan,Szwej,RB,1.83,72.05,89,196.21,2022,Panthers Wroclaw
adam-lary,25,Adam,Lary,CB,1.84,72.44,84,185.19,2022,Panthers Wroclaw
grzegorz-lary,26,Grzegorz,Lary,CB,1.83,72.05,77,169.76,2022,Panthers Wroclaw
kamil-kotlarz,28,Kamil,Kotlarz,RB,1.75,68.9,85,187.39,2022,Panthers Wroclaw
lars-steffen,29,Lars,Steffen,S,1.84,72.44,93,205.03,2022,Panthers Wroclaw
semmie-radji,3,Semmie,Radji,OLB,1.94,76.38,119,262.35,2022,Panthers Wroclaw
pawel-barul,30,Paweł,Barul,RB,1.82,71.65,95,209.44,2022,Panthers Wroclaw
szymon-romanowski,31,Szymon,Romanowski,CB,1.8,70.87,84,185.19,2022,Panthers Wroclaw
jakub-halicki,34,Jakub,Halicki,S,1.8,70.87,85,187.39,2022,Panthers Wroclaw
krzysztof-wis,35,Krzysztof,Wis,OLB,1.92,75.59,100,220.46,2022,Panthers Wroclaw
william-lloyd,4,William,Lloyd,ILB,1.85,72.83,98,216.05,2022,Panthers Wroclaw
konrad-starczewski,40,Konrad,Starczewski,FB,1.8,70.87,125,275.58,2022,Panthers Wroclaw
jan-chmiel,42,Jan,Chmiel,DE,1.84,72.44,104,229.28,2022,Panthers Wroclaw
andrei-karmakskikh,45,Andrei,Karmakskikh,CB,1.82,71.65,90,198.42,2022,Panthers Wroclaw
antoni-idziak,47,Antoni,Idziak,ILB,1.77,69.69,93,205.03,2022,Panthers Wroclaw
kacper-oldak,49,Kacper,Ołdak,ILB,1.82,71.65,95,209.44,2022,Panthers Wroclaw
goran-zec,5,Goran,Zec,S,1.8,70.87,84,185.19,2022,Panthers Wroclaw
szymon-adamczyk,50,Szymon,Adamczyk,DT,1.84,72.44,117,257.94,2022,Panthers Wroclaw
konrad-paszkiewicz,51,Konrad,Paszkiewicz,DT,1.8,70.87,110,242.51,2022,Panthers Wroclaw
filip-snopek,52,Filip,Snopek,DE,1.94,76.38,122,268.96,2022,Panthers Wroclaw
rafal-rogaczewski,55,Rafał,Rogaczewski,OL,1.78,70.08,120,264.55,2022,Panthers Wroclaw
mateusz-glogowski,56,Mateusz,Głogowski,OL,1.86,73.23,130,286.6,2022,Panthers Wroclaw
hubert-jarmuz,57,Hubert,Jarmuż,OL,1.98,77.95,115,253.53,2022,Panthers Wroclaw
