player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
ruben-seeber,1,Ruben,Seeber,ILB,1.82,71.65,97,213.85,2022,Raiders Tirol
philipp-haun,10,Philipp,Haun,WR,1.8,70.87,82,180.78,2022,Raiders Tirol
alex-ferrari,11,Alex,Ferrari,ILB,1.83,72.05,102,224.87,2022,Raiders Tirol
sean-shelton,12,Sean ,Shelton,QB,1.9,74.8,100,220.46,2022,Raiders Tirol
yannick-mayr,14,Yannick,Mayr,WR,1.83,72.05,88,194.01,2022,Raiders Tirol
simon-pilger,15,Simon,Pilger,WR,1.83,72.05,78,171.96,2022,Raiders Tirol
arno-schwarz,16,Arno,Schwarz,CB,1.79,70.47,83,182.98,2022,Raiders Tirol
thomas-langecker,17,Thomas,Langecker,TE,1.95,76.77,108,238.1,2022,Raiders Tirol
niklas-sanin,18,Niklas,Sanin,K,1.83,72.05,85,187.39,2022,Raiders Tirol
leo-kober,19,Leo,Kober,QB,1.85,72.83,87,191.8,2022,Raiders Tirol
patrick-pilger,20,Patrick,Pilger,S,178.0,7007.87,93,205.03,2022,Raiders Tirol
maxime-roger,21,Maxime,Roger,S,1.76,69.29,80,176.37,2022,Raiders Tirol
elijah-bohm,22,Elijah,Böhm,DE,1.84,72.44,109,240.3,2022,Raiders Tirol
vincent-muller,23,Vincent,Müller,CB,1.87,73.62,90,198.42,2022,Raiders Tirol
lukas-haslwanter,24,Lukas,Haslwanter,RB,1.84,72.44,90,198.42,2022,Raiders Tirol
tobias-bonatti,25,Tobias,Bonatti,RB,1.8,70.87,90,198.42,2022,Raiders Tirol
lucky-ogbevoen,29,Lucky,Ogbevoen,OLB,1.9,74.8,100,220.46,2022,Raiders Tirol
jan-mayerhofer,3,Jan,Mayerhofer,S,1.81,71.26,84,185.19,2022,Raiders Tirol
tony-anderson,31,Tony,Anderson,S,1.93,75.98,98,216.05,2022,Raiders Tirol
sebastian-summerer,32,Sebastian,Summerer,S,1.75,68.9,80,176.37,2022,Raiders Tirol
