player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
isaiah-green,1,Isaiah,Green,QB,1.88,74.02,99,218.26,2022,Istanbul Rams
alihan-agackesen,10,Alihan,Ağaçkesen,WR,1.86,73.23,90,198.42,2022,Istanbul Rams
ege-berk-inanc,11,Ege Berk,İnanç,WR,1.89,74.41,92,202.83,2022,Istanbul Rams
yigit-timer,12,Yiğit,Timer,QB,1.88,74.02,92,202.83,2022,Istanbul Rams
kaan-ozer,13,Kaan,Özer,WR,1.87,73.62,90,198.42,2022,Istanbul Rams
talat-gokhan-bulusan,15,Talat Gökhan,Buluşan,ILB,1.82,71.65,97,213.85,2022,Istanbul Rams
doruk-sut,16,Doruk,Şut,WR,1.83,72.05,83,182.98,2022,Istanbul Rams
oguzhan-ceyhan,17,Oğuzhan,Ceyhan,CB,1.78,70.08,83,182.98,2022,Istanbul Rams
ege-altug-sankaya,18,Ege Altuğ,Sarıkaya,RB,1.73,68.11,84,185.19,2022,Istanbul Rams
yilmaz-berk-guven,19,YIlmaz Berk,Güven,WR,1.87,73.62,80,176.37,2022,Istanbul Rams
alperen-unlu,2,Alperen,Ünlü,OLB,1.88,74.02,104,229.28,2022,Istanbul Rams
kursad-pekun,20,Kürşad,Pekün,S,1.75,68.9,88,194.01,2022,Istanbul Rams
ahmet-talha-bercin,21,Ahmet Talha,Berçin,CB,1.87,73.62,95,209.44,2022,Istanbul Rams
salih-ozdemir,23,Salih,Özdemir,OLB,1.78,70.08,96,211.64,2022,Istanbul Rams
emre-ozdemir,24,Emre,Özdemir,CB,1.8,70.87,82,180.78,2022,Istanbul Rams
mateusz-dzioban,24,Mateusz,Dzioban,S,1.83,72.05,83,182.98,2022,Istanbul Rams
alperen-kucuk,25,Alperen,Küçük,CB,1.75,68.9,82,180.78,2022,Istanbul Rams
efe-baran,26,Efe,Baran,WR,1.78,70.08,87,191.8,2022,Istanbul Rams
jamarii-milliken,29,Jamarii,Milliken,CB,1.8,70.87,86,189.6,2022,Istanbul Rams
atilla-isik,3,Atilla,Işık,S,1.83,72.05,89,196.21,2022,Istanbul Rams
berker-esme,30,Berker ,Eşme,RB,1.82,71.65,99,218.26,2022,Istanbul Rams
yigitcan-ferhat-ertur,31,Yiğitcan Ferhat,Ertür,CB,1.83,72.05,95,209.44,2022,Istanbul Rams
mehmet-furkan-sarikatipoglu,32,Mehmet Furkan,Sarıkatipoğlu,K,1.83,72.05,108,238.1,2022,Istanbul Rams
tolga-torun,4,Tolga,Törün,WR,1.78,70.08,78,171.96,2022,Istanbul Rams
ahmet-cem-ugur,40,Ahmet Cem,Uğur,ILB,1.83,72.05,100,220.46,2022,Istanbul Rams
zachary-blair,42,Zachary,Blair,ILB,1.88,74.02,100,220.46,2022,Istanbul Rams
ali-gundogdu,44,Ali,Gündoğdu,OLB,1.83,72.05,89,196.21,2022,Istanbul Rams
marcus-tullio-lucas,46,Marcus,Tullio Lucas,DE,1.88,74.02,112,246.92,2022,Istanbul Rams
ufuk-eren-ozelce,5,Ufuk Eren,Özelçe,S,1.75,68.9,85,187.39,2022,Istanbul Rams
mikail-tatli,50,Mikail,Tatlı,ILB,1.88,74.02,106,233.69,2022,Istanbul Rams
alper-kurtulus,51,Alper,Kurtuluş,OL,1.88,74.02,125,275.58,2022,Istanbul Rams
ata-han-atilgan,54,Ata Han,Atılgan,DE,1.83,72.05,105,231.49,2022,Istanbul Rams
orhun-akbudak,55,Orhun,Akbudak,OL,1.9,74.8,121,266.76,2022,Istanbul Rams
onur-can-duzcu,56,Onur Can,Duzcu,ILB,1.83,72.05,98,216.05,2022,Istanbul Rams
terryon-robinson,6,Terryon,Robinson,WR,1.8,70.87,89,196.21,2022,Istanbul Rams
samet-bilgin,61,Samet,Bilgin,DT,1.83,72.05,148,326.28,2022,Istanbul Rams
huseyin-akay,62,Hüseyin,Akay,DT,1.86,73.23,144,317.47,2022,Istanbul Rams
sebastian-bal,62,Sebastian,Bal,OL,1.86,73.23,128,282.19,2022,Istanbul Rams
bahadir-aslan,65,Bahadır,Aslan,OL,1.99,78.35,124,273.37,2022,Istanbul Rams
muhammed-ali-kurutluca,66,Muhammed Ali,Kurutluca,DT,1.87,73.62,119,262.35,2022,Istanbul Rams
ayberk-kursunlu,67,Ayberk,Kurşunlu,OL,1.83,72.05,131,288.81,2022,Istanbul Rams
