old_player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
zach-edwards,1,Zach,Edwards,QB,1.95,76.77,100,220.46,2021,Barcelona Dragons
cesare-brugnani,10,Cesare,Brugnani,OLB,1.8,70.87,86,189.6,2021,Barcelona Dragons
alejandro-fernandez,11,Alejandro,Fernandez,DE,1.88,74.02,105,231.49,2021,Barcelona Dragons
brandon-brooks,11,Brandon,Brooks,DB,1.88,74.02,83,182.98,2021,Barcelona Dragons
samuel-anca,13,Samuel,Anca,WR,1.91,75.2,89,196.21,2021,Barcelona Dragons
sergio-barbero,14,Sergio,Barbero,QB,1.85,72.83,85,187.39,2021,Barcelona Dragons
mario-flores,15,Mario,Flores,WR,1.81,71.26,86,189.6,2021,Barcelona Dragons
alejandro-herrero,17,Alejandro,Herrero,RB,1.78,70.08,,,2021,Barcelona Dragons
chris-manser,18,Chris,Manser,P,1.81,71.26,,,2021,Barcelona Dragons
giacomo-prati,2,Giacomo,Prati,DE,1.92,75.59,114,251.33,2021,Barcelona Dragons
lucas-masero,20,Lucas,Masero,CB,1.73,68.11,80,176.37,2021,Barcelona Dragons
antonio-monton,21,Antonio,Monton,RB,1.69,66.54,75,165.35,2021,Barcelona Dragons
lautaro-frecha,22,Lautaro,Frecha,S,1.88,74.02,95,209.44,2021,Barcelona Dragons
jordi-brugnani,23,Jordi,Brugnani,CB,1.83,72.05,80,176.37,2021,Barcelona Dragons
javier-castanon,24,Javier,Castanon,TE,1.8,70.87,88,194.01,2021,Barcelona Dragons
niko-lester,25,Niko,Lester,FS,1.87,73.62,97,213.85,2021,Barcelona Dragons
adriel-costa,26,Adriel ,Costa,DB,1.78,70.08,80,176.37,2021,Barcelona Dragons
andy-vera,27,Andy,Vera,CB,1.7,66.93,80,176.37,2021,Barcelona Dragons
adrian-jimenez,3,Adrian,Jiménez,RB,1.8,70.87,97,213.85,2021,Barcelona Dragons
jonathan-michael-corradini,32,Jonathan Michael,Corradini,DB,1.71,67.32,,,2021,Barcelona Dragons
timon-debiez,33,Timon,Debiez,ILB,1.78,70.08,90,198.42,2021,Barcelona Dragons
elias-rodriguez,34,Elias,Rodriguez,RB,1.73,68.11,85,187.39,2021,Barcelona Dragons
myke-tavarres,4,Myke,Tavarres ,ILB,1.87,73.62,104,229.28,2021,Barcelona Dragons
remi-bertellin,4,Rémi,Bertellin,WR,1.83,72.05,84,185.19,2021,Barcelona Dragons
raul-hernandez,42,Raúl,Hernandez,TE,1.95,76.77,121,266.76,2021,Barcelona Dragons
victor-albarracin,43,Victor,Albarracin,ILB,1.83,72.05,93,205.03,2021,Barcelona Dragons
alex-gonzalez,45,alex,Gonzalez Posito,ILB,1.81,71.26,99,218.26,2021,Barcelona Dragons
vicente-latorre,46,Vicente,Latorre,DL,1.85,72.83,99,218.26,2021,Barcelona Dragons
sebastian-castaner,49,Sebastian,Castaner,ILB,1.88,74.02,100,220.46,2021,Barcelona Dragons
jean-constant,5,Jean,Constant,WR,1.75,68.9,84,185.19,2021,Barcelona Dragons
guillermo-bahillo,50,Guillermo,Bahillo,LB,1.84,72.44,80,176.37,2021,Barcelona Dragons
daniel-monfared,52,Daniel,Monfared,ILB,1.83,72.05,95,209.44,2021,Barcelona Dragons
josep-tricas,53,Josep,Tricas,LS,1.83,72.05,105,231.49,2021,Barcelona Dragons
ivan-gutierrez,55,Ivan,Gutiérrez,ILB,1.86,73.23,89,196.21,2021,Barcelona Dragons
luis-cereceda,6,Luis,Cereceda,P,1.77,69.69,81,178.57,2021,Barcelona Dragons
pablo-de-diego,6,Pablo,De Diego,CB,,,,,2021,Barcelona Dragons
celestin-ngimbi,60,Celestin,Ngimbi,OL,1.87,73.62,135,297.62,2021,Barcelona Dragons
elvys-nunez,64,Elvys,Núnez,OL,1.86,73.23,135,297.62,2021,Barcelona Dragons
jan-raus,65,Jan,Raus,OL,1.85,72.83,131,288.81,2021,Barcelona Dragons
nicholas-moller-hansen,68,Nicholas,Møller-Hansen,OL,1.88,74.02,144,317.47,2021,Barcelona Dragons
jedrzej-rudnicki,70,Jedrzej,Rudnicki,OL,1.95,76.77,121,266.76,2021,Barcelona Dragons
pierce-boothby,70,Pierce,Boothby,OL,1.92,75.59,136,299.83,2021,Barcelona Dragons
sebastian-bowen,73,Sebastian,Bowen,DT,1.88,74.02,120,264.55,2021,Barcelona Dragons
alvaro-lopez-lopez,75,alvaro,Lopez Lopez,OL,1.74,68.5,106,233.69,2021,Barcelona Dragons
naren-ishwar-lalwani,75,Naren Ishwar,Lalwani,OL,1.78,70.08,130,286.6,2021,Barcelona Dragons
