old_player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
salieu-ceesay,1,Salieu,Ceesay,QB,1.94,76.38,92,202.83,2021,Hamburg Sea Devils
jean-claude-madin-cerezo,10,Jean-Claude,Madin Cerezo,WR,1.86,73.23,95,209.44,2021,Hamburg Sea Devils
benjamin-mau,11,Benjamin,Mau,WR,2.01,79.13,104,229.28,2021,Hamburg Sea Devils
tim-albrecht,13,Tim,Albrecht,WR,1.87,73.62,93,205.03,2021,Hamburg Sea Devils
dominic-grone,14,Dominic,Gröne,WR/K/P,1.86,73.23,95,209.44,2021,Hamburg Sea Devils
julian-volling,15,Julian,Völling,WR,1.83,72.05,86,189.6,2021,Hamburg Sea Devils
leon-kusterer,16,Leon,Kusterer,WR,1.8,70.87,80,176.37,2021,Hamburg Sea Devils
jadrian-clark,18,Jadrian,Clark,QB,1.9,74.8,95,209.44,2021,Hamburg Sea Devils
johosaphat-kendrick-danso,18,Johosaphat Kendrick,Danso,S,1.86,73.23,87,191.8,2021,Hamburg Sea Devils
nassim-amroun,19,Nassim,Amroun,WR,1.86,73.23,81,178.57,2021,Hamburg Sea Devils
tobias-nill,2,Tobias,Nill,WR,1.78,70.08,92,202.83,2021,Hamburg Sea Devils
vincent-wilson-oberko,21,Vincent,Wilson-Oberko,S,1.8,70.87,82,180.78,2021,Hamburg Sea Devils
aleksandr-astahin,22,Aleksandr,Astahin,S,1.71,67.32,87,191.8,2021,Hamburg Sea Devils
justin-rogers,23,Justin,Rogers,CB,1.8,70.87,85,187.39,2021,Hamburg Sea Devils
xavier-jerome-johnson,24,Xavier Jerome,Johnson,RB,1.78,70.08,86,189.6,2021,Hamburg Sea Devils
curtis-slater,25,Curtis,Slater,DB,1.75,68.9,83,182.98,2021,Hamburg Sea Devils
simon-homadi,26,Simon,Homadi,RB,1.84,72.44,90,198.42,2021,Hamburg Sea Devils
