old_player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
leon-balogh,1,Leon,Balogh,DE,1.94,76.38,110,242.51,2022,Vienna Vikings
alexander-reischl,12,Alexander,Reischl,QB,177.0,6968.5,73,160.94,2022,Vienna Vikings
michael-schachermayr,13,Michael,Schachermayr,WR,1.82,71.65,88,194.01,2022,Vienna Vikings
johannes-schutz,14,Johannes,Schütz,WR,1.81,71.26,88,194.01,2022,Vienna Vikings
rudi-lee-frey,15,Rudi,Lee Frey,TE,1.94,76.38,107,235.89,2022,Vienna Vikings
sebastian-daum,16,Sebastian,Daum,P,1.84,72.44,94,207.23,2022,Vienna Vikings
kimi-linnainmaa,17,Kimi,Linnainmaa ,WR,1.78,70.08,84,185.19,2022,Vienna Vikings
felix-reisacher,19,Felix,Reisacher,WR,1.88,74.02,94,207.23,2022,Vienna Vikings
dennis-tasic,2,Dennis,Tasic,K,1.86,73.23,110,242.51,2022,Vienna Vikings
oskar-herz,20,Oskar,Herz,K,1.83,72.05,72,158.73,2022,Vienna Vikings
leonhard-gerner,21,Leonhard,Gerner,CB,1.85,72.83,85,187.39,2022,Vienna Vikings
zoltan-golita,21,Zoltan,Golita,CB,1.78,70.08,85,187.39,2022,Vienna Vikings
christoph-kellner,22,Christoph,Kellner,CB,1.7,66.93,75,165.35,2022,Vienna Vikings
benjamin-straight,23,Benjamin,Straight,S,1.83,72.05,88,194.01,2022,Vienna Vikings
modeste-pooda,24,Modeste,Pooda,RB,1.75,68.9,85,187.39,2022,Vienna Vikings
nikolaus-huszar,27,Nikolaus,Huszar,CB,1.83,72.05,89,196.21,2022,Vienna Vikings
paul-schachner,28,Paul,Schachner,CB,1.79,70.47,78,171.96,2022,Vienna Vikings
florian-wegan,3,Florian,Wegan,RB,1.68,66.14,94,207.23,2022,Vienna Vikings
luis-horvath,32,Luis,Horvath,S,1.8,70.87,90,198.42,2022,Vienna Vikings
sebastian-ernst,33,Sebastian,Ernst,ILB,1.83,72.05,92,202.83,2022,Vienna Vikings
fabio-tartarotti,36,Fabio,Tartarotti,CB,1.85,72.83,85,187.39,2022,Vienna Vikings
sebastian-wimmer,37,Sebastian,Wimmer,CB,183.0,7204.72,83,182.98,2022,Vienna Vikings
sebastian-huber,39,Sebastian,Huber,OLB,1.85,72.83,100,220.46,2022,Vienna Vikings
jordan-bouah,4,Jordan,Bouah,WR,1.8,70.87,88,194.01,2022,Vienna Vikings
thomas-schnurrer,40,Thomas,Schnurrer,ILB,1.82,71.65,96,211.64,2022,Vienna Vikings
josip-gazibaric,41,Josip,Gazibaric,ILB,1.84,72.44,95,209.44,2022,Vienna Vikings
daniel-schonet,42,Daniel,Schonet,ILB,1.84,72.44,100,220.46,2022,Vienna Vikings
leon-huber,44,Leon,Huber,ILB,1.81,71.26,100,220.46,2022,Vienna Vikings
vito-millauer,46,Vito,Millauer,DE,192.0,7559.06,105,231.49,2022,Vienna Vikings
blake-nelson,47,Blake,Nelson,DE,1.8,70.87,107,235.89,2022,Vienna Vikings
alexander-watholowitsch,49,Alexander,Watholotwitsch,ILB,1.83,72.05,102,224.87,2022,Vienna Vikings
anton-wegan,5,Anton,Wegan,WR,1.8,70.87,95,209.44,2022,Vienna Vikings
florian-markus,51,Florian,Markus,OL,1.8,70.87,105,231.49,2022,Vienna Vikings
oskar-kranich,52,Oskar,Kranich,DE,1.9,74.8,115,253.53,2022,Vienna Vikings
matthew-daltrey,56,Matthew,Daltrey,OL,1.85,72.83,127,279.99,2022,Vienna Vikings
michael-hinterwirth-haider,57,Michael,Hinterwirth-Haider,OL,1.87,73.62,147,324.08,2022,Vienna Vikings
mike-breuler,6,Mike,Breuler,WR,1.89,74.41,95,209.44,2022,Vienna Vikings
aleksandr-milanovic,61,Aleksandar,Milanovic,OL,2.01,79.13,129,284.4,2022,Vienna Vikings
david-rauter,64,David,Rauter,OL,1.95,76.77,138,304.24,2022,Vienna Vikings
niklas-johansson,66,Niklas,Johansson,OL,194.0,7637.8,130,286.6,2022,Vienna Vikings
exavier-edwards,7,Exavier,Edwards,S,1.77,69.69,88,194.01,2022,Vienna Vikings
lukas-holub,71,Lukas,Holub,OL,1.94,76.38,120,264.55,2022,Vienna Vikings
benjamin-bierbaumer,74,Benjamin,Bierbaumer,OL,1.98,77.95,128,282.19,2022,Vienna Vikings
florian-sudi,75,Florian,Sudi,DT,1.97,77.56,145,319.67,2022,Vienna Vikings
toby-lettman,77,Toby,Lettman,OL,1.98,77.95,139,306.44,2022,Vienna Vikings
benjamin-rab,79,Benjamin,Rab,OL,1.9,74.8,135,297.62,2022,Vienna Vikings
adria-botella-moreno,8,Adria,Botella Moreno,TE,1.98,77.95,114,251.33,2022,Vienna Vikings
marian-deininger,81,Marian,Deininger,WR,1.88,74.02,80,176.37,2022,Vienna Vikings
florian-bierbaumer,89,Florian,Bierbaumer,WR,1.98,77.95,116,255.74,2022,Vienna Vikings
jackson-erdmann,9,Jackson,Erdmann,QB,1.95,76.77,98,216.05,2022,Vienna Vikings
moritz-schmahel,90,Moritz,Schmahel,DT,1.88,74.02,120,264.55,2022,Vienna Vikings
felix-macher,91,Felix,Macher,DE,1.78,70.08,103,227.08,2022,Vienna Vikings
