season,game_id,team_id,team_name,loc,opponent_id,opponent_name,player_uni,player_name,player_short_name,player_check_name,player_GP,player_GS,player_pos
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,1,Maceo Beard,M. Beard,"BEARD,M",1,1,CB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,2,Ken Hike Jr.,K. Hike Jr.,",K HIKE JR",1,1,CB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,3,Adrian  Fiedler,A. Fiedler,"FIEDLER,A",1,1,TE
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,4,Collin Hill,C. Hill,"HILL,C",1,1,QB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,5,Andreas  Buri,A. Buri,"BURI,A",1,1,LB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,7,Silas Nacita,S. Nacita,"NACITA,S",1,1,RB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,8,Moritz Stein,M. Stein,"STEIN,M",1,1,RB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,9,Nils Jonkmans,N. Jonkmans,"JONKMANS,N",1,0,
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,13,Anton Jallai,A. Jallai,"JALLAI,A",1,0,
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,14,Timothy Schurmann,T. Schuermann,"SCHUERMANN,T",1,1,SS
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,19,Gregorio Calonego,G. Calonego,"CALONEGO,G",1,1,WR
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,20,Olivier Marty,O. Marty,"MARTY,O",1,0,
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,21,Fabian  Bruhin,F. Bruhin,"BRUHIN,F",1,1,CB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,23,Chaska Remy Perron,C. Perron,"PERRON,C",1,1,CB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,24,Dimitri Gfeller,D. Gfeller,"GFELLER,D",1,0,
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,35,Florian  Ziegler,F. Ziegler,"ZIEGLER,F",1,0,
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,37,Robert Harvey,R. Harvey,"HARVEY,R",1,0,
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,44,Fabian Strahm,F. Strahm,"STRAHM,F",1,0,
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,47,Jonathan Falk,J. Falk,"FALK,J",1,1,LB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,53,Dominik Liechti,D. Liechti,"LIECHTI,D",1,1,DE
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,56,Filip Kovljenic,F. Kovljenic,"KOVLJENIC,F",1,1,OT
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,57,Jurg Stalder,J. Stalder,"STALDER,J",1,1,OT
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,58,"John ""JR"" Tavai",J. Tavai,"TAVAI,J",1,1,LB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,65,Federico Ferretti,F. Ferretti,"FERRETTI,F",1,1,OG
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,73,Timothy Schmid,T. Schmid,"SCHMID,T",1,1,C
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,75,Gabriel Rodriguez,G. Rodríguez,"RODRíGUEZ,G",1,1,OT
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,77,Jean-Pierre Stadler,J. Stadler,"STADLER,J",1,1,DT
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,83,Xavier Baudraz,X. Baudraz,"BAUDRAZ,X",1,1,WR
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,96,Tim Hanni,T. Haenni,"HAENNI,T",1,1,DT
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,TM,Team,Team,TEAM,1,0,
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,1,Maceo Beard,M. Beard,"BEARD,M",1,1,CB
2023,BDHG2301,HG,Helvetic Guards,A,BD,Barcelona Dragons,2,Ken Hike Jr.,K. Hike Jr.,",K HIKE JR",1,1,CB
