season,game_id,team_id,team_name,loc,opponent_id,opponent_name,player_uni,player_name,player_short_name,player_check_name,player_GP,player_GS,player_pos
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,1,Q. Pounds,Q. Pounds,"POUNDS,Q",1,1,WR
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,2,T. Yagmur,T. Yagmur,"YAGMUR,T",1,0,
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,3,J. Voelker,J. Voelker,"VOELKER,J",1,1,DE
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,4,K. Beverly,K. Beverly,"BEVERLY,K",1,1,CB
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,5,P. Lenhardt,P. Lenhardt,"LENHARDT,P",1,1,WR
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,6,B. Cerimagic,B. Cerimagic,"CERIMAGIC,B",1,0,
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,7,Al. Frisch,Al. Frisch,"FRISCH,AL",1,0,
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,8,D. Tanwani,D. Tanwani,"TANWANI,D",1,1,RB
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,10,J. Schlesinger,J. Schlesinger,"SCHLESINGER,J",1,0,
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,12,J. Weinreich,J. Weinreich,"WEINREICH,J",1,1,QB
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,13,J. Loercks,J. Loercks,"LOERCKS,J",1,0,
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,15,J. Appelt,J. Appelt,"APPELT,J",1,0,
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,17,A. Dickmeis,A. Dickmeis,"DICKMEIS,A",1,0,
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,18,L. Geyer,L. Geyer,"GEYER,L",1,1,WR
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,19,W. Bhikh,W. Bhikh,"BHIKH,W",1,1,CB
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,22,P. Steffen,P. Steffen,"STEFFEN,P",1,0,
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,23,I. Eldewieh,I. Eldewieh,"ELDEWIEH,I",1,1,S
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,27,M. Richter,M. Richter,"RICHTER,M",1,0,
2022,BDCC2203,CC,Cologne Centurions,A,BD,Barcelona Dragons,29,E. Akguen,E. Akguen,"AKGUEN,E",1,0,
