season,week,is_game_finished,game_date,game_time,game_time_zone,game_date_utc,away_team,home_team,away_score,home_score,game_url,game_id
2023,1,false,2023-06-03 17:00:00,5:00 pm,CET,2023-06-03 16:00:00,Berlin Thunder,Fehervar Enthroners,,,/live-games/230603-berlin-thunder-fehervar-enthroners,230603-berlin-thunder-fehervar-enthroners
2023,1,false,2023-06-03 17:00:00,5:00 pm,CET,2023-06-03 16:00:00,Paris Musketeers,Cologne Centurions,,,/live-games/230603-paris-musketeers-cologne-centurions,230603-paris-musketeers-cologne-centurions
2023,1,false,2023-06-03 17:00:00,5:00 pm,CET,2023-06-03 16:00:00,Hamburg Sea Devils,Panthers Wroclaw,,,/live-games/230603-hamburg-sea-devils-panthers-wroclaw,230603-hamburg-sea-devils-panthers-wroclaw
2023,1,false,2023-06-03 19:00:00,7:00 pm,CET,2023-06-03 18:00:00,Helvetic Guards,Barcelona Dragons,,,/live-games/230603-helvetic-guards-barcelona-dragons,230603-helvetic-guards-barcelona-dragons
2023,1,false,2023-06-04 13:00:00,1:00 pm,CET,2023-06-04 12:00:00,Raiders Tirol,Munich Ravens,,,/live-games/230604-raiders-tirol-munich-ravens,230604-raiders-tirol-munich-ravens
2023,1,false,2023-06-04 16:25:00,4:25 pm,CET,2023-06-04 15:25:00,Leipzig Kings,Prague Lions,,,/live-games/230604-leipzig-kings-prague-lions,230604-leipzig-kings-prague-lions
2023,1,false,2023-06-04 16:25:00,4:25 pm,CET,2023-06-04 15:25:00,Frankfurt Galaxy,Rhein Fire,,,/live-games/230604-frankfurt-galaxy-rhein-fire,230604-frankfurt-galaxy-rhein-fire
2023,2,false,2023-06-10 17:00:00,5:00 pm,CET,2023-06-10 16:00:00,Cologne Centurions,Prague Lions,,,/live-games/230610-cologne-centurions-prague-lions,230610-cologne-centurions-prague-lions
2023,2,false,2023-06-10 17:00:00,5:00 pm,CET,2023-06-10 16:00:00,Frankfurt Galaxy,Fehervar Enthroners,,,/live-games/230610-frankfurt-galaxy-fehervar-enthroners,230610-frankfurt-galaxy-fehervar-enthroners
2023,2,false,2023-06-10 17:00:00,5:00 pm,CET,2023-06-10 16:00:00,Stuttgart Surge,Paris Musketeers,,,/live-games/230610-stuttgart-surge-paris-musketeers,230610-stuttgart-surge-paris-musketeers
2023,2,false,2023-06-10 18:00:00,6:00 pm,CET,2023-06-10 17:00:00,Barcelona Dragons,Milano Seamen,,,/live-games/230610-barcelona-dragons-milano-seamen,230610-barcelona-dragons-milano-seamen
2023,2,false,2023-06-11 13:00:00,1:00 pm,CET,2023-06-11 12:00:00,Vienna Vikings,Berlin Thunder,,,/live-games/230611-vienna-vikings-berlin-thunder,230611-vienna-vikings-berlin-thunder
2023,2,false,2023-06-11 16:25:00,4:25 pm,CET,2023-06-11 15:25:00,Panthers Wroclaw,Leipzig Kings,,,/live-games/230611-panthers-wroclaw-leipzig-kings,230611-panthers-wroclaw-leipzig-kings
2023,2,false,2023-06-11 16:25:00,4:25 pm,CET,2023-06-11 15:25:00,Raiders Tirol,Helvetic Guards,,,/live-games/230611-raiders-tirol-helvetic-guards,230611-raiders-tirol-helvetic-guards
2023,2,false,2023-06-11 16:25:00,4:25 pm,CET,2023-06-11 15:25:00,Rhein Fire,Hamburg Sea Devils,,,/live-games/230611-rhein-fire-hamburg-sea-devils,230611-rhein-fire-hamburg-sea-devils
2023,3,false,2023-06-17 17:00:00,5:00 pm,CET,2023-06-17 16:00:00,Hamburg Sea Devils,Cologne Centurions,,,/live-games/230617-hamburg-sea-devils-cologne-centurions,230617-hamburg-sea-devils-cologne-centurions
2023,3,false,2023-06-17 18:00:00,6:00 pm,CET,2023-06-17 17:00:00,Prague Lions,Vienna Vikings,,,/live-games/230617-prague-lions-vienna-vikings,230617-prague-lions-vienna-vikings
2023,3,false,2023-06-17 18:00:00,6:00 pm,CET,2023-06-17 17:00:00,Barcelona Dragons,Raiders Tirol,,,/live-games/230617-barcelona-dragons-raiders-tirol,230617-barcelona-dragons-raiders-tirol
2023,3,false,2023-06-17 18:00:00,6:00 pm,CET,2023-06-17 17:00:00,Fehervar Enthroners,Leipzig Kings,,,/live-games/230617-fehervar-enthroners-leipzig-kings,230617-fehervar-enthroners-leipzig-kings
2023,3,false,2023-06-18 13:00:00,1:00 pm,CET,2023-06-18 12:00:00,Milano Seamen,Stuttgart Surge,,,/live-games/230618-milano-seamen-stuttgart-surge,230618-milano-seamen-stuttgart-surge
2023,3,false,2023-06-18 13:00:00,1:00 pm,CET,2023-06-18 12:00:00,Munich Ravens,Helvetic Guards,,,/live-games/230618-munich-ravens-helvetic-guards,230618-munich-ravens-helvetic-guards
2023,3,false,2023-06-18 16:25:00,4:25 pm,CET,2023-06-18 15:25:00,Paris Musketeers,Rhein Fire,,,/live-games/230618-paris-musketeers-rhein-fire,230618-paris-musketeers-rhein-fire
2023,3,false,2023-06-18 16:25:00,4:25 pm,CET,2023-06-18 15:25:00,Panthers Wroclaw,Berlin Thunder,,,/live-games/230618-panthers-wroclaw-berlin-thunder,230618-panthers-wroclaw-berlin-thunder
2023,4,false,2023-06-24 17:00:00,5:00 pm,CET,2023-06-24 16:00:00,Fehervar Enthroners,Panthers Wroclaw,,,/live-games/230624-fehervar-enthroners-panthers-wroclaw,230624-fehervar-enthroners-panthers-wroclaw
2023,4,false,2023-06-24 18:00:00,6:00 pm,CET,2023-06-24 17:00:00,Paris Musketeers,Frankfurt Galaxy,,,/live-games/230624-paris-musketeers-frankfurt-galaxy,230624-paris-musketeers-frankfurt-galaxy
2023,4,false,2023-06-24 18:00:00,6:00 pm,CET,2023-06-24 17:00:00,Leipzig Kings,Vienna Vikings,,,/live-games/230624-leipzig-kings-vienna-vikings,230624-leipzig-kings-vienna-vikings
2023,4,false,2023-06-24 19:00:00,7:00 pm,CET,2023-06-24 18:00:00,Munich Ravens,Barcelona Dragons,,,/live-games/230624-munich-ravens-barcelona-dragons,230624-munich-ravens-barcelona-dragons
2023,4,false,2023-06-25 13:00:00,1:00 pm,CET,2023-06-25 12:00:00,Helvetic Guards,Milano Seamen,,,/live-games/230625-helvetic-guards-milano-seamen,230625-helvetic-guards-milano-seamen
2023,4,false,2023-06-25 13:00:00,1:00 pm,CET,2023-06-25 12:00:00,Raiders Tirol,Stuttgart Surge,,,/live-games/230625-raiders-tirol-stuttgart-surge,230625-raiders-tirol-stuttgart-surge
2023,4,false,2023-06-25 16:25:00,4:25 pm,CET,2023-06-25 15:25:00,Rhein Fire,Cologne Centurions,,,/live-games/230625-rhein-fire-cologne-centurions,230625-rhein-fire-cologne-centurions
2023,4,false,2023-06-25 16:25:00,4:25 pm,CET,2023-06-25 15:25:00,Berlin Thunder,Hamburg Sea Devils,,,/live-games/230625-berlin-thunder-hamburg-sea-devils,230625-berlin-thunder-hamburg-sea-devils
2023,5,false,2023-07-01 14:30:00,2:30 pm,CET,2023-07-01 13:30:00,Helvetic Guards,Rhein Fire,,,/live-games/230701-helvetic-guards-rhein-fire,230701-helvetic-guards-rhein-fire
2023,5,false,2023-07-01 14:30:00,2:30 pm,CET,2023-07-01 13:30:00,Cologne Centurions,Frankfurt Galaxy,,,/live-games/230701-cologne-centurions-frankfurt-galaxy,230701-cologne-centurions-frankfurt-galaxy
2023,5,false,2023-07-01 17:00:00,5:00 pm,CET,2023-07-01 16:00:00,Hamburg Sea Devils,Paris Musketeers,,,/live-games/230701-hamburg-sea-devils-paris-musketeers,230701-hamburg-sea-devils-paris-musketeers
2023,5,false,2023-07-02 14:30:00,2:30 pm,CET,2023-07-02 13:30:00,Stuttgart Surge,Munich Ravens,,,/live-games/230702-stuttgart-surge-munich-ravens,230702-stuttgart-surge-munich-ravens
2023,5,false,2023-07-02 14:30:00,2:30 pm,CET,2023-07-02 13:30:00,Berlin Thunder,Leipzig Kings,,,/live-games/230702-berlin-thunder-leipzig-kings,230702-berlin-thunder-leipzig-kings
2023,5,false,2023-07-02 16:25:00,4:25 pm,CET,2023-07-02 15:25:00,Vienna Vikings,Fehervar Enthroners,,,/live-games/230702-vienna-vikings-fehervar-enthroners,230702-vienna-vikings-fehervar-enthroners
2023,5,false,2023-07-02 16:25:00,4:25 pm,CET,2023-07-02 15:25:00,Milano Seamen,Raiders Tirol,,,/live-games/230702-milano-seamen-raiders-tirol,230702-milano-seamen-raiders-tirol
2023,5,false,2023-07-02 16:25:00,4:25 pm,CET,2023-07-02 15:25:00,Prague Lions,Panthers Wroclaw,,,/live-games/230702-prague-lions-panthers-wroclaw,230702-prague-lions-panthers-wroclaw
2023,6,false,2023-07-08 18:00:00,6:00 pm,CET,2023-07-08 17:00:00,Prague Lions,Leipzig Kings,,,/live-games/230708-prague-lions-leipzig-kings,230708-prague-lions-leipzig-kings
2023,6,false,2023-07-08 19:00:00,7:00 pm,CET,2023-07-08 18:00:00,Frankfurt Galaxy,Milano Seamen,,,/live-games/230708-frankfurt-galaxy-milano-seamen,230708-frankfurt-galaxy-milano-seamen
2023,6,false,2023-07-09 13:00:00,1:00 pm,CET,2023-07-09 12:00:00,Panthers Wroclaw,Hamburg Sea Devils,,,/live-games/230709-panthers-wroclaw-hamburg-sea-devils,230709-panthers-wroclaw-hamburg-sea-devils
2023,6,false,2023-07-09 13:00:00,1:00 pm,CET,2023-07-09 12:00:00,Fehervar Enthroners,Berlin Thunder,,,/live-games/230709-fehervar-enthroners-berlin-thunder,230709-fehervar-enthroners-berlin-thunder
2023,6,false,2023-07-09 13:00:00,1:00 pm,CET,2023-07-09 12:00:00,Barcelona Dragons,Helvetic Guards,,,/live-games/230709-barcelona-dragons-helvetic-guards,230709-barcelona-dragons-helvetic-guards
2023,6,false,2023-07-09 16:25:00,4:25 pm,CET,2023-07-09 15:25:00,Paris Musketeers,Stuttgart Surge,,,/live-games/230709-paris-musketeers-stuttgart-surge,230709-paris-musketeers-stuttgart-surge
2023,6,false,2023-07-09 16:25:00,4:25 pm,CET,2023-07-09 15:25:00,Munich Ravens,Rhein Fire,,,/live-games/230709-munich-ravens-rhein-fire,230709-munich-ravens-rhein-fire
2023,6,false,2023-07-09 16:25:00,4:25 pm,CET,2023-07-09 15:25:00,Vienna Vikings,Raiders Tirol,,,/live-games/230709-vienna-vikings-raiders-tirol,230709-vienna-vikings-raiders-tirol
2023,7,false,2023-07-15 17:00:00,5:00 pm,CET,2023-07-15 16:00:00,Leipzig Kings,Cologne Centurions,,,/live-games/230715-leipzig-kings-cologne-centurions,230715-leipzig-kings-cologne-centurions
2023,7,false,2023-07-15 18:00:00,6:00 pm,CET,2023-07-15 17:00:00,Panthers Wroclaw,Vienna Vikings,,,/live-games/230715-panthers-wroclaw-vienna-vikings,230715-panthers-wroclaw-vienna-vikings
2023,7,false,2023-07-15 19:00:00,7:00 pm,CET,2023-07-15 18:00:00,Raiders Tirol,Barcelona Dragons,,,/live-games/230715-raiders-tirol-barcelona-dragons,230715-raiders-tirol-barcelona-dragons
2023,7,false,2023-07-16 13:00:00,1:00 pm,CET,2023-07-16 12:00:00,Berlin Thunder,Prague Lions,,,/live-games/230716-berlin-thunder-prague-lions,230716-berlin-thunder-prague-lions
2023,7,false,2023-07-16 13:00:00,1:00 pm,CET,2023-07-16 12:00:00,Hamburg Sea Devils,Frankfurt Galaxy,,,/live-games/230716-hamburg-sea-devils-frankfurt-galaxy,230716-hamburg-sea-devils-frankfurt-galaxy
2023,7,false,2023-07-16 13:00:00,1:00 pm,CET,2023-07-16 12:00:00,Milano Seamen,Munich Ravens,,,/live-games/230716-milano-seamen-munich-ravens,230716-milano-seamen-munich-ravens
2023,7,false,2023-07-16 16:25:00,4:25 pm,CET,2023-07-16 15:25:00,Stuttgart Surge,Helvetic Guards,,,/live-games/230716-stuttgart-surge-helvetic-guards,230716-stuttgart-surge-helvetic-guards
2023,7,false,2023-07-16 16:25:00,4:25 pm,CET,2023-07-16 15:25:00,Rhein Fire,Paris Musketeers,,,/live-games/230716-rhein-fire-paris-musketeers,230716-rhein-fire-paris-musketeers
2023,8,false,2023-07-22 18:00:00,6:00 pm,CET,2023-07-22 17:00:00,Munich Ravens,Raiders Tirol,,,/live-games/230722-munich-ravens-raiders-tirol,230722-munich-ravens-raiders-tirol
2023,8,false,2023-07-22 18:00:00,6:00 pm,CET,2023-07-22 17:00:00,Berlin Thunder,Vienna Vikings,,,/live-games/230722-berlin-thunder-vienna-vikings,230722-berlin-thunder-vienna-vikings
2023,8,false,2023-07-23 13:00:00,1:00 pm,CET,2023-07-23 12:00:00,Leipzig Kings,Panthers Wroclaw,,,/live-games/230723-leipzig-kings-panthers-wroclaw,230723-leipzig-kings-panthers-wroclaw
2023,8,false,2023-07-23 13:00:00,1:00 pm,CET,2023-07-23 12:00:00,Milano Seamen,Helvetic Guards,,,/live-games/230723-milano-seamen-helvetic-guards,230723-milano-seamen-helvetic-guards
2023,8,false,2023-07-23 13:00:00,1:00 pm,CET,2023-07-23 12:00:00,Barcelona Dragons,Stuttgart Surge,,,/live-games/230723-barcelona-dragons-stuttgart-surge,230723-barcelona-dragons-stuttgart-surge
2023,8,false,2023-07-23 16:25:00,4:25 pm,CET,2023-07-23 15:25:00,Cologne Centurions,Rhein Fire,,,/live-games/230723-cologne-centurions-rhein-fire,230723-cologne-centurions-rhein-fire
2023,8,false,2023-07-23 16:25:00,4:25 pm,CET,2023-07-23 15:25:00,Prague Lions,Fehervar Enthroners,,,/live-games/230723-prague-lions-fehervar-enthroners,230723-prague-lions-fehervar-enthroners
2023,8,false,2023-07-23 16:25:00,4:25 pm,CET,2023-07-23 15:25:00,Frankfurt Galaxy,Paris Musketeers,,,/live-games/230723-frankfurt-galaxy-paris-musketeers,230723-frankfurt-galaxy-paris-musketeers
2023,9,false,2023-07-29 17:00:00,5:00 pm,CET,2023-07-29 16:00:00,Panthers Wroclaw,Prague Lions,,,/live-games/230729-panthers-wroclaw-prague-lions,230729-panthers-wroclaw-prague-lions
2023,9,false,2023-07-29 19:00:00,7:00 pm,CET,2023-07-29 18:00:00,Paris Musketeers,Barcelona Dragons,,,/live-games/230729-paris-musketeers-barcelona-dragons,230729-paris-musketeers-barcelona-dragons
2023,9,false,2023-07-29 19:00:00,7:00 pm,CET,2023-07-29 18:00:00,Stuttgart Surge,Milano Seamen,,,/live-games/230729-stuttgart-surge-milano-seamen,230729-stuttgart-surge-milano-seamen
2023,9,false,2023-07-30 13:00:00,1:00 pm,CET,2023-07-30 12:00:00,Vienna Vikings,Leipzig Kings,,,/live-games/230730-vienna-vikings-leipzig-kings,230730-vienna-vikings-leipzig-kings
2023,9,false,2023-07-30 13:00:00,1:00 pm,CET,2023-07-30 12:00:00,Fehervar Enthroners,Frankfurt Galaxy,,,/live-games/230730-fehervar-enthroners-frankfurt-galaxy,230730-fehervar-enthroners-frankfurt-galaxy
2023,9,false,2023-07-30 16:25:00,4:25 pm,CET,2023-07-30 15:25:00,Cologne Centurions,Hamburg Sea Devils,,,/live-games/230730-cologne-centurions-hamburg-sea-devils,230730-cologne-centurions-hamburg-sea-devils
