player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
zach-edwards,1.0,Zach,Edwards,QB,1.95,76.77,100.0,220.46,2022,Barcelona Dragons
cesare-brugnani,10.0,Cesare,Brugnani,OLB,1.8,70.87,86.0,189.6,2022,Barcelona Dragons
alejandro-fernandez,11.0,Alejandro,Fernández,DE,1.88,74.02,105.0,231.49,2022,Barcelona Dragons
benjamin-plu,12.0,Benjamin,Plu,WR,1.9,74.8,87.0,191.8,2022,Barcelona Dragons
joan-carles-bartra,13.0,Joan Carles,Bartra,S,1.8,70.87,90.0,198.42,2022,Barcelona Dragons
sergio-barbero,14.0,Sergio,Barbero,QB,1.85,72.83,85.0,187.39,2022,Barcelona Dragons
mario-flores,15.0,Mario,Flores,WR,1.81,71.26,86.0,189.6,2022,Barcelona Dragons
kyle-sweet,17.0,Kyle,Sweet,WR,1.83,72.05,85.0,187.39,2022,Barcelona Dragons
lucas-masero,20.0,Lucas,Masero,CB,1.73,68.11,80.0,176.37,2022,Barcelona Dragons
antonio-monton,21.0,Antonio,Montón,RB,1.69,66.54,75.0,165.35,2022,Barcelona Dragons
lautaro-frecha,22.0,Lautaro,Frecha,S,1.88,74.02,95.0,209.44,2022,Barcelona Dragons
jordi-brugnani,23.0,Jordi,Brugnani,CB,1.83,72.05,80.0,176.37,2022,Barcelona Dragons
javier-castanon,24.0,Javier,Castañón,TE,1.8,70.87,88.0,194.01,2022,Barcelona Dragons
niko-lester,25.0,Niko,Lester,FS,1.87,73.62,97.0,213.85,2022,Barcelona Dragons
cesar-sawane,26.0,César,Sawane Garcia,CB,1.8,70.87,85.0,187.39,2022,Barcelona Dragons
andy-vera,27.0,Andy,Vera,CB,1.7,66.93,80.0,176.37,2022,Barcelona Dragons
adrian-jimenez,3.0,Adrián,Jiménez,RB,1.8,70.87,97.0,213.85,2022,Barcelona Dragons
elias-rodriguez,34.0,Elías,Rodríguez,RB,1.73,68.11,85.0,187.39,2022,Barcelona Dragons
jairus-moll,4.0,Jairus,Moll,CB,1.79,70.47,79.0,174.17,2022,Barcelona Dragons
raul-hernandez,42.0,Raúl,Hernández,TE,1.95,76.77,121.0,266.76,2022,Barcelona Dragons
victor-albarracin,43.0,Víctor,Albarracín,ILB,1.83,72.05,93.0,205.03,2022,Barcelona Dragons
alex-gonzalez,45.0,Álex,González Posito,ILB,1.81,71.26,99.0,218.26,2022,Barcelona Dragons
sebastian-castaner,49.0,Sebastián,Castañer,ILB,1.88,74.02,100.0,220.46,2022,Barcelona Dragons
jorge-felix-velasco,5.0,Jorge Félix,Velasco,S,1.73,68.11,80.0,176.37,2022,Barcelona Dragons
michael-sam,52.0,Michael,Sam,DE,1.88,74.02,116.0,255.74,2022,Barcelona Dragons
josep-tricas,53.0,Josep,Tricas,LS,1.83,72.05,105.0,231.49,2022,Barcelona Dragons
adrian-novella,55.0,Adrián,Novella,ILB,1.75,68.9,92.0,202.83,2022,Barcelona Dragons
luis-cereceda,6.0,Luis,Cereceda,P,1.77,69.69,81.0,178.57,2022,Barcelona Dragons
celestin-ngimbi,60.0,Celestin,Ngimbi,OL,1.87,73.62,135.0,297.62,2022,Barcelona Dragons
elvys-nunez,64.0,Elvys,Núñez,OL,1.86,73.23,135.0,297.62,2022,Barcelona Dragons
alan-mark-sousa-posincovich-,68.0,Alan Mark,Sousa Posincovich,OL,1.87,73.62,140.0,308.65,2022,Barcelona Dragons
antony-rodrigues,7.0,Antony,Rodrigues,OLB,1.85,72.83,90.0,198.42,2022,Barcelona Dragons
mikel-gomez,70.0,Mikel,Gómez,OL,1.88,74.02,132.0,291.01,2022,Barcelona Dragons
jose-ariza,72.0,Jose Rafael,Ariza Paredes,OL,1.92,75.59,147.0,324.08,2022,Barcelona Dragons
sebastian-bowen,73.0,Sebastian,Bowen,DT,1.88,74.02,120.0,264.55,2022,Barcelona Dragons
mathias-roll-hummelmose,75.0,Mathias Roll,Hummelmose,OL,1.98,77.95,122.0,268.96,2022,Barcelona Dragons
gabriel-rodriguez,77.0,Gabriel,Rodríguez,OL,2.0,78.74,148.0,326.28,2022,Barcelona Dragons
miguel-angel-kabankaya,78.0,Maiguel Angel,Kabankaya,OL,1.95,76.77,135.0,297.62,2022,Barcelona Dragons
eduardo-gonzalez,79.0,Eduardo,Sanchez González,OL,1.97,77.56,160.0,352.74,2022,Barcelona Dragons
giorgio-tavecchio,8.0,Giorgio,Tavecchio,K,1.78,70.08,82.0,180.78,2022,Barcelona Dragons
jordi-torrededia,80.0,Jordi,Torrededia,WR,1.77,69.69,74.0,163.14,2022,Barcelona Dragons
guillem-visent,82.0,Guillem,Visent,WR,1.8,70.87,89.0,196.21,2022,Barcelona Dragons
arnau-casamor,85.0,Arnau,Casamor,WR,1.87,73.62,83.0,182.98,2022,Barcelona Dragons
igor-maslanka,87.0,Igor,Mašlanka,TE,1.96,77.17,115.0,253.53,2022,Barcelona Dragons
roque-alarcon,88.0,Roque, Alarcón,WR,1.83,72.05,81.0,178.57,2022,Barcelona Dragons
daniel-franco,90.0,Daniel,Franco,DT,1.88,74.02,122.0,268.96,2022,Barcelona Dragons
alberto-del-cerro,93.0,Alberto,Del Cerro,DE,1.95,76.77,110.0,242.51,2022,Barcelona Dragons
edwin-elio,98.0,Edwin,Elio,DT,1.81,71.26,135.0,297.62,2022,Barcelona Dragons
yago-rivero,99.0,Yago,Rivero,DE,1.86,73.23,105.0,231.49,2022,Barcelona Dragons
aaron-sola,,AARÓN,SOLA,DE,1.85,,105.0,,2022,Barcelona Dragons
bartolome-flaquer,,BARTOLOMÉ,FLAQUER,QB,1.85,,83.0,,2022,Barcelona Dragons
joel-cabre,,JOEL,CABRÉ,OLB,1.85,,91.0,,2022,Barcelona Dragons
ruben-quintana,,RUBÉN,QUINTANA,TE,1.89,,91.0,,2022,Barcelona Dragons
shawn-wilson,,SHAWN,WILSON,S,1.77,,99.0,,2022,Barcelona Dragons
luis-sanchez,,LUIS,SÁNCHEZ,WR,1.8,,79.0,,2022,Barcelona Dragons
jocques-crawford,1.0,Jocques,Crawford,RB,1.83,72.05,100.0,220.46,2022,Berlin Thunder
bryan-zerbe,11.0,Bryan,Zerbe,WR,1.85,72.83,90.0,198.42,2022,Berlin Thunder
