,player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
258,ege-berk-inanc,11,Ege Berk,İnanç,WR,1.89,74.41,92,202.83,2022,Istanbul Rams
259,eldert-terekuu,33,Eldert,Terekuu,CB,1.8,70.87,92,202.83,2022,Hamburg Sea Devils
260,eldert-terekuu,33,Eldert,Terekuu,CB,1.8,70.87,92,202.83,2021,Hamburg Sea Devils
261,elias-becher,62,Elias,Becher,OL,1.9,74.8,142,313.06,2022,Stuttgart Surge
262,elijah-bohm,22,Elijah,Böhm,DE,1.84,72.44,109,240.3,2022,Raiders Tirol
263,elvys-nunez,64,Elvys,Núñez,OL,1.86,73.23,135,297.62,2022,Barcelona Dragons
264,elvys-nunez,64,Elvys,Núñez,OL,1.86,73.23,135,297.62,2021,Barcelona Dragons
265,elias-rodriguez,34,Elías,Rodríguez,RB,1.73,68.11,85,187.39,2022,Barcelona Dragons
266,elias-rodriguez,34,Elías,Rodríguez,RB,1.73,68.11,85,187.39,2021,Barcelona Dragons
267,emil-drossard,17,Emil,Drossard,WR,1.75,68.9,78,171.96,2022,Berlin Thunder
268,emil-drossard,17,Emil,Drossard,WR,1.75,68.9,78,171.96,2021,Berlin Thunder
269,emir-sariyildiz,88,Emir,Sarıyıldız,TE,1.9,74.8,108,238.1,2022,Istanbul Rams
270,emre-dumlupinar,72,Emre,Dumlupınar,OL,1.9,74.8,132,291.01,2022,Istanbul Rams
271,emre-zengin,59,Emre ,Zengin,ILB,1.88,74.02,100,220.46,2022,Rhein Fire
272,emre-ozdemir,24,Emre,Özdemir,CB,1.8,70.87,82,180.78,2022,Istanbul Rams
273,erdem-altun,76,Erdem,Altun,OL,1.78,70.08,117,257.94,2022,Istanbul Rams
274,eric-adam,92,Eric,Adam,DE,1.97,77.56,110,242.51,2022,Rhein Fire
275,eric-de-souza,62,Eric,De Souza,DT,1.97,77.56,140,308.65,2022,Hamburg Sea Devils
276,eric-de-souza,62,Eric,De Souza,DT,1.97,77.56,140,308.65,2021,Hamburg Sea Devils
277,eric-schlomm,8,Eric,Schlomm,K/P,1.77,69.69,82,180.78,2022,Hamburg Sea Devils
278,erich-kilger,14,Erich,Kilger,WR,1.8,70.87,94,207.23,2021,Leipzig Kings
279,evans-yeboah,95,Evans,Yeboah,DT,1.94,76.38,125,275.58,2022,Hamburg Sea Devils
280,evans-yeboah,95,Evans,Yeboah,DT,1.94,76.38,125,275.58,2021,Hamburg Sea Devils
281,exavier-edwards,7,Exavier,Edwards,S,1.77,69.69,88,194.01,2022,Vienna Vikings
282,fabian-kratz,73,Fabian,Kratz,OL,1.97,77.56,110,242.51,2022,Cologne Centurions
283,fabian-kratz,73,Fabian,Kratz,OL,1.97,77.56,110,242.51,2021,Cologne Centurions
284,fabian-weigel,81,Fabian,Weigel,WR,1.81,71.26,86,189.6,2021,Stuttgart Surge
285,fabio-tartarotti,36,Fabio,Tartarotti,CB,1.85,72.83,85,187.39,2022,Vienna Vikings
286,fabrizio-umetelli,34,Fabrizio,Umetelli,CB,1.83,72.05,83,182.98,2022,Rhein Fire
287,falco-paris,48,Falco,Paris,DE,1.89,74.41,112,246.92,2021,Berlin Thunder
288,falk-reuter,30,Falk,Reuter,S,1.83,72.05,89,196.21,2022,Frankfurt Galaxy
289,falk-reuter,30,Falk,Reuter,S,1.83,72.05,89,196.21,2021,Frankfurt Galaxy
290,felix-haufe,91,Felix,Haufe,DL,1.75,68.9,135,297.62,2021,Stuttgart Surge
291,felix-lepper,75,Felix,Lepper,OL,2.05,80.71,125,275.58,2022,Leipzig Kings
292,felix-macher,91,Felix,Macher,DE,1.78,70.08,103,227.08,2022,Vienna Vikings
293,felix-mohlberg,33,Felix,Mohlberg,S,1.82,71.65,84,185.19,2022,Berlin Thunder
294,felix-reisacher,19,Felix,Reisacher,WR,1.88,74.02,94,207.23,2022,Vienna Vikings
295,felix-siegert,94,Felix,Siegert,DE,1.91,75.2,105,231.49,2022,Rhein Fire
296,felix-spliteser,89,Felix,Spliteser,WR,1.98,77.95,95,209.44,2021,Leipzig Kings
297,femi-durojaiye,3,Femi,Durojaiye,DB,1.8,70.87,80,176.37,2021,Cologne Centurions
298,fernando-lowery,18,Fernando,Lowery,CB,1.8,70.87,89,196.21,2022,Frankfurt Galaxy
299,fernando-lowery,18,Fernando,Lowery,CB,1.8,70.87,89,196.21,2021,Frankfurt Galaxy
300,ferras-el-hendi,3,Ferras,El-Hendi,QB,1.93,75.98,95,209.44,2022,Leipzig Kings
301,filip-kloskowski,37,Filip ,Kłoskowski,LB,1.91,75.2,102,224.87,2021,Panthers Wroclaw
302,filip-snopek,52,Filip,Snopek,DE,1.94,76.38,122,268.96,2022,Panthers Wroclaw
303,filip-twardowski,11,Filip,Twardowski,K,1.84,72.44,95,209.44,2022,Panthers Wroclaw
304,filip-vlajic,34,Filip,Vlajic,RB,1.72,67.72,78,171.96,2022,Raiders Tirol
305,filip-liberio-filipovic,53,Filip-Liberio,Filipovic,DL,1.9,74.8,115,253.53,2021,Hamburg Sea Devils
306,finn-seibert,24,Finn,Seibert,WR,1.87,73.62,90,198.42,2021,Stuttgart Surge
307,firat-aybek,56,Firat,Aybek,OL,1.9,74.8,165,363.76,2022,Cologne Centurions
308,firat-aybek,56,Firat,Aybek,OL,1.9,74.8,165,363.76,2021,Cologne Centurions
309,flamur-simon,57,Flamur,Simon,OLB,1.96,77.17,115,253.53,2022,Cologne Centurions
310,florian-barthel,71,Florian,Barthel,OL,1.92,75.59,150,330.69,2021,Leipzig Kings
311,florian-bierbaumer,89,Florian,Bierbaumer,WR,1.98,77.95,116,255.74,2022,Vienna Vikings
312,florian-borger,26,Florian,Borger,S,1.78,70.08,105,231.49,2022,Leipzig Kings
313,florian-borger,26,Florian,Borger,S,1.78,70.08,105,231.49,2021,Leipzig Kings
314,florian-breitenbach,96,Florian,Breitenbach,DL,1.8,70.87,105,231.49,2021,Stuttgart Surge
315,florian-eichhorn,87,Florian,Eichhorn,TE,1.89,74.41,106,233.69,2022,Rhein Fire
316,florian-eichhorn,87,Florian,Eichhorn,TE,1.89,74.41,106,233.69,2021,Cologne Centurions
317,florian-finke,9,Florian,Finke,P,1.87,73.62,105,231.49,2022,Leipzig Kings
318,florian-gerlach,76,Florian,Gerlach,OL,2.0,78.74,130,286.6,2021,Berlin Thunder
319,florian-grunsteidl,94,Florian,Grünsteidl,DT,1.91,75.2,125,275.58,2022,Vienna Vikings
320,florian-kallwitz,71,Florian,Kallwitz,OL,1.87,73.62,135,297.62,2022,Rhein Fire
321,florian-kallwitz,71,Florian,Kallwitz,OL,1.87,73.62,135,297.62,2021,Cologne Centurions
322,florian-markus,51,Florian,Markus,OL,1.8,70.87,105,231.49,2022,Vienna Vikings
323,florian-rosenberger,61,Florian ,Rosenberger,OL,1.9,74.8,155,341.72,2022,Hamburg Sea Devils
324,florian-schneikert,27,Florian,Schneikert,RB,1.93,75.98,100,220.46,2021,Frankfurt Galaxy
325,florian-sudi,75,Florian,Sudi,DT,1.97,77.56,145,319.67,2022,Vienna Vikings
326,florian-wegan,3,Florian,Wegan,RB,1.68,66.14,94,207.23,2022,Vienna Vikings
327,francesco-runco,66,Francesco,Runco,OL,1.94,76.38,135,297.62,2022,Frankfurt Galaxy
328,francis-bongwalanga,71,Francis,Bongwalanga,OL,1.94,76.38,136,299.83,2022,Hamburg Sea Devils
329,frank-atunlese,71,Frank,Atunlese,OL,1.92,75.59,142,313.06,2022,Frankfurt Galaxy
330,frank-atunlese,71,Frank,Atunlese,OL,1.92,75.59,142,313.06,2021,Frankfurt Galaxy
331,frederic-latour,14,Frederic,Latour,WR,1.93,75.98,90,198.42,2021,Stuttgart Surge
332,frederick-weinreich,78,Frederick,Weinreich,OL,1.85,72.83,125,275.58,2021,Cologne Centurions
333,frederik-schneider,79,Frederik,Schneider,OL,1.94,76.38,120,264.55,2022,Cologne Centurions
334,friedemann-peters,75,Friedemann,Peters,OL,1.96,77.17,140,308.65,2021,Hamburg Sea Devils
335,gabriel-cunningham,1,Gabriel,Cunningham,QB,1.9,74.8,95,209.44,2022,Leipzig Kings
336,gabriel-kalus,30,Gabriel,Kalus,CB,1.77,69.69,80,176.37,2022,Leipzig Kings
337,gabriel-rodriguez,77,Gabriel,Rodríguez,OL,2.0,78.74,148,326.28,2022,Barcelona Dragons
338,gabriel-wiek,93,Gabriel,Wiek,DE,1.91,75.2,110,242.51,2021,Berlin Thunder
339,gennadiy-adams,21,Gennadiy,Adams,RB,1.73,68.11,86,189.6,2021,Frankfurt Galaxy
340,gerald-ameln,20,Gerald,Ameln,RB,1.8,70.87,88,194.01,2022,Hamburg Sea Devils
341,gerald-ameln,20,Gerald,Ameln,RB,1.8,70.87,88,194.01,2021,Frankfurt Galaxy
342,gerd-mitterdorfer,59,Gerd,Mitterdorfer,OL,1.82,71.65,118,260.15,2022,Raiders Tirol
343,giacomo-de-pauli,5,Giacomo,De Pauli,RB,1.88,74.02,102,224.87,2022,Berlin Thunder
344,giacomo-prati,2,Giacomo,Prati,DE,1.92,75.59,114,251.33,2021,Barcelona Dragons
345,gian-de-guzman,51,Gian,De Guzman,OL,1.81,71.26,130,286.6,2022,Hamburg Sea Devils
346,gian-de-guzman,51,Gian,De Guzman,OL,1.81,71.26,130,286.6,2021,Hamburg Sea Devils
347,gideon-grabert,71,Gideon,Grabert,OL,1.91,75.2,138,304.24,2022,Berlin Thunder
348,gideon-grabert,71,Gideon,Grabert,OL,1.91,75.2,138,304.24,2021,Berlin Thunder
349,gino-behling-lang,88,Gino,Behling-Lang,DT,1.98,77.95,130,286.6,2022,Berlin Thunder
350,gino-chongo,4,Gino,Chongo,CB,1.84,72.44,85,187.39,2022,Berlin Thunder
351,giorgio-tavecchio,8,Giorgio,Tavecchio,K,1.78,70.08,82,180.78,2022,Barcelona Dragons
352,giorgio-tavecchio,8,Giorgio,Tavecchio,K,1.78,70.08,82,180.78,2021,Barcelona Dragons
353,giovanni-nanguy,56,Giovanni,Nanguy,OLB,1.92,75.59,105,231.49,2022,Hamburg Sea Devils
354,giovanni-nanguy,56,Giovanni,Nanguy,OLB,1.92,75.59,105,231.49,2021,Hamburg Sea Devils
355,glen-toonga,7,Glen,Toonga,RB,1.77,69.69,97,213.85,2022,Hamburg Sea Devils
356,glody-ngovo,4,Glody,Ngovo,RB,1.8,70.87,85,187.39,2021,Cologne Centurions
357,goran-zec,5,Goran,Zec,S,1.8,70.87,84,185.19,2022,Panthers Wroclaw
358,goran-zec,5,Goran,Zec,S,1.8,70.87,84,185.19,2021,Panthers Wroclaw
359,grzegorz-lary,26,Grzegorz,Lary,CB,1.83,72.05,77,169.76,2022,Panthers Wroclaw
