,player_id,player_number,player_first_name,player_last_name,player_position,player_height_m,player_height_in,player_weight_kg,player_weight_lbs,season,team
154,chaska-remy-perron,22,Chaska Remy,Perron,CB,1.82,71.65,84,185.19,2022,Stuttgart Surge
155,cheikhou-sow,84,Cheikhou,Sow,WR,1.76,69.29,80,176.37,2022,Frankfurt Galaxy
156,cheikhou-sow,84,Cheikhou,Sow,WR,1.76,69.29,80,176.37,2021,Frankfurt Galaxy
157,chris-manser,18,Chris,Manser,P,1.81,71.26,,,2021,Barcelona Dragons
158,chris-richardson-jr,94,Chris,Richardson Jr.,DT,1.87,73.62,142,313.06,2022,Cologne Centurions
159,chris-schlack,52,Chris,Schlack,LB,1.78,70.08,90,198.42,2021,Leipzig Kings
160,christian-romer,10,Christian,Römer,ILB,1.87,73.62,90,198.42,2022,Leipzig Kings
161,christian-van-horn,95,Christian,Van Horn,DT,1.83,72.05,120,264.55,2022,Rhein Fire
162,christoph-kellner,22,Christoph,Kellner,CB,1.7,66.93,75,165.35,2022,Vienna Vikings
163,christoph-nitzlnader,8,Christoph,Nitzlnader,CB,1.83,72.05,84,185.19,2022,Raiders Tirol
164,christoph-schob,78,Christoph,Schob,OL,1.95,76.77,140,308.65,2021,Leipzig Kings
165,christopher-ezeala,9,Christopher,Ezeala,RB,1.83,72.05,109,240.3,2021,Cologne Centurions
166,christopher-hans,93,Christopher,Hans,DE,1.87,73.62,120,264.55,2022,Leipzig Kings
167,christopher-hans,93,Christopher,Hans,DE,1.87,73.62,120,264.55,2021,Leipzig Kings
168,collins-kamara,22,Collins,Kamara,RB,1.77,69.69,88,194.01,2021,Stuttgart Surge
169,connor-bolton,56,Connor,Bolton,OL,1.96,77.17,150,330.69,2022,Berlin Thunder
170,conor-miller,8,Conor,Miller,QB,1.95,76.77,100,220.46,2022,Leipzig Kings
171,conrad-schmid,79,Conrad,Schmid,OL,2.0,78.74,125,275.58,2021,Berlin Thunder
172,constantin-lassing,54,Constantin,Lässing,LB,1.78,70.08,98,216.05,2021,Stuttgart Surge
173,courtney-etienne,81,Courtney,Etienne,S,1.78,70.08,89,196.21,2022,Berlin Thunder
174,curtis-slater,25,Curtis,Slater,DB,1.75,68.9,83,182.98,2021,Hamburg Sea Devils
175,cesar-sawane,26,César,Sawane Garcia,CB,1.8,70.87,85,187.39,2022,Barcelona Dragons
176,dale-warren,20,Dale,Warren,LB,1.84,72.44,104,229.28,2021,Stuttgart Surge
177,damian-krawiec,73,Damian,Krawiec,OL,1.84,72.44,150,330.69,2021,Panthers Wroclaw
178,damian-kwiatkowski,13,Damian,Kwiatkowski,RB,1.87,73.62,91,200.62,2021,Panthers Wroclaw
179,damian-wesolowski,93,Damian,Wesolowski,DT,1.94,76.38,125,275.58,2022,Panthers Wroclaw
180,damian-wesolowski,93,Damian,Wesolowski,DT,1.94,76.38,125,275.58,2021,Panthers Wroclaw
181,daniel-brown,25,Daniel,Brown,CB,1.8,70.87,80,176.37,2022,Hamburg Sea Devils
182,daniel-claus,77,Daniel,Claus,OL,2.03,79.92,150,330.69,2022,Raiders Tirol
183,daniel-docal,21,Daniel,Docal,DB,1.75,68.9,84,185.19,2021,Leipzig Kings
184,daniel-duah,1,Daniel,Duah,CB,1.78,70.08,93,205.03,2022,Rhein Fire
185,daniel-fankhauser,78,Daniel,Fankhauser,OL,1.92,75.59,132,291.01,2022,Raiders Tirol
186,daniel-farley,7,Daniel,Farley,QB,1.88,74.02,91,200.62,2021,Cologne Centurions
187,daniel-franco,90,Daniel,Franco,DT,1.88,74.02,122,268.96,2022,Barcelona Dragons
188,daniel-josiah,53,Daniel,Josiah,ILB,1.83,72.05,95,209.44,2022,Frankfurt Galaxy
189,daniel-josiah,53,Daniel,Josiah,ILB,1.83,72.05,95,209.44,2021,Frankfurt Galaxy
190,daniel-laporte,57,Daniel,Laporte,ILB,1.85,72.83,97,213.85,2022,Hamburg Sea Devils
191,daniel-laporte,57,Daniel,Laporte,ILB,1.85,72.83,97,213.85,2021,Hamburg Sea Devils
192,daniel-monfared,52,Daniel,Monfared,ILB,1.83,72.05,95,209.44,2021,Barcelona Dragons
193,daniel-piatkowski,19,Daniel,Piątkowski,S,1.87,73.62,95,209.44,2022,Panthers Wroclaw
194,daniel-piatkowski,19,Daniel,Piątkowski,S,1.87,73.62,95,209.44,2021,Panthers Wroclaw
195,daniel-pozarek,99,Daniel,Pozarek,DT,1.88,74.02,108,238.1,2022,Vienna Vikings
196,daniel-rennich,23,Daniel,Rennich,RB,1.83,72.05,92,202.83,2022,Rhein Fire
197,daniel-rotermel,46,Daniel,Rotärmel,LB,1.94,76.38,110,242.51,2021,Hamburg Sea Devils
198,daniel-schuhmacher,2,Daniel,Schuhmacher,K,1.89,74.41,89,196.21,2021,Cologne Centurions
199,daniel-schonet,42,Daniel,Schönet,ILB,1.84,72.44,100,220.46,2022,Vienna Vikings
200,daniel-thiele,90,Daniel,Thiele,DT,1.96,77.17,140,308.65,2022,Leipzig Kings
201,daniel-thiele,90,Daniel,Thiele,DT,1.96,77.17,140,308.65,2021,Leipzig Kings
202,daniel-weiswange,12,Daniel,Weiswange,WR,1.7,66.93,82,180.78,2021,Berlin Thunder
203,danny-lange,84,Danny,Lange,K,1.89,74.41,78,171.96,2022,Rhein Fire
204,danny-washington,2,Danny,Washington ,LB,1.76,69.29,95,209.44,2021,Stuttgart Surge
205,dante-vandeven,9,Dante,Vandeven,QB,1.87,73.62,97,213.85,2022,Stuttgart Surge
206,dany-lamy,31,Dany,Lamy,CB,1.88,74.02,87,191.8,2022,Cologne Centurions
207,dany-lamy,31,Dany,Lamy,CB,1.88,74.02,87,191.8,2021,Cologne Centurions
208,darius-robinson,1,Darius,Saint-Robinson,CB,1.83,72.05,82,180.78,2022,Panthers Wroclaw
209,darius-robinson,1,Darius,Saint-Robinson,CB,1.83,72.05,82,180.78,2021,Panthers Wroclaw
210,darko-pisaric,72,Darko,Pisaric,DT,1.93,75.98,117,257.94,2022,Stuttgart Surge
211,darko-pisaric,72,Darko,Pisaric,DT,1.93,75.98,117,257.94,2021,Stuttgart Surge
212,darnell-minton,52,Darnell,Minton,OL,2.01,79.13,125,275.58,2022,Stuttgart Surge
213,darnell-minton,52,Darnell,Minton,OL,2.01,79.13,125,275.58,2021,Frankfurt Galaxy
214,dartez-jacobs,24,Dartez,Jacobs,S,1.88,74.02,93,205.03,2021,Cologne Centurions
215,david-izinyon,53,David,Izinyon,ILB,1.85,72.83,113,249.12,2022,Berlin Thunder
216,daniel-meza,5,David,Meza,TE,1.95,76.77,115,253.53,2021,Stuttgart Surge
217,david-rauter,64,David,Rauter,OL,1.95,76.77,138,304.24,2022,Vienna Vikings
218,david-schuler,16,David,Schüler,WR,1.91,75.2,97,213.85,2022,Rhein Fire
219,david-weinstock,69,David,Weinstock,OL,1.86,73.23,127,279.99,2022,Hamburg Sea Devils
220,david-weinstock,69,David,Weinstock,OL,1.86,73.23,127,279.99,2021,Hamburg Sea Devils
221,dawid-brzozowski,22,Dawid,Brzozowski,RB,1.79,70.47,85,187.39,2022,Panthers Wroclaw
222,dawid-panczyszyn,12,Dawid,Pańczyszyn,K,1.73,68.11,85,187.39,2022,Panthers Wroclaw
223,dawid-panczyszyn,12,Dawid,Pańczyszyn,K,1.73,68.11,85,187.39,2021,Panthers Wroclaw
224,dean-tanwani,8,Dean,Tanwani,RB,1.7,66.93,91,200.62,2022,Cologne Centurions
225,denis-dauben,41,Denis,Dauben,FB,1.83,72.05,106,233.69,2022,Cologne Centurions
226,denis-william-butz,96,Denis William,Butz,DT,1.8,70.87,132,291.01,2022,Raiders Tirol
227,dennis-gratza,55,Dennis,Gratza,ILB,1.75,68.9,97,213.85,2022,Stuttgart Surge
228,dennis-gratza,55,Dennis,Gratza,ILB,1.75,68.9,97,213.85,2021,Stuttgart Surge
229,dennis-kenzler,74,Dennis,Kenzler,OL,1.99,78.35,130,286.6,2022,Hamburg Sea Devils
230,dennis-kenzler,74,Dennis,Kenzler,OL,1.99,78.35,130,286.6,2021,Hamburg Sea Devils
231,dennis-laas,34,Dennis,Laas,DB,1.88,74.02,94,207.23,2021,Cologne Centurions
232,dennis-tasic,2,Dennis,Tasic,K,1.86,73.23,110,242.51,2022,Vienna Vikings
233,deon-mutsvanemoto,55,Deon,Mutsvanemoto,OL,1.9,74.8,140,308.65,2021,Berlin Thunder
234,derrick-brumfield,91,Derrick,Brumfield,DE,1.93,75.98,105,231.49,2022,Raiders Tirol
235,desmond-cooper,23,Desmond,Cooper,DB,1.92,75.59,100,220.46,2021,Frankfurt Galaxy
236,diego-antonio-arboleda-sanchez,80,Diego Antonio,Arboleda Sanchez,WR,2.0,78.74,104,229.28,2022,Hamburg Sea Devils
237,diego-antonio-arboleda-sanchez,80,Diego Antonio,Arboleda Sanchez,WR,2.0,78.74,104,229.28,2021,Hamburg Sea Devils
238,domenik-rofalski,82,Domenik,Rofalski,TE,1.91,75.2,103,227.08,2022,Rhein Fire
239,domenik-rofalski,82,Domenik,Rofalski,TE,1.91,75.2,103,227.08,2021,Stuttgart Surge
240,dominic-grone,14,Dominic,Gröne,WR/K/P,1.86,73.23,95,209.44,2021,Hamburg Sea Devils
241,dominic-yaw-aboagye-duah,29,Dominic Yaw,Aboagye-Duah,DB,1.86,73.23,,,2021,Hamburg Sea Devils
