team_id,season,conference_id,division_id,rank,team_abv,team_name,overall_wins,overall_losses,overall_win_pct,points_for,points_against,point_diff,conference_wins,conference_losses,conference_win_pct,conference_points_for,conference_points_against,conference_point_diff,home_wins,home_losses,home_win_pct,away_wins,away_losses,away_win_pct,neutral_wins,neutral_losses,neutral_win_pct,streak
637d28a05a83d2285e2529d3,2025,675c2596ce305e37941098a1,,1,VIK,Vienna Vikings,9,1,0.9,378,167,211,5,0,1.0,215,49,166,3,1,0.75,6,0,1.0,0,0,,Win 5
637d28a05a83d2285e2529cf,2025,675c2596ce305e37941098a1,,2,PRG,Prague Lions,6,4,0.6,267,200,67,3,3,0.5,138,122,16,1,3,0.25,5,1,0.8333333333333334,0,0,,Win 2
637d28a05a83d2285e2529cd,2025,675c2596ce305e37941098a1,,3,WPA,Wroclaw Panthers,5,5,0.5,310,277,33,3,2,0.6,145,151,-6,2,3,0.4,3,2,0.6,0,0,,Loss 2
637d28a05a83d2285e2529c5,2025,675c2596ce305e37941098a1,,4,ENT,Fehérvár Enthroners,0,10,0.0,130,431,-301,0,6,0.0,68,244,-176,0,4,0.0,0,6,0.0,0,0,,Loss 10
637d28a05a83d2285e2529d2,2025,675c2596ce305e37941098a2,,1,SRG,Stuttgart Surge,8,2,0.8,426,170,256,4,1,0.8,201,80,121,6,0,1.0,2,2,0.5,0,0,,Win 4
637d28a05a83d2285e2529ce,2025,675c2596ce305e37941098a2,,2,PAR,Paris Musketeers,6,4,0.6,353,142,211,4,2,0.667,212,78,134,3,2,0.6,3,2,0.6,0,0,,Win 1
637d28a05a83d2285e2529c6,2025,675c2596ce305e37941098a2,,3,FGY,Frankfurt Galaxy,5,5,0.5,323,299,24,3,3,0.5,225,174,51,3,2,0.6,2,3,0.4,0,0,,Win 2
637d28a05a83d2285e2529c4,2025,675c2596ce305e37941098a2,,4,CCE,Cologne Centurions,0,10,0.0,60,632,-572,0,5,0.0,39,345,-306,0,5,0.0,0,5,0.0,0,0,,Loss 10
671a01462f73e96c4e9c35a8,2025,675c2596ce305e37941098a3,,1,NDS,Nordic Storm,9,1,0.9,373,167,206,4,0,1.0,140,80,60,5,0,1.0,4,1,0.8,0,0,,Loss 1
637d28a05a83d2285e2529d1,2025,675c2596ce305e37941098a3,,2,RHF,Rhein Fire,6,4,0.6,287,171,116,4,1,0.8,205,52,153,2,2,0.5,4,2,0.6666666666666666,0,0,,Win 2
637d28a05a83d2285e2529c3,2025,675c2596ce305e37941098a3,,3,BTH,Berlin Thunder,3,7,0.3,237,342,-105,0,5,0.0,63,232,-169,2,3,0.4,1,4,0.2,0,0,,Loss 2
637d28a05a83d2285e2529c7,2025,675c2596ce305e37941098a3,,4,HSD,Hamburg Sea Devils,2,8,0.2,133,312,-179,1,3,0.25,65,109,-44,1,5,0.16666666666666666,1,3,0.25,0,0,,Loss 6
637d28a05a83d2285e2529cc,2025,675c2596ce305e37941098a4,,1,MUC,Munich Ravens,9,1,0.9,357,216,141,5,0,1.0,186,105,81,5,0,1.0,4,1,0.8,0,0,,Win 7
651b232e904f469c7f0d4fd7,2025,675c2596ce305e37941098a4,,2,MAD,Madrid Bravos,7,3,0.7,433,235,198,3,2,0.6,236,147,89,4,2,0.6666666666666666,3,1,0.75,0,0,,Win 3
637d28a05a83d2285e2529d0,2025,675c2596ce305e37941098a4,,3,RAI,Raiders Tirol,5,5,0.5,330,260,70,3,3,0.5,182,157,25,3,2,0.6,2,3,0.4,0,0,,Loss 2
637d28a05a83d2285e2529c8,2025,675c2596ce305e37941098a4,,4,HVM,Helvetic Mercenaries,0,10,0.0,125,501,-376,0,6,0.0,93,288,-195,0,6,0.0,0,4,0.0,0,0,,Loss 10
