game_id,game_date,game_location,game_stadium,away_abv,away_name,home_abv,home_name,team_id,team_name,visitor_home,total_plays,total_yds,total_yds_per_play,first_downs_total,first_downs_pass,first_downs_rush,first_downs_penalty,penalties_num,penalties_yds,third_down_conv,third_down_att,fourth_down_conv,fourth_down_att,fumbles_num,fumbles_lost,misc_yds,time_of_possession,points_off_turnovers,redzone_att,redzone_scores,redzone_points,redzone_rush_td,redzone_pass_td,redzone_fgm,redzone_end_fga,redzone_end_downs,redzone_end_int,redzone_end_fumble,redzone_end_half,redzone_end_game,pass_comp,pass_att,pass_yds,pass_td,pass_int,pass_long,rush_att,rush_yds,rush_yds_gain,rush_yds_loss,rush_td,rush_long,defense_tackles_total,defense_tackles_solo,defense_tackles_ast,defense_tfl_solo,defense_tfl_ast,defense_tfl,defense_tfl_YDS,defense_sacks,defense_sack_yds,defense_interceptions_num,defense_interceptions_yds,defense_interceptions_td,defense_interceptions_long,defense_pbu,defense_fr,defense_fr_yds,defense_fr_td,defense_fr_long,punt_att,punt_gross_yds,punt_long,punt_blk,punt_tb,punt_fc,punt_50+,punt_in_20,punt_gross_avg,kickoff_att,kickoff_yds,kickoff_out_of_bounds,kickoff_tb,kick_fgm,kick_fga,kick_fg%,kick_fg_long,kick_fg_blk,kick_xpm,kick_xpa,kick_xp%,2PM_pass_att,2PM_pass_made,kick_return_num,kick_return_yds,kick_return_td,kick_return_long,punt_return_num,punt_return_yds,punt_return_td,punt_return_long,field_goal_return_num,field_goal_return_yds,field_goal_return_td
BDBT2106,7/24/2021,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BT,Berlin Thunder,V,62,373,6.016129032258065,19,7,11,1,7,59,3,12,1,2,0.0,0.0,0,31:19,0,3.0,2.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,23.0,139.0,2.0,2.0,27.0,39.0,234.0,273.0,39.0,0.0,55.0,51.0,29.0,22.0,3.0,0.0,3.0,10.0,1.0,1.0,,,,,5.0,,,,,5.0,142.0,32.0,0.0,0.0,1.0,0.0,0.0,28.4,4.0,164.0,0.0,2.0,1.0,1.0,1.0,24.0,0.0,1.0,2.0,0.5,0.0,0.0,3.0,62.0,0.0,26.0,2.0,1.0,0.0,1.0,,,
BDBT2106,7/24/2021,Reus,Estadio municipal,BT,Berlin Thunder,BD,Barcelona Dragons,BD,Barcelona Dragons,H,54,322,5.962962962962963,16,11,4,1,6,53,8,12,0,0,0.0,0.0,0,24:31,7,4.0,3.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,35.0,254.0,5.0,0.0,52.0,19.0,68.0,77.0,9.0,0.0,25.0,72.0,38.0,34.0,7.0,2.0,8.0,40.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,,,,,4.0,175.0,61.0,0.0,0.0,0.0,1.0,2.0,43.75,7.0,350.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,0.833,0.0,0.0,2.0,17.0,0.0,31.0,4.0,69.0,0.0,32.0,,,
BDCC2203,6/18/2022,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,CC,Cologne Centurions,V,79,496,6.2784810126582276,27,21,5,1,10,83,10,18,2,4,0.0,0.0,0,36:33,0,4.0,4.0,26.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,54.0,442.0,4.0,1.0,81.0,25.0,54.0,74.0,20.0,1.0,10.0,42.0,28.0,14.0,4.0,2.0,5.0,28.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,,,,,2.0,75.0,42.0,0.0,0.0,0.0,0.0,1.0,37.5,6.0,420.0,0.0,6.0,,,,,,2.0,4.0,0.5,1.0,0.0,4.0,63.0,0.0,21.0,,,,,,,
BDCC2203,6/18/2022,Reus,Est Municipal Reus,CC,Cologne Centurions,BD,Barcelona Dragons,BD,Barcelona Dragons,H,54,405,7.5,22,15,4,3,8,56,2,8,1,1,2.0,0.0,0,23:27,7,4.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,36.0,364.0,4.0,1.0,75.0,18.0,41.0,82.0,41.0,0.0,30.0,71.0,51.0,20.0,8.0,0.0,8.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,,,,,2.0,114.0,69.0,0.0,0.0,0.0,1.0,2.0,57.0,6.0,394.0,0.0,2.0,2.0,3.0,0.667,30.0,0.0,4.0,4.0,1.0,0.0,0.0,,,,,2.0,16.0,0.0,11.0,,,
BDHD2214,9/3/2022,Reus,Est Municipal Reus,HD,Hamburg Sea Devils,BD,Barcelona Dragons,HD,Hamburg Sea Devils,V,66,247,3.742424242424242,16,6,10,0,4,32,5,16,1,2,2.0,1.0,-1,35:14,0,3.0,3.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,95.0,0.0,0.0,23.0,46.0,152.0,160.0,8.0,3.0,21.0,32.0,32.0,0.0,14.0,0.0,14.0,65.0,13.0,13.0,1.0,-1.0,0.0,0.0,2.0,,,,,8.0,342.0,65.0,0.0,2.0,0.0,2.0,3.0,42.75,5.0,335.0,0.0,5.0,1.0,1.0,1.0,40.0,0.0,3.0,3.0,1.0,0.0,0.0,3.0,82.0,0.0,37.0,4.0,48.0,0.0,26.0,,,
BDHD2214,9/3/2022,Reus,Est Municipal Reus,HD,Hamburg Sea Devils,BD,Barcelona Dragons,BD,Barcelona Dragons,H,51,249,4.882352941176471,10,8,1,1,2,30,1,13,1,4,1.0,0.0,8,24:46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,28.0,224.0,3.0,1.0,95.0,10.0,25.0,26.0,1.0,0.0,10.0,66.0,48.0,18.0,6.0,6.0,9.0,25.0,3.0,3.0,,,,,2.0,,,,,7.0,293.0,57.0,0.0,0.0,0.0,1.0,1.0,41.857,4.0,269.0,0.0,1.0,,,,,,1.0,3.0,0.333,0.0,0.0,,,,,1.0,10.0,0.0,10.0,,,
BDHG2301,6/3/2023,Terrassa,Olimpic de Terrassa,HG,Helvetic Guards,BD,Barcelona Dragons,HG,Helvetic Guards,V,64,292,4.5625,16,11,4,1,4,45,5,15,2,3,0.0,0.0,0,44:53,7,3.0,2.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,39.0,217.0,1.0,2.0,39.0,22.0,75.0,82.0,7.0,0.0,13.0,46.0,28.0,18.0,4.0,2.0,5.0,9.0,0.0,0.0,,,,,3.0,1.0,40.0,1.0,40.0,5.0,136.0,41.0,1.0,0.0,1.0,0.0,1.0,27.2,4.0,249.0,0.0,1.0,1.0,1.0,1.0,34.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,144.0,0.0,48.0,1.0,14.0,0.0,14.0,,,
BDHG2301,6/3/2023,Terrassa,Olimpic de Terrassa,HG,Helvetic Guards,BD,Barcelona Dragons,BD,Barcelona Dragons,H,56,392,7.0,20,17,1,2,8,105,5,11,1,1,1.0,1.0,-17,30:07,0,3.0,3.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,39.0,361.0,4.0,0.0,36.0,17.0,31.0,41.0,10.0,0.0,24.0,64.0,32.0,32.0,5.0,2.0,6.0,32.0,3.0,3.0,2.0,31.0,0.0,31.0,3.0,,,,,4.0,146.0,37.0,0.0,0.0,1.0,0.0,2.0,36.5,6.0,347.0,0.0,0.0,1.0,2.0,0.5,30.0,0.0,2.0,3.0,0.667,1.0,0.0,3.0,76.0,0.0,27.0,2.0,36.0,0.0,27.0,,,
bdhg2404,06/15/2024,,,HM,Helvetic Mercenaries,BD,Barcelona Dragons,HM,Helvetic Mercenaries,V,62,324,5.225806451612903,19,10,7,2,13,40,6,12,0,1,1.0,1.0,45,30:55,0,5.0,2.0,12.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,28.0,152.0,0.0,0.0,25.0,32.0,172.0,185.0,0.0,2.0,35.0,46.0,33.0,13.0,6.0,2.0,7.0,6.0,1.0,1.0,1.0,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,4.0,153.0,51.0,0.0,1.0,0.0,1.0,2.0,38.25,3.0,104.0,0.0,0.0,0.0,2.0,0.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,48.0,0.0,32.0,2.0,45.0,0.0,23.0,,,
bdhg2404,06/15/2024,,,HM,Helvetic Mercenaries,BD,Barcelona Dragons,BD,Barcelona Dragons,H,52,187,3.5961538461538463,11,5,6,0,7,10,3,13,2,2,1.0,0.0,46,29:05,0,2.0,2.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,85.0,0.0,1.0,13.0,33.0,102.0,123.0,0.0,2.0,27.0,50.0,38.0,12.0,7.0,2.0,8.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,317.0,61.0,0.0,0.0,1.0,3.0,3.0,45.286,3.0,160.0,0.0,1.0,0.0,0.0,,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,30.0,0.0,17.0,4.0,46.0,0.0,23.0,,,
