season,week,week_str,game_id,date,away_team_id,away_team_slug,away_team_name,home_team_id,home_team_slug,home_team_name,away_team_score,home_team_score,gamebook_url,is_game_over,is_game_tbd,has_game_started,stats_crew_game_id,old_game_id
2023,1,Week 1,640bcad106c9126799b780c9,2023-06-03 10:00:00,637d28a05a83d2285e2529c3,berlin-thunder,Berlin Thunder,637d28a05a83d2285e2529c5,fehervar-enthroners,Fehervar Enthroners,36,3,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/1/STATS_FEBT2301.pdf,True,False,True,febt2301,230603-berlin-thunder-fehervar-enthroners
2023,1,Week 1,640bcad106c9126799b780ca,2023-06-03 10:00:00,637d28a05a83d2285e2529c7,hamburg-sea-devils,Hamburg Sea Devils,637d28a05a83d2285e2529cd,panthers-wroclaw,Panthers Wroclaw,25,34,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/1/STATS_PWHD2301.pdf,True,False,True,pwhd2301,230603-hamburg-sea-devils-panthers-wroclaw
2023,1,Week 1,640bcad106c9126799b780cb,2023-06-03 12:00:00,637d28a05a83d2285e2529c8,helvetic-guards,Helvetic Guards,637d28a05a83d2285e2529c2,barcelona-dragons,Barcelona Dragons,17,29,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/1/STATS_BDHG2301.pdf,True,False,True,bdhg2301,230603-helvetic-guards-barcelona-dragons
2023,1,Week 1,640bcad106c9126799b780cc,2023-06-03 10:00:00,637d28a05a83d2285e2529ce,paris-musketeers,Paris Musketeers,637d28a05a83d2285e2529c4,cologne-centurions,Cologne Centurions,24,17,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/1/STATS_CCPM2301.pdf,True,False,True,ccpm2301,230603-paris-musketeers-cologne-centurions
2023,1,Week 1,640bcad106c9126799b780cd,2023-06-04 09:25:00,637d28a05a83d2285e2529c6,frankfurt-galaxy,Frankfurt Galaxy,637d28a05a83d2285e2529d1,rhein-fire,Rhein Fire,9,33,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/1/STATS_RFFG2301.pdf,True,False,True,rffg2301,230604-frankfurt-galaxy-rhein-fire
2023,1,Week 1,640bcad106c9126799b780ce,2023-06-04 09:25:00,637d28a05a83d2285e2529ca,leipzig-kings,Leipzig Kings,637d28a05a83d2285e2529cf,prague-lions,Prague Lions,18,15,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/1/STATS_PLLK2301.pdf,True,False,True,pllk2301,230604-leipzig-kings-prague-lions
2023,1,Week 1,640bcad106c9126799b780cf,2023-06-04 06:00:00,637d28a05a83d2285e2529d0,raiders-tirol,Raiders Tirol,637d28a05a83d2285e2529cc,munich-ravens,Munich Ravens,59,38,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/1/STATS_MRRT2301.pdf,True,False,True,mrrt2301,230604-raiders-tirol-munich-ravens
2023,2,Week 2,640bcad106c9126799b780d0,2023-06-10 12:00:00,637d28a05a83d2285e2529c2,barcelona-dragons,Barcelona Dragons,637d28a05a83d2285e2529cb,milano-seamen,Milano Seamen,41,33,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/2/STATS_MSBD2302.pdf,True,False,True,msbd2302,230610-barcelona-dragons-milano-seamen
2023,2,Week 2,640bcad106c9126799b780d1,2023-06-10 10:00:00,637d28a05a83d2285e2529c4,cologne-centurions,Cologne Centurions,637d28a05a83d2285e2529cf,prague-lions,Prague Lions,23,14,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/2/STATS_PLCC2302.pdf,True,False,True,plcc2302,230610-cologne-centurions-prague-lions
2023,2,Week 2,640bcad106c9126799b780d2,2023-06-10 10:00:00,637d28a05a83d2285e2529c6,frankfurt-galaxy,Frankfurt Galaxy,637d28a05a83d2285e2529c5,fehervar-enthroners,Fehervar Enthroners,48,13,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/2/STATS_FEFG2302.pdf,True,False,True,fefg2302,230610-frankfurt-galaxy-fehervar-enthroners
2023,2,Week 2,640bcad106c9126799b780d3,2023-06-10 10:00:00,637d28a05a83d2285e2529d2,stuttgart-surge,Stuttgart Surge,637d28a05a83d2285e2529ce,paris-musketeers,Paris Musketeers,29,20,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/2/STATS_PMSS2302.pdf,True,False,True,pmss2302,230610-stuttgart-surge-paris-musketeers
2023,2,Week 2,640bcad106c9126799b780d4,2023-06-11 09:25:00,637d28a05a83d2285e2529cd,panthers-wroclaw,Panthers Wroclaw,637d28a05a83d2285e2529ca,leipzig-kings,Leipzig Kings,31,6,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/2/STATS_LKPW2302.pdf,True,False,True,lkpw2302,230611-panthers-wroclaw-leipzig-kings
2023,2,Week 2,640bcad106c9126799b780d5,2023-06-11 09:25:00,637d28a05a83d2285e2529d0,raiders-tirol,Raiders Tirol,637d28a05a83d2285e2529c8,helvetic-guards,Helvetic Guards,22,7,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/2/STATS_HGRT2302.pdf,True,False,True,hgrt2302,230611-raiders-tirol-helvetic-guards
2023,2,Week 2,640bcad106c9126799b780d6,2023-06-11 09:25:00,637d28a05a83d2285e2529d1,rhein-fire,Rhein Fire,637d28a05a83d2285e2529c7,hamburg-sea-devils,Hamburg Sea Devils,27,22,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/2/STATS_HDRF2302.pdf,True,False,True,hdrf2302,230611-rhein-fire-hamburg-sea-devils
2023,2,Week 2,640bcad106c9126799b780d7,2023-06-11 06:00:00,637d28a05a83d2285e2529d3,vienna-vikings,Vienna Vikings,637d28a05a83d2285e2529c3,berlin-thunder,Berlin Thunder,27,24,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/2/STATS_BTVV2302.pdf,True,False,True,btvv2302,230611-vienna-vikings-berlin-thunder
2023,3,Week 3,640bcad106c9126799b780d8,2023-06-17 11:00:00,637d28a05a83d2285e2529c2,barcelona-dragons,Barcelona Dragons,637d28a05a83d2285e2529d0,raiders-tirol,Raiders Tirol,13,29,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/3/STATS_RTBD2303.pdf,True,False,True,rtbd2303,230617-barcelona-dragons-raiders-tirol
2023,3,Week 3,640bcad106c9126799b780d9,2023-06-17 11:00:00,637d28a05a83d2285e2529c5,fehervar-enthroners,Fehervar Enthroners,637d28a05a83d2285e2529ca,leipzig-kings,Leipzig Kings,24,47,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/3/STATS_LKFE2303.pdf,True,False,True,lkfe2303,230617-fehervar-enthroners-leipzig-kings
2023,3,Week 3,640bcad106c9126799b780da,2023-06-17 10:00:00,637d28a05a83d2285e2529c7,hamburg-sea-devils,Hamburg Sea Devils,637d28a05a83d2285e2529c4,cologne-centurions,Cologne Centurions,34,17,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/3/STATS_CCHD2303.pdf,True,False,True,cchd2303,230617-hamburg-sea-devils-cologne-centurions
2023,3,Week 3,640bcad106c9126799b780db,2023-06-17 11:00:00,637d28a05a83d2285e2529cf,prague-lions,Prague Lions,637d28a05a83d2285e2529d3,vienna-vikings,Vienna Vikings,21,69,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/3/STATS_VVPL2303.pdf,True,False,True,vvpl2303,230617-prague-lions-vienna-vikings
2023,3,Week 3,640bcad106c9126799b780dc,2023-06-18 06:00:00,637d28a05a83d2285e2529cb,milano-seamen,Milano Seamen,637d28a05a83d2285e2529d2,stuttgart-surge,Stuttgart Surge,26,40,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/3/STATS_SSMS2303.pdf,True,False,True,ssms2303,230618-milano-seamen-stuttgart-surge
2023,3,Week 3,640bcad106c9126799b780dd,2023-06-18 06:00:00,637d28a05a83d2285e2529cc,munich-ravens,Munich Ravens,637d28a05a83d2285e2529c8,helvetic-guards,Helvetic Guards,39,10,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/3/STATS_HGMR2303.pdf,True,False,True,hgmr2303,230618-munich-ravens-helvetic-guards
2023,3,Week 3,640bcad106c9126799b780de,2023-06-18 09:25:00,637d28a05a83d2285e2529cd,panthers-wroclaw,Panthers Wroclaw,637d28a05a83d2285e2529c3,berlin-thunder,Berlin Thunder,27,36,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/3/STATS_BTPW2303.pdf,True,False,True,btpw2303,230618-panthers-wroclaw-berlin-thunder
2023,3,Week 3,640bcad106c9126799b780df,2023-06-18 09:25:00,637d28a05a83d2285e2529ce,paris-musketeers,Paris Musketeers,637d28a05a83d2285e2529d1,rhein-fire,Rhein Fire,28,58,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/3/STATS_RFPM2303.pdf,True,False,True,rfpm2303,230618-paris-musketeers-rhein-fire
2023,4,Week 4,640bcad106c9126799b780e0,2023-06-24 10:00:00,637d28a05a83d2285e2529c5,fehervar-enthroners,Fehervar Enthroners,637d28a05a83d2285e2529cd,panthers-wroclaw,Panthers Wroclaw,33,63,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/4/STATS_PWFE2304.pdf,True,False,True,pwfe2304,230624-fehervar-enthroners-panthers-wroclaw
2023,4,Week 4,640bcad106c9126799b780e1,2023-06-24 11:00:00,637d28a05a83d2285e2529ca,leipzig-kings,Leipzig Kings,637d28a05a83d2285e2529d3,vienna-vikings,Vienna Vikings,14,47,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/4/STATS_VVLK2304.pdf,True,False,True,vvlk2304,230624-leipzig-kings-vienna-vikings
2023,4,Week 4,640bcad106c9126799b780e2,2023-06-24 12:00:00,637d28a05a83d2285e2529cc,munich-ravens,Munich Ravens,637d28a05a83d2285e2529c2,barcelona-dragons,Barcelona Dragons,39,15,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/4/STATS_BDMR2304.pdf,True,False,True,bdmr2304,230624-munich-ravens-barcelona-dragons
2023,4,Week 4,640bcad106c9126799b780e3,2023-06-24 11:00:00,637d28a05a83d2285e2529ce,paris-musketeers,Paris Musketeers,637d28a05a83d2285e2529c6,frankfurt-galaxy,Frankfurt Galaxy,13,30,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/4/STATS_FGPM2304.pdf,True,False,True,fgpm2304,230624-paris-musketeers-frankfurt-galaxy
2023,4,Week 4,640bcad106c9126799b780e4,2023-06-25 09:25:00,637d28a05a83d2285e2529c3,berlin-thunder,Berlin Thunder,637d28a05a83d2285e2529c7,hamburg-sea-devils,Hamburg Sea Devils,17,37,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/4/STATS_HDBT2304.pdf,True,False,True,hdbt2304,230625-berlin-thunder-hamburg-sea-devils
2023,4,Week 4,640bcad106c9126799b780e5,2023-06-25 06:00:00,637d28a05a83d2285e2529c8,helvetic-guards,Helvetic Guards,637d28a05a83d2285e2529cb,milano-seamen,Milano Seamen,0,32,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/4/STATS_MSHG2304.pdf,True,False,True,mshg2304,230625-helvetic-guards-milano-seamen
2023,4,Week 4,640bcad106c9126799b780e6,2023-06-25 06:00:00,637d28a05a83d2285e2529d0,raiders-tirol,Raiders Tirol,637d28a05a83d2285e2529d2,stuttgart-surge,Stuttgart Surge,3,6,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/4/STATS_SSRT2304.pdf,True,False,True,ssrt2304,230625-raiders-tirol-stuttgart-surge
2023,4,Week 4,640bcad106c9126799b780e7,2023-06-25 09:25:00,637d28a05a83d2285e2529d1,rhein-fire,Rhein Fire,637d28a05a83d2285e2529c4,cologne-centurions,Cologne Centurions,42,0,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/4/STATS_CCRF2304.pdf,True,False,True,ccrf2304,230625-rhein-fire-cologne-centurions
2023,5,Week 5,640bcad106c9126799b780e8,2023-07-01 07:30:00,637d28a05a83d2285e2529c4,cologne-centurions,Cologne Centurions,637d28a05a83d2285e2529c6,frankfurt-galaxy,Frankfurt Galaxy,22,33,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/5/STATS_FGCC2305.pdf,True,False,True,fgcc2305,230701-cologne-centurions-frankfurt-galaxy
2023,5,Week 5,640bcad106c9126799b780e9,2023-07-01 09:00:00,637d28a05a83d2285e2529c7,hamburg-sea-devils,Hamburg Sea Devils,637d28a05a83d2285e2529ce,paris-musketeers,Paris Musketeers,23,27,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/5/STATS_PMHD2305.pdf,True,False,True,pmhd2305,230701-hamburg-sea-devils-paris-musketeers
2023,5,Week 5,640bcad106c9126799b780ea,2023-07-01 07:30:00,637d28a05a83d2285e2529c8,helvetic-guards,Helvetic Guards,637d28a05a83d2285e2529d1,rhein-fire,Rhein Fire,0,51,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/5/STATS_RFHG2305.pdf,True,False,True,rfhg2305,230701-helvetic-guards-rhein-fire
2023,5,Week 5,640bcad106c9126799b780eb,2023-07-02 07:30:00,637d28a05a83d2285e2529c3,berlin-thunder,Berlin Thunder,637d28a05a83d2285e2529ca,leipzig-kings,Leipzig Kings,39,14,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/5/STATS_LKBT2305.pdf,True,False,True,lkbt2305,230702-berlin-thunder-leipzig-kings
2023,5,Week 5,640bcad106c9126799b780ec,2023-07-02 09:25:00,637d28a05a83d2285e2529cb,milano-seamen,Milano Seamen,637d28a05a83d2285e2529d0,raiders-tirol,Raiders Tirol,13,38,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/5/STATS_RTMS2305.pdf,True,False,True,rtms2305,230702-milano-seamen-raiders-tirol
2023,5,Week 5,640bcad106c9126799b780ed,2023-07-02 09:25:00,637d28a05a83d2285e2529cf,prague-lions,Prague Lions,637d28a05a83d2285e2529cd,panthers-wroclaw,Panthers Wroclaw,23,29,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/5/STATS_PWPL2305.pdf,True,False,True,pwpl2305,230702-prague-lions-panthers-wroclaw
2023,5,Week 5,640bcad106c9126799b780ee,2023-07-02 07:30:00,637d28a05a83d2285e2529d2,stuttgart-surge,Stuttgart Surge,637d28a05a83d2285e2529cc,munich-ravens,Munich Ravens,28,9,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/5/STATS_MRSS2305.pdf,True,False,True,mrss2305,230702-stuttgart-surge-munich-ravens
2023,5,Week 5,640bcad106c9126799b780ef,2023-07-02 09:25:00,637d28a05a83d2285e2529d3,vienna-vikings,Vienna Vikings,637d28a05a83d2285e2529c5,fehervar-enthroners,Fehervar Enthroners,41,12,https://storage.googleapis.com/leaguetool-dfc3d.appspot.com/gamebooks/2023/5/STATS_FEVV2305.pdf,True,False,True,fevv2305,230702-vienna-vikings-fehervar-enthroners
