team_id,season,confrence_id,division_id,rank,team_abv,team_name,overall_wins,overall_losses,overall_win_pct,points_for,points_against,point_diff,confrence_wins,confrence_losses,confrence_win_pct,confrence_points_for,confrence_points_against,confrence_point_diff,home_wins,home_losses,home_win_pct,away_wins,away_losses,away_win_pct,neutral_wins,neutral_losses,neutral_win_pct,streak
637d28a05a83d2285e2529c7,2022,640badea8893fe72d8c9b26f,60d0a8eb6014987e640b286c,1,HSD,Hamburg Sea Devils,11,1,0.917,424,160,264,6,0,1.0,198,58,140,5,1,0.8333333333333334,6,0,1.0,0,0,,Win 10
637d28a05a83d2285e2529c3,2022,640badea8893fe72d8c9b26f,60d0a8eb6014987e640b286c,2,BTH,Berlin Thunder,7,5,0.583,321,282,39,3,3,0.5,143,160,-17,3,3,0.5,4,2,0.6666666666666666,0,0,,Loss 1
637d28a05a83d2285e2529cd,2022,640badea8893fe72d8c9b26f,60d0a8eb6014987e640b286c,3,WPA,Panthers Wroclaw,5,7,0.417,287,305,-18,2,4,0.333,135,167,-32,3,3,0.5,2,4,0.3333333333333333,0,0,,Win 1
637d28a05a83d2285e2529ca,2022,640badea8893fe72d8c9b26f,60d0a8eb6014987e640b286c,4,LKG,Leipzig Kings,4,8,0.333,242,370,-128,1,5,0.167,105,196,-91,1,5,0.16666666666666666,3,3,0.5,0,0,,Win 2
637d28a05a83d2285e2529c2,2022,640badea8893fe72d8c9b270,60d0a8f19740a166f6ecc2cc,1,BDR,Barcelona Dragons,8,4,0.667,364,225,139,5,1,0.833,181,112,69,4,2,0.6666666666666666,4,2,0.6666666666666666,0,0,,Loss 2
637d28a05a83d2285e2529d1,2022,640badea8893fe72d8c9b270,60d0a8f19740a166f6ecc2cc,2,RHF,Rhein Fire,7,5,0.583,346,314,32,4,2,0.667,204,134,70,3,3,0.5,4,2,0.6666666666666666,0,0,,Loss 1
637d28a05a83d2285e2529c4,2022,640badea8893fe72d8c9b270,60d0a8f19740a166f6ecc2cc,3,CCE,Cologne Centurions,3,9,0.25,301,473,-172,2,4,0.333,170,215,-45,2,4,0.3333333333333333,1,5,0.16666666666666666,0,0,,Win 1
637d28a05a83d2285e2529c9,2022,640badea8893fe72d8c9b270,60d0a8f19740a166f6ecc2cc,4,IST,Istanbul Rams,1,11,0.083,210,499,-289,1,5,0.167,141,235,-94,1,5,0.16666666666666666,0,6,0.0,0,0,,Loss 5
637d28a05a83d2285e2529d3,2022,640badea8893fe72d8c9b271,7da6496c2179c35f18ba83e4843d0ea4,1,VIK,Vienna Vikings,10,2,0.833,352,209,143,5,1,0.833,179,101,78,6,0,1.0,4,2,0.6666666666666666,0,0,,Loss 1
637d28a05a83d2285e2529d0,2022,640badea8893fe72d8c9b271,7da6496c2179c35f18ba83e4843d0ea4,2,RAI,Raiders Tirol,8,4,0.667,418,229,189,3,3,0.5,169,114,55,5,1,0.8333333333333334,3,3,0.5,0,0,,Win 1
637d28a05a83d2285e2529c6,2022,640badea8893fe72d8c9b271,7da6496c2179c35f18ba83e4843d0ea4,3,FGY,Frankfurt Galaxy,8,4,0.667,386,247,139,4,2,0.667,204,134,70,5,1,0.8333333333333334,3,3,0.5,0,0,,Win 2
637d28a05a83d2285e2529d2,2022,640badea8893fe72d8c9b271,7da6496c2179c35f18ba83e4843d0ea4,4,SRG,Stuttgart Surge,0,12,0.0,113,451,-338,0,6,0.0,49,223,-174,0,6,0.0,0,6,0.0,0,0,,Loss 12
