season,confrence,confrence_rank,team_name,team_logo_url,overall_record,overall_wins,overall_losses,overall_win_pct,points_for,points_against,confrence_record,confrence_wins,confrence_losses,confrence_win_pct,confrence_points_for,confrence_points_against,home_record,home_wins,home_losses,home_win_pct,away_record,away_wins,away_losses,away_win_pct,neutral_record,neutral_wins,neutral_losses,neutral_win_pct,streak
2021,Northern Conference,1,Hamburg Sea Devils,https://assets-global.website-files.com/5fb916e4beed7f5a8f3276f7/620cdfc277a92349ac622236_Hamburg_OnDark.png,7-3,7,3,0.7,274,178,7-3,7,3,0.7,274,178,3-2,3,2,0.6,4-1,4,1,0.8,0-0,0,0,,Lost 2
2021,Northern Conference,2,Panthers Wroclaw,https://assets-global.website-files.com/5fb916e4beed7f5a8f3276f7/620cdf546e28ffea35c91c2b_Wroclaw_WordmarkOnWhite.png,6-4,6,4,0.6,314,259,6-4,6,4,0.6,314,259,3-2,3,2,0.6,3-2,3,2,0.6,0-0,0,0,,Won 3
2021,Northern Conference,3,Leipzig Kings,https://assets-global.website-files.com/5fb916e4beed7f5a8f3276f7/620cc6c9839e7c73def0fba3_Leipzig_OnBright.png,5-5,5,5,0.5,295,320,5-5,5,5,0.5,295,320,2-3,2,3,0.4,3-2,3,2,0.6,0-0,0,0,,Lost 1
2021,Northern Conference,4,Berlin Thunder,https://assets-global.website-files.com/5fb916e4beed7f5a8f3276f7/609425640ff1b01f08a716d3_berlin-thunder-logo-(tiny).svg,3-7,3,7,0.3,228,296,3-7,3,7,0.3,228,296,2-3,2,3,0.4,1-4,1,4,0.2,0-0,0,0,,Won 1
2021,Southern Conference,1,Frankfurt Galaxy,https://assets-global.website-files.com/5fb916e4beed7f5a8f3276f7/620cc662dca84d306525ce05_Frankfurt_OnBright.png,9-1,9,1,0.9,357,132,9-1,9,1,0.9,357,132,5-0,5,0,1.0,4-1,4,1,0.8,0-0,0,0,,Won 9
2021,Southern Conference,2,Cologne Centurions,https://assets-global.website-files.com/5fb916e4beed7f5a8f3276f7/620cc6d56cbdb4f481ea0d0d_Cologne_OnBright.png,5-5,5,5,0.5,320,365,5-5,5,5,0.5,320,365,3-2,3,2,0.6,2-3,2,3,0.4,0-0,0,0,,Lost 1
2021,Southern Conference,3,Barcelona Dragons,https://assets-global.website-files.com/5fb916e4beed7f5a8f3276f7/620cdfd20f33a7646d452e0f_Barcelona_OnDark.png,3-7,3,7,0.3,237,277,3-7,3,7,0.3,237,277,2-3,2,3,0.4,1-4,1,4,0.2,0-0,0,0,,Lost 2
2021,Southern Conference,4,Stuttgart Surge,https://assets-global.website-files.com/5fb916e4beed7f5a8f3276f7/620cc6e7f1d513e7ffca7d23_Stuttgart_OnBright.png,2-8,2,8,0.2,157,355,2-8,2,8,0.2,157,355,1-4,1,4,0.2,1-4,1,4,0.2,0-0,0,0,,Lost 6
